N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	div_length	X
8	0.7	150.001	6	10	10	10	50	6.500059401595244	-4.934102387887414 7.693513547660066 -4.236364107313921 7.65118389625946 -3.5397400716423353 7.606588588932013 -2.8445441188832463 7.5556356890108 -2.150290617561873 7.492516688448058 -1.4571631243179533 7.430722236288324 -0.7646542913028793 7.378073427632136 -0.07266596886333283 7.334372211140412 
8	0.7	150.001	6	10	10	10	50	8.359265572841343	-1.4305433162692796 5.606946384756615 -0.7594295058950722 5.77070077662348 -0.08950534889074568 5.938900756599153 0.5878523875744734 6.112730382806492 1.2546537148843664 6.30124940246095 1.916278381510618 6.51111908415724 2.5731382875717874 6.740516565716387 3.2275707467098136 6.982080508893155 
12	0.7	150.001	6	10	10	10	50	10.20275625288835	9.43556141183731 -0.3236686681372225 10.042089318150285 -0.4689017292016299 10.646518251447812 -0.6203791980896416 11.24943481168206 -0.7854704405902279 11.851136285226682 -0.9705287734731534 12.454759765442024 -1.1714210525800035 13.06388266214005 -1.38266019175167 13.679656015700216 -1.6018227755987635 14.30286165130339 -1.8274237844298584 14.934148927300006 -2.058138094710407 15.573892457439111 -2.292943304875673 16.222261176252466 -2.5312049418430482 
9	0.7	150.001	6	10	10	10	50	7.881443774946369	-6.870244124984783 4.050743237763811 -6.239582739216176 3.7787777935431444 -5.602606194011696 3.526633245372742 -4.952861725634192 3.320007915203361 -4.290840314825068 3.1854957243542272 -3.618971030180595 3.106499027075455 -2.943027558855322 3.0663138199711373 -2.2660192701552924 3.0459866027382145 -1.5911381922532675 3.023578746855589 
11	0.7	150.001	6	10	10	10	50	8.394074883779144	-0.6292330946492294 2.0276398187588254 -0.08852686594655004 1.6204171170373352 0.45801390521314206 1.2214725823350447 1.016620110026933 0.8313907670483123 1.5606674533481777 0.4340779641969432 2.08271148765615 0.016760262862053142 2.5833262746895858 -0.4209845655623037 3.0651655120981536 -0.8757010177043326 3.5372649882349343 -1.3343934063354244 4.008781763216615 -1.7863284292141604 4.483131975893783 -2.227974236259872 
9	0.7	150.001	6	10	10	10	50	8.329221674908553	-13.631715549365156 4.462057135646897 -12.966904515660522 4.681086189897617 -12.303595066990594 4.898102338907673 -11.642436622196145 5.121122533027859 -10.98516939542124 5.354894450796629 -10.332554012706773 5.601133089189909 -9.684194390199474 5.858428235531665 -9.038440496941947 6.122391974519665 -8.390644080991796 6.386623037482747 
9	0.7	150.001	6	10	10	10	50	7.6742267519841505	-8.296352660402324 4.946013217357129 -7.647723044266889 5.202442121445558 -6.992449489538864 5.44703157733724 -6.330970840308787 5.6726307674303955 -5.661050842288519 5.868747741136601 -4.981141405513878 6.02009817759472 -4.290912415610355 6.107522655021261 -3.5954958757954762 6.151917867477675 -2.898103877176306 6.174387151636353 
7	0.7	150.001	6	10	10	10	50	7.403163406489458	-15.232974897506347 2.5503713320586074 -14.742612713677477 2.0515274153470884 -14.25163012292035 1.5540035173678826 -13.758092888129076 1.0597570611852114 -13.258031885607174 0.5706921109776563 -12.753696413607662 0.08819908861299434 -12.247064016730349 -0.39016045153196893 
7	0.7	150.001	6	10	10	10	50	7.34224138091127	-12.28401299010243 -1.7847876340327407 -11.609113959159634 -1.9588628063493734 -10.936980641312276 -2.1370868556250193 -10.26836512181629 -2.322605254125323 -9.603537460902723 -2.516809124431406 -8.942153443418944 -2.7190593877986156 -8.28313383656602 -2.9264674537651207 
4	0.7	150.001	7	10	10	10	50	9.210287874221507	0.5601377279494097 4.723954105762592 1.0413583516884612 4.274891243900825 1.5253545658713454 3.837221409109912 2.021597126738773 3.413521708292689 
6	0.7	150.001	7	10	10	10	50	9.847899315855988	2.619090045641805 4.6737596615089965 3.2524048443219495 4.418956675938556 3.8922991958694158 4.187085304727788 4.539660746849806 3.9800566808905846 5.193754967273111 3.7942446926284727 5.852799315068459 3.620914490430352 
5	0.7	150.001	7	10	10	10	50	6.571193215366702	6.979534278484207 2.794537383721959 7.649702175652846 2.649487026699688 8.324323651497423 2.510630216446969 9.005136620020867 2.3813835154549743 9.69361659646448 2.259148253101874 
6	0.7	150.001	7	10	10	10	50	8.802868964228919	10.497088014940351 1.0319555286451647 11.124205034729131 0.7902237436242147 11.759202637317996 0.5523196419082164 12.402371595361524 0.319539705461653 13.05270548885598 0.08980257510309662 13.707977967999097 -0.1409265333180387 
5	0.7	150.001	7	10	10	10	50	7.255973493308332	8.266806991835706 -0.9936853867937168 8.70784302453737 -1.5244692561343451 9.12847987518473 -2.064521830027272 9.536246364879368 -2.6160293754800956 9.937924703135916 -3.1752023415720165 
5	0.7	150.001	7	10	10	10	50	8.751468129702742	11.13286280424687 -3.8860362082819266 11.80046142668657 -4.061089684873164 12.46920811241337 -4.2395133929463 13.138570085440273 -4.42402463447699 13.805912325286764 -4.616734134391899 
4	0.7	150.001	7	10	10	10	50	8.628910486826435	-10.977640537331286 -5.967403956670626 -10.444426741568309 -5.513880981729605 -9.911212923610965 -5.060357987911246 -9.377999127847987 -4.606835012970224 
5	0.7	150.001	7	10	10	10	50	7.112811142587084	-7.875911324581972 -4.585531197091685 -7.441674096326061 -4.038757677712509 -7.0084914117248776 -3.4912852360657314 -6.573636266782524 -2.946441787343701 -6.138658422158745 -2.4036705782859906 
5	0.7	150.001	7	10	10	10	50	8.242959674880552	-0.8314983118521577 -4.618044515066287 -0.18393039340038295 -4.361566248897463 0.45970281929145573 -4.097111693992865 1.1005155247226959 -3.8288958724331237 1.7564560517498493 -3.58234467966814 
6	0.7	150.001	7	10	10	10	50	7.512401527885191	3.160993038105269 -3.7878145576092073 3.8438480808099325 -3.6803333002564345 4.523136162079125 -3.5676637212348012 5.21034053441878 -3.4383558805424297 5.89664022834995 -3.322305570294676 6.583826504920331 -3.2207441950590074 
5	0.7	150.001	7	10	10	10	50	6.657993535435486	-0.42580802889843666 -7.413180496723639 0.2657278747273765 -7.294849722061349 0.9534000719190933 -7.1554322216430455 1.6263730208097242 -6.958118508635747 2.2915917650918765 -6.740659311956771 
6	0.7	150.001	7	10	10	10	50	7.953426580646248	3.679522652053558 -6.583119980419993 4.361533702023735 -6.4175690833804335 5.049374457680932 -6.275095355617697 5.741503580368864 -6.147055657751933 6.433940240654364 -6.023492291479125 7.124598214389617 -5.9002886507301655 
5	0.7	150.001	7	10	10	10	50	8.111614270502248	4.980702883044493 1.04067839494146 5.460291545645921 0.5812551801527197 5.943929970318004 0.11765041149792946 6.426699212777316 -0.34085862368042186 6.907882937487554 -0.8057339332283602 
6	0.7	150.001	7	10	10	10	50	9.435630936782132	7.464959878565812 -2.1233434946539473 7.855738993114653 -2.6736707214642 8.233702328717637 -3.229380538556952 8.605412158012111 -3.7909625135296525 8.975075873408002 -4.355712967879114 9.345553758327583 -4.9219221732398735 
5	0.7	150.001	7	10	10	10	50	6.375891342503495	3.163553251641717 2.6778590292667324 3.79996494528362 2.59171808320473 4.434078742285767 2.5021379767941703 5.064386077029772 2.4000199283661474 5.694749723248427 2.271780721942359 
5	0.7	150.001	7	10	10	10	50	8.163161637690958	6.637652157891076 1.3008539493089004 7.253296911382809 1.209859581418844 7.872146934811785 1.1271907983642655 8.496264038534951 1.056630766184064 9.127162017919126 0.9954478549975152 
5	0.7	150.001	7	10	10	10	50	8.164313613112745	-4.76448369142335 4.671628208803368 -4.096420547807987 4.602253988547414 -3.44241130583046 4.537860790156647 -2.8004770988405405 4.480333775730758 -2.168514226358583 4.428514373573022 
6	0.7	150.001	7	10	10	10	50	7.253130053493832	-0.8377945418289646 4.232181326640955 -0.41410036291427343 3.7597357299656116 0.022087818924198456 3.3200130831281727 0.4784756303670484 2.9121043582811015 0.9526640427629842 2.5304727055125644 1.4355822708322696 2.162854010563865 
5	0.7	150.001	7	10	10	10	50	8.335155327941651	10.84123920984223 -2.1151042580192803 11.487350212539363 -2.3499696642225834 12.126852103116255 -2.583125666733396 12.760965084741503 -2.815066003585083 13.391661704313822 -3.046119002220003 
6	0.7	150.001	7	10	10	10	50	9.842677155377999	14.679813871311282 -3.530556723391151 15.309428160126823 -3.7556811754081103 15.942847987615533 -3.9789582099640906 16.582297491043256 -4.200374296612907 17.229095737416614 -4.42126201320757 17.88385166964942 -4.6434714547799585 
6	0.7	150.001	7	10	10	10	50	8.290747424487837	-6.007992235266053 -5.75904722314999 -5.387224768287041 -5.466216255343269 -4.77706390424952 -5.18028633439816 -4.175504945943251 -4.905862658554436 -3.5807402249848512 -4.64486179579103 -2.9926022433447397 -4.395114119530399 
6	0.7	150.001	7	10	10	10	50	8.928663481499957	-1.9251403103355407 -3.582275336427082 -1.3589374295999 -3.3418340561865865 -0.7943117477400664 -3.1157280486172545 -0.22906083030000074 -2.900981703581413 0.3361496674501947 -2.6924575157481523 0.902028550385322 -2.48688644379436 
6	0.7	150.001	7	10	10	10	50	9.341543653055478	4.796589422404804 -7.731341859487684 5.475026717986656 -7.601679693444107 6.147463644695168 -7.479262114643721 6.8155505383740405 -7.366923261279563 7.4819356636211705 -7.26652973700513 8.148649388426554 -7.175502874810185 
6	0.7	150.001	7	10	10	10	50	8.534383548394125	9.221596142594736 -6.314878924362107 9.883598853418059 -6.196635327371626 10.540301217853889 -6.068553297219118 11.199497816464168 -5.9366991195124195 11.864208591715718 -5.805846007855657 12.536490460662812 -5.677135909180663 
5	0.7	150.001	7	10	10	10	50	8.465370298646441	1.5566151240566004 -5.0222487990527025 2.054255990123334 -5.073412198736492 2.5555978363959237 -5.123556766972641 3.0692040031236214 -5.172325029737628 3.6017049413504325 -5.218508035857895 
5	0.7	150.001	7	10	10	10	50	7.127367300460897	4.84779101786913 -4.902158278452892 5.417135159031562 -4.8040422470507105 6.014597732658582 -4.702491490049831 6.6434101867702156 -4.595001376118583 7.304823356405138 -4.47532158415384 
