N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	div_length	X
7	1.074	200.000	8	10.0	10.0	10.0	10.0	8.300693551747603	9.947420699190493 -15.499086025569854 10.055912367053123 -14.582258329104826 10.187729066877194 -13.681125618809261 10.341688821002133 -12.76949710620906 10.519249616176037 -11.889360075014576 10.737296051682858 -11.009007071735812 10.976379902228674 -10.136362578051775
7	1.074	200.000	8	10.0	10.0	10.0	10.0	9.020995941439455	-7.350688547378092 4.807698310171661 -7.279962109086539 5.622012230326073 -7.081161845289336 6.435077744649816 -7.10821115997007 7.317476920731701 -6.900666599380354 8.17886412199713 -6.8924053310175255 9.046825273285794 -6.759577620820306 9.87798203108674
9	1.074	200.000	8	10.0	10.0	10.0	10.0	10.613886804411493	0.7228498386155122 13.529653696852288 1.1060891316973822 14.36392429843553 1.5011088844343776 15.185823363199077 1.9668179845899834 15.9858466193378 2.5235792103662886 16.70334535676058 3.1748387743400053 17.34235481787586 3.8885840066512416 17.927071251986234 4.637587132765096 18.480050865917693 5.404026775213791 19.022881308414682
7	1.074	200.000	8	10.0	10.0	10.0	10.0	9.206524285934908	2.4335340578006623 7.640831218977388 3.171914426833928 8.14606972323635 3.925287583158159 8.641383481934406 4.654906537799429 9.105926469145656 5.412458145591677 9.552251587473634 6.236076724767349 10.00470957294526 7.1152551248887335 10.4669397378004
9	1.074	200.000	8	10.0	10.0	10.0	10.0	9.42550365938584	-0.09029103458803392 2.292557426882 -0.5672194306731237 2.986479997842267 -1.0078094581096348 3.7149748182868274 -1.6265033244704359 4.3474809306609545 -2.1228606882424548 5.146975826956784 -2.670925934984352 5.892012737382602 -2.9053293914910614 6.7116637382413575 -3.1533722340725685 7.514653560094667 -3.237430808668114 8.359122109503907
4	1.074	200.000	8	10.0	10.0	10.0	10.0	6.11180321536844	4.502452893466596 -18.952337485388323 5.026026102596724 -18.100880382304208 5.593471221262857 -17.2865111323703 6.21021310697941 -16.503027811407446
6	1.074	200.000	8	10.0	10.0	10.0	10.0	7.651076605041364	4.540494963081316 -15.468290163795725 5.344317432348826 -14.916856225986844 6.141785234279804 -14.402978762857504 6.95965491340289 -13.893238633543374 7.758905238647891 -13.390575138748847 8.528876162645359 -12.887175422480883
4	1.074	200.000	9	10.0	10.0	10.0	10.0	6.06498275354277	7.843888674618133 -15.484665755058124 8.347345370028936 -16.31657922299657 8.89664378722024 -17.147421872331137 9.450195915639096 -17.973211821874607
4	1.074	200.000	9	10.0	10.0	10.0	10.0	6.590151179330393	11.08748635640161 -17.048192594799012 12.108913966060417 -17.06202300432729 13.11292017192722 -17.064552077265994 14.082525774494236 -17.07819009722949
8	1.074	200.000	8	10.0	10.0	10.0	10.0	9.153715810015964	-4.343513506723067 -11.72341414026226 -3.5528549491207477 -11.44799935180986 -2.7557729069597254 -11.145725652510928 -1.888774041086633 -10.930303930271018 -1.0414780514272628 -10.689427508134816 -0.1341367900992678 -10.586518745562326 0.7467152126865937 -10.5231791980466 1.635321427958104 -10.561259309426628
6	1.074	200.000	8	10.0	10.0	10.0	10.0	8.569779999796644	-10.421356966449117 -19.595443958558857 -9.828166010108495 -18.822688727219592 -9.257661129373234 -18.062522251757116 -8.702319449312727 -17.296328540548306 -8.210210391238004 -16.55398192846662 -7.718851479971571 -15.80080877994061
8	1.074	200.000	8	10.0	10.0	10.0	10.0	9.751197783877355	-18.212038997536762 -8.78579227451226 -18.4000684618317 -7.792450516714993 -18.55787806322695 -6.791455363179365 -18.68504560226779 -5.787590850441733 -18.822183656616907 -4.78386951984452 -18.93484496547639 -3.7720848589997504 -18.96738694552105 -2.732167037942615 -18.961276217618195 -1.7241736207405662
8	1.074	200.000	8	10.0	10.0	10.0	10.0	8.801291468048737	13.145211576257697 -2.717783733106445 12.414730511633147 -3.1227872836823334 11.722512748873072 -3.6514423874054978 10.942292801932537 -4.053410239864097 10.278852238309929 -4.659617302405558 9.486399348569064 -5.081590211985286 8.854384264487274 -5.6087850130960835 8.122764052597613 -5.9858849302887
5	1.074	200.000	8	10.0	10.0	10.0	10.0	7.360450270245113	-21.295472224015953 6.768577713278583 -20.45017176560484 6.145600259038289 -19.620881692125305 5.526983941779199 -18.812587598912266 4.896720538974871 -18.04396327354928 4.27622732829889
7	1.074	200.000	8	10.0	10.0	10.0	10.0	8.59005581021893	1.2284697676994571 1.8447657488779223 1.7701957195518172 2.441236422687729 2.4520988598804383 2.9548676959578564 2.9968284088875343 3.621681941154791 3.7618192580653487 4.070593187796448 4.346296969342794 4.685519598187943 4.992630562405165 5.212429425317458
7	1.074	200.000	8	10.0	10.0	10.0	10.0	9.501306349407468	0.9276017520833412 3.746070251789366 0.9840046460882904 4.481428764752827 0.9220618089892338 5.328394977053115 1.0006372824508196 6.23526644796481 0.8267818583089189 7.0738495451955945 0.7880892717933664 7.9333968537724395 0.6393034110815493 8.762185377218014
7	1.074	200.000	8	10.0	10.0	10.0	10.0	9.21065739938319	2.0100944000805434 9.410504256500646 2.5907787226539973 10.019224940545405 3.2042903719314797 10.588777465284137 3.6610878195018657 11.298711866873404 4.1678359449859865 12.021856780235897 4.555511333833056 12.856342815084359 4.9680101793406 13.626517194572719
7	1.074	200.000	8	10.0	10.0	10.0	10.0	8.065911506384808	-10.69638470013035 2.632012916986321 -10.815445993506154 3.4666988411244724 -10.890064123459318 4.339181088536233 -10.904417202821435 5.26405459421891 -10.905670153627684 6.196977121648271 -10.920016671416134 7.111759651333176 -10.941005382903823 8.024486648863363
7	1.074	200.000	8	10.0	10.0	10.0	10.0	8.005552863791268	-7.9113940255650235 -2.7419203134890506 -7.3897494860713975 -2.119433545345307 -6.997470461749986 -1.3736996162949962 -6.413281172559885 -0.7397531486123843 -6.155047891635513 0.1026773147308986 -5.70740551864251 0.8180136607586134 -5.4633280633431385 1.5782072791768205
9	1.074	200.000	8	10.0	10.0	10.0	10.0	10.837727599023854	-14.956293591258822 8.027859005732916 -14.838625948669888 7.029775728163684 -14.665893654596905 6.122371011515332 -14.361933728781612 5.255990496223172 -13.914173743212917 4.4165937721787385 -13.384682658522262 3.626292027858046 -12.855063524231335 2.8783490142753165 -12.341762487233558 2.1211499694584464 -11.81295155599131 1.340534228698506
7	1.074	200.000	8	10.0	10.0	10.0	10.0	8.446474714179057	-2.425000727685069 -16.911620060627403 -2.8271192326326733 -16.13610431518048 -3.2784300433158697 -15.414177428617828 -3.7871808217601357 -14.765066170737313 -4.345508151120927 -14.090755340561936 -4.922063068971208 -13.417199036259046 -5.5008391108697765 -12.748802661881482
7	1.074	200.000	8	10.0	10.0	10.0	10.0	8.781966431596153	4.674306848009086 -2.0821915429323257 5.334337543782624 -1.5919457079699453 5.916351833889666 -0.9639481760405592 6.679584051843327 -0.5353880015877264 7.320495470818591 0.06969848693507578 8.07976912440554 0.4346169861542877 8.801885255905901 0.9163387257765198
7	1.074	200.000	8	10.0	10.0	10.0	10.0	8.178457584280181	7.862250590784388 1.9813013767044645 7.965965678117016 2.774399523511541 8.21244987016811 3.5827162737678204 8.139536618885035 4.45228648563149 8.218870651814777 5.303730231315466 7.958117393870901 6.134167349264843 7.800750032996977 6.96841095931831
5	1.074	200.000	9	10.0	10.0	10.0	10.0	8.360855309358136	-11.695499319544094 13.612335876244241 -12.287103646099899 14.420223512541762 -12.874500664987982 15.274573803611231 -13.419320478263156 16.153381830068618 -13.959793207263704 17.06426080976061
5	1.074	200.000	9	10.0	10.0	10.0	10.0	9.44075291406119	-10.904582131708256 15.542377406490772 -11.282526557490502 16.472488118150295 -11.674495487168583 17.39721427542174 -12.086939690601435 18.33631068057335 -12.514624198154227 19.294529750299457
7	1.074	200.000	8	10.0	10.0	10.0	10.0	9.316178743753698	-16.523329910246133 -20.059031970177656 -15.501112074587512 -20.386669183978395 -14.468968845911931 -20.69372748069042 -13.424729387210888 -20.96006466047985 -12.366370100171329 -21.17544967786689 -11.316098706564897 -21.356415010078734 -10.255121955393884 -21.519152115171554
7	1.074	200.000	8	10.0	10.0	10.0	10.0	8.718957352304662	-10.52983830236952 -23.501460001886606 -9.476243959028055 -23.708442610540658 -8.418525818642934 -23.917500025619027 -7.359721315285734 -24.099212531945746 -6.279763487347386 -24.245335917722283 -5.203507912245166 -24.340261952222157 -4.129957400548488 -24.426092661062924
5	1.074	200.000	8	10.0	10.0	10.0	10.0	7.529504852825519	-3.880743597049959 -22.381185501352693 -3.59725072582634 -21.39622804570247 -3.3135900392531346 -20.431877600156092 -3.0353727802353605 -19.485748333049358 -2.787693102161838 -18.552996475797517
7	1.074	200.000	8	10.0	10.0	10.0	10.0	8.597169822894475	-0.9413118229227053 -19.242277699533467 -0.8717730865754132 -18.275155723800452 -0.818785310239738 -17.34121424060484 -0.8084315800494323 -16.420699219968423 -0.8357783055956535 -15.573295296664114 -0.8583687444204128 -14.785092540318715 -0.8595313852014793 -14.032426917663896
5	1.074	200.000	8	10.0	10.0	10.0	10.0	7.859036909993879	-2.8414358685171326 -5.066584750581054 -2.3257991708892902 -4.499571980056286 -1.7160061281032277 -3.998124216584569 -1.2493985764329778 -3.331210022127312 -0.7139885630090407 -2.776102763994761
5	1.074	200.000	8	10.0	10.0	10.0	10.0	8.63950190727246	0.7678817838350734 -3.0393221564937214 1.6036111213519533 -3.100080766047113 2.3934254355014914 -3.1531633281267477 3.1627191274919726 -3.2427886518985556 3.9540084713069574 -3.3214130413627707
5	1.074	200.000	9	10.0	10.0	10.0	10.0	7.406226857802764	10.609434404310669 20.027232334894354 10.774527168495815 21.020321343588098 10.943939212707184 22.027880468783618 11.120500747003744 23.050977887859595 11.303283969461647 24.090467784710306
5	1.074	200.000	9	10.0	10.0	10.0	10.0	8.06845448871434	13.841944504882445 12.767448473273713 14.707972620624481 13.058773444110349 15.589504810238632 13.321910850545056 16.494087233129424 13.533478100209082 17.488191857865186 13.73577132300256
7	1.074	200.000	9	10.0	10.0	10.0	10.0	8.860403753439865	17.0445762477407 15.110458195251569 17.58022567454386 15.821667698257643 18.13657598441785 16.528814851510333 18.739179180850694 17.259304278626033 19.39864974251333 18.081693208779967 20.012382698398824 18.93147409647029 20.598555943057466 19.790769210024905
5	1.074	200.000	8	10.0	10.0	10.0	10.0	12.487225549125977	-10.918722581907689 -11.95701417048443 -11.7025754974646 -12.270388693503362 -12.485146390116647 -12.607821025240602 -13.276995615996233 -12.975961288762617 -14.125321354133117 -13.375599253598246
