N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	current length	div_length	X
8	0.7	150.003	6	1	10	10	10	6.154611873101876	7.1842150467093795	-10.572744036727535 4.353015546770334 -9.94976220306401 4.245635450477945 -9.281106782228942 3.991502621228856 -8.543133154797918 3.9244143510436227 -7.877397116629694 3.601332601972636 -7.153341168343191 3.4946020967563913 -6.578403547168489 3.0910836206197394 -6.106197036255038 2.953560173421966 
9	0.7	150.003	6	1	10	10	10	6.8255174292335585	8.830707450917835	-4.806815443236555 1.889523199583388 -4.410362681983241 2.165151568661576 -3.7229699605462607 2.3724695274779233 -3.1308443076241326 2.813804975586806 -2.4299420907844733 3.0565372679441327 -1.842922080101603 3.505078880836593 -1.158972898111156 3.7611302371981497 -0.5476028293881161 4.154918568423804 -0.03255569179955153 4.342515339489812 
9	0.7	150.003	6	1	10	10	10	6.9575558647913915	8.268241769205178	-15.857920105124984 3.0355182853771114 -15.214876750151896 2.848450858595426 -14.557877456668747 2.5931217380089304 -13.845710754636677 2.4303271842112903 -13.157924484513755 2.158580152467064 -12.427825847261179 2.0353834529712858 -11.73530233107289 1.792518137171371 -11.041839751609043 1.7181266260206276 -10.51895725081885 1.5785588142568585 
9	0.7	150.003	6	1	10	10	10	6.9393305276298936	8.130017122525281	-11.013361818189075 3.0834716204994725 -10.398670972358984 2.8790445580651944 -9.686685138868075 2.7497333507900676 -9.00923460564404 2.4596115127681397 -8.277047799378566 2.349697590285456 -7.599150280591644 1.9983841167935041 -6.8720565060833465 1.8685112141493647 -6.241698744244338 1.5161585130957793 -5.7799836186177 1.4510860268613621 
9	0.7	150.003	6	1	10	10	10	6.774947906456397	7.227595491286265	-12.034554536900046 -1.7314607839271219 -11.563763865260464 -1.6758114182198267 -10.99055835057137 -1.2777265588161388 -10.272670914084385 -1.1955419810082721 -9.672635539813623 -0.7799467336513326 -8.948708938467986 -0.6421989614538129 -8.314899369215095 -0.22503579571152565 -7.615211541065606 -0.04218383132670513 -7.164876990334743 0.2403790175760318 
9	0.7	150.003	6	1	10	10	10	6.777162565161557	8.439217652914076	-5.912641940227212 0.0845981835064159 -5.421624062433934 0.3303989399725253 -4.713365532421097 0.4695734871581386 -4.080832988166674 0.8640605668848207 -3.353829018303128 0.9979605984514007 -2.7747276576433952 1.4392934942105766 -2.063056401312591 1.5627706734816733 -1.5107673570095883 2.0027486192393624 -1.049535445744578 2.062082820960241 
8	0.7	150.003	6	1	10	10	10	6.016079881318907	10.328857365975914	-5.200764761141712 3.1613335064537202 -4.855202292244728 3.4717046653169548 -4.164265580862106 3.6767506339863383 -3.610401953510487 4.157589197034705 -2.9080412484834914 4.37106555042145 -2.330637064576353 4.823068164813212 -1.6509085320069368 5.035222885748053 -1.221301608983216 5.324598439563065 
9	0.7	150.003	6	1	10	10	10	6.927009557127013	8.79374005881187	-0.01397501337290815 5.629909851858209 0.43409294030615053 5.85366958968048 1.1107454373207828 6.026514199406634 1.7535576940250548 6.382440669862246 2.4614255918226604 6.601066761448684 3.103986647151532 6.96922979555965 3.7968866054616788 7.213449998477998 4.419565291187129 7.545590320636873 5.039217443669304 7.8035480908965775 
5	0.7	150.003	7	1	10	10	10	3.831452221221189	6.605619212692009	1.555447595720995 1.4998924507504614 1.0738999032855334 1.722479334576847 0.5725185616456476 2.20871127086322 -0.03524609225134783 2.5000747066798903 -0.40797674281776725 2.874786382528907 
6	0.7	150.003	7	1	10	10	10	4.827004997942729	8.775806115566013	1.0865418427412081 3.6376341318261547 1.5823009392301688 4.066288621504246 2.1292832943910143 4.480332173028696 2.6673825952056505 4.931689003269669 3.236888351819824 5.334480879378309 3.7835580622781344 5.748444160044307 
