N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	div_length	X
5	1.074	150.006	7	10.0	10.0	10.0	10.0	10.099730067486458	-5.520417764045306 -0.18211945852238343 -5.089977468551325 -1.0973185204319282 -4.6732042308575465 -2.0091168891727498 -4.23931079157883 -2.9228184619022386 -3.8065279786660917 -3.8244796150014397
4	1.074	150.006	7	10.0	10.0	10.0	10.0	10.28173439081421	-6.9928366297697595 -6.348988388041973 -6.4268148136410135 -7.238046633720269 -5.842322646162342 -8.125180126438137 -5.241767714812792 -9.006162146171027
4	1.074	150.006	7	10.0	10.0	10.0	10.0	5.998194818073688	-3.355858990319535 -10.055069346169509 -2.4002303460731573 -10.545477223394506 -1.4441830754993703 -11.035105074387825 -0.48774072259886475 -11.523908801003484
4	1.074	150.006	7	10.0	10.0	10.0	10.0	8.795990200434485	17.92983267570548 -0.9715597211725749 18.070739418054384 -2.036955178214952 18.204077836958607 -3.1081216445466473 18.320880650033224 -4.175432782266528
4	1.074	150.006	7	10.0	10.0	10.0	10.0	9.245007633388504	17.750723836736064 -6.305780628522686 17.86003242752454 -7.374203122213386 17.969340999031253 -8.442625427437 18.07864958981973 -9.511047921127698
3	1.074	150.006	7	10.0	10.0	10.0	10.0	7.625978075937578	7.911625977444526 9.26303698614125 8.474343023907442 8.353036078089199 9.035113716944684 7.446692108588016
4	1.074	150.006	7	10.0	10.0	10.0	10.0	8.977452458415643	10.1069354611587 5.64312079547784 10.511571093569268 4.666097590488565 10.903443448378338 3.6828438810382758 11.289879837678482 2.7034500146955103
3	1.074	150.006	7	10.0	10.0	10.0	10.0	6.975256223643142	-10.982817835528875 8.191469956763202 -10.87114793890105 7.170005449178102 -10.77224247972615 6.159234404825279
4	1.074	150.006	7	10.0	10.0	10.0	10.0	7.384329408504385	-9.590120006249517 4.7922636251488875 -8.924756563007728 4.0762150059694955 -8.243084205764207 3.3875014147298073 -7.554260000486417 2.7333324158603713
5	1.074	150.006	7	10.0	10.0	10.0	10.0	9.246092015971607	3.1755545101102447 -1.3681154276485579 3.8401577637392887 -2.0572923828779386 4.468659243072493 -2.7798546907597603 5.066439258025543 -3.5053853870775544 5.651535144418292 -4.22771528221309
5	1.074	150.006	7	10.0	10.0	10.0	10.0	9.799057303745496	6.629411536886001 -5.492067071370755 7.206073338841641 -6.256085819590048 7.803292336861168 -7.034818224699548 8.434901335528961 -7.826065858583204 9.09254805164969 -8.635500632763058
3	1.074	150.006	7	10.0	10.0	10.0	10.0	7.372837969884593	-18.082851807444186 0.0084495929124336 -17.22989606743198 -0.5713416948423131 -16.408799070887127 -1.1306567885810601
3	1.074	150.006	7	10.0	10.0	10.0	10.0	7.795315036631212	-14.941696041228852 -2.009336261066981 -14.079833172862475 -2.4857537375423893 -13.188579643369268 -2.974259839831969
