N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	div_length	X
10	0.7	150.004	6	10	10	10	10	10.578672724885696	-6.353742372547104 -5.068353793352504 -5.672332798784424 -5.222991114148337 -4.990139639235731 -5.379919598773287 -4.310301977504305 -5.546270447297755 -3.635185823900673 -5.729036541973992 -2.965835486138352 -5.931013203674136 -2.3023702392581704 -6.1513598108431715 -1.643940569076003 -6.386453962969156 -0.9882961209788318 -6.631053269798282 -0.33276681378830014 -6.876700757651137 
12	0.7	150.004	6	10	10	10	10	9.383880279993361	-0.3720655439557486 -5.430744454763082 0.2885279920541007 -5.513527337321634 0.9508069168707125 -5.598041227862514 1.6151243143588585 -5.6852824099117285 2.2819487026307095 -5.77514933483108 2.951635241912464 -5.8664930443685055 3.6242693639542263 -5.957783422880461 4.299945633710943 -6.048027813091859 4.978884326083945 -6.1374741781086986 5.66146297823665 -6.22724862213722 6.347808359791511 -6.3176613897056235 7.038361263332227 -6.408336076708544 
9	0.7	150.004	6	10	10	10	10	7.389951855495508	-6.693383527295371 -3.7214061439967843 -6.0192473048116 -3.831957627417757 -5.342141084528176 -3.9437982650220484 -4.677206341933605 -4.046779464513002 -4.019373396305956 -4.160328128124223 -3.3692444071119287 -4.291713536819214 -2.7275131604171814 -4.444101797258918 -2.094311141194597 -4.616326333107262 -1.4691099723481138 -4.801602852977648 
9	0.7	150.004	6	10	10	10	10	8.781701261690017	2.5233751882712356 1.8980069553610042 2.930636351235486 2.390822337543812 3.3323183253995063 2.896301048534559 3.7146725665913847 3.434663684911465 4.0630235641002646 4.000162247380674 4.38921586817342 4.591204718029966 4.704001743704183 5.198594156084323 5.025033086316977 5.814528714706751 5.372085668488629 6.425388297256793 
9	0.7	150.004	6	10	10	10	10	7.095498090808123	6.298787711804754 7.470229746800519 6.931164222521802 7.217568705333778 7.561652953089815 6.958454359965131 8.190993541614857 6.677844005122801 8.811922219573276 6.391831810620419 9.439023512728031 6.115109021576177 10.075814040704179 5.8554037378056245 10.72195191949671 5.612212292968519 11.37461908331082 5.3788545016109115 
7	0.7	150.004	6	10	10	10	10	6.769631245384607	-8.152598799836587 -1.3197990776361452 -7.538378591447655 -0.968606290292728 -6.929516724681432 -0.6223911395018908 -6.314756955737277 -0.2916082833790251 -5.696686516229398 0.018725899859461166 -5.088480123328722 0.3051531746419752 -4.513702680084454 0.5642269138850355 
7	0.7	150.004	6	10	10	10	10	7.849272204471298	-4.722398315015279 1.8744758982230927 -4.155559581373681 2.255168064859632 -3.587396887067982 2.6246612158721536 -3.0233384883541485 2.993745566031946 -2.4658576012402373 3.3647282165489067 -1.9136018495404594 3.737974070688299 -1.3644069067856008 4.112927128468516 
9	0.7	150.004	6	10	10	10	10	7.955119142112213	-4.248869079360703 3.7386402063908006 -3.8001965179242565 4.096101213931461 -3.3262099545759276 4.45910601205564 -2.816959569597226 4.839596650577802 -2.2915359468918903 5.234388980523373 -1.75993318959309 5.642100373226948 -1.2243580557213978 6.059916637322989 -0.6835738608688935 6.483342182961182 -0.13770921092030802 6.911334460521745 
9	0.7	150.004	6	10	10	10	10	7.0308539874598015	-1.8237653400328113 -2.881695956072161 -1.3997315158002337 -2.3277431113885303 -0.923048602018864 -1.772529279120954 -0.46541687459284864 -1.2659559949952515 -0.042197947973522054 -0.7409104414895167 0.3600950404225187 -0.21395323616320372 0.7545069999070294 0.3100923533753657 1.1472342553432449 0.8235372685598819 1.542786710487829 1.3253172302891854 
9	0.7	150.004	6	10	10	10	10	8.6816575258649	2.2754518601516915 0.08995495334032381 2.818853995382068 0.4893241147940307 3.3372469081495395 0.9077035569901112 3.8016144709825253 1.365435260067335 4.198137525779492 1.8545471371727735 4.57731403019168 2.3922445267675037 4.959113899770113 2.9391196510582245 5.297074207019904 3.4428054851908017 5.616292679220851 3.966214548689821 
