N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	div_length	X
5	1.074	150.006	6	10.0	10.0	10.0	10.0	6.676959039292962	-12.615777441431698 -6.705612872953662 -11.64748682151163 -6.289329747385996 -10.671289151828978 -5.914359962566182 -9.68015946177833 -5.591899477917103 -8.648053609909907 -5.2923282366793
7	1.074	150.006	6	10.0	10.0	10.0	10.0	8.676776762598053	-1.3398677175339255 -2.0996742556479084 -1.2216762508165007 -1.1281647256361214 -1.077818538696617 -0.1559191822171964 -0.9374556443093891 0.7916092881588844 -0.8258059487685016 1.740500981413841 -0.7349019545619421 2.7054288588516378 -0.6340733496990089 3.680587686182464
7	1.074	150.006	6	10.0	10.0	10.0	10.0	9.094773716950119	1.210152764593118 0.7479719618334937 2.025192925062802 0.11818736340682717 2.8219480582697902 -0.5202651518109841 3.5744310346007726 -1.1712483169821972 4.293883915698822 -1.8436225144947396 4.976915944104787 -2.501128639691694 5.639463167797566 -3.1460658032189506
8	1.074	150.006	6	10.0	10.0	10.0	10.0	9.651724243772687	-16.97999043468882 -7.716669420237266 -16.19226369991598 -7.03740630316362 -15.404141141312396 -6.371547882629502 -14.608684452884287 -5.726635618377125 -13.798124329314101 -5.111959026998371 -12.963386549723475 -4.5384573346496895 -12.116321860927606 -3.989867672317832 -11.265530941466674 -3.452306311760939
3	1.074	150.006	7	10.0	10.0	10.0	10.0	5.337182815017214	0.7719793539974605 7.258110057468178 1.5484188473677947 7.900788432841701 2.325878904049609 8.550267176226575
5	1.074	150.006	7	10.0	10.0	10.0	10.0	7.260970157323594	3.4323943836827318 10.149707703125953 3.2473349147411477 11.145848522516996 3.048935973975203 12.15281472707818 2.841334676289107 13.172976336019557 2.6238366618405395 14.208806044157624
7	1.074	150.006	6	10.0	10.0	10.0	10.0	9.20357713755827	-18.659027248881646 -0.703249957196066 -17.78646502842159 -0.09312582251321026 -16.930683536640593 0.5228633355498428 -16.09881579996041 1.1539018413894138 -15.294390978683062 1.8039117278434171 -14.513389500177075 2.470511661365304 -13.752718042728274 3.1471565901769494
7	1.074	150.006	6	10.0	10.0	10.0	10.0	9.59983210842016	-13.162905668751463 5.073492388066466 -12.11840978844207 4.866535839952119 -11.074692986334753 4.688903311064886 -10.026649150741662 4.547464174028728 -8.978152692486917 4.408309489561814 -7.9377406692057475 4.261538634391769 -6.905498114399464 4.0952945577659055
3	1.074	150.006	7	10.0	10.0	10.0	10.0	6.761597124250821	-6.989087307126887 -3.8306742995703758 -7.35872292878323 -2.8462155303377306 -7.723973054469694 -1.842454789439415
5	1.074	150.006	7	10.0	10.0	10.0	10.0	7.179233084525888	-8.939948312820711 0.40355918268498586 -7.993378033939284 0.24837107552958848 -7.029576121372984 0.11690879870272906 -6.0523647828682146 0.008125663668308048 -5.0514371245257355 -0.09361096211414563
6	1.074	150.006	7	10.0	10.0	10.0	10.0	8.42982482631475	8.842848632013446 -4.92924557992242 9.546688990930516 -5.709141656146246 10.25722729888104 -6.481497850751278 10.976124285152233 -7.24980356745096 11.70379753040969 -8.017918800784708 12.438884721987382 -8.78947606478929
