N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	10	10	10	10	(0, 128, 0)	4.900000233093314	6.699916033862912	-2.200000116546657 1.4287546703519706e-16 -1.5000000874099901 -2.857509197987497e-17 -0.8000000291366638 -1.1430037505532248e-16 -0.09999997086333844 -1.143003750553224e-16 0.6000000874099888 -2.8575091979874795e-17 1.3000001165466568 1.4287546703519736e-16 
6	0.7	6.002	1	10	10	10	10	(0, 128, 0)	4.9000002330933174	6.699916033862912	-2.200000116546657 1.4287546703695146e-16 -1.5000000874099901 -2.857509198010462e-17 -0.8000000291366625 -1.143003750568448e-16 -0.0999999708633355 -1.1430037505684528e-16 0.6000000874099928 -2.85750919801061e-17 1.3000001165466608 1.4287546703694902e-16 
6	0.7	9.003	1	10	10	10	10	(0, 128, 0)	4.9000002330933174	6.699916033862912	-2.200000116546657 1.4287546703695146e-16 -1.5000000874099901 -2.857509198010462e-17 -0.8000000291366625 -1.143003750568448e-16 -0.0999999708633355 -1.1430037505684528e-16 0.6000000874099928 -2.85750919801061e-17 1.3000001165466608 1.4287546703694902e-16 
8	0.7	12.000	1	10	10	10	10	(0, 128, 0)	6.299980680203744	6.699916033862912	-2.8999846868536503 0.004699208874076421 -2.19998881490585 0.0026793477137731798 -1.4999933889108252 0.0009826172641941003 -0.7999978436223006 4.978059151492158e-06 -0.10000215637769638 4.978059151468082e-06 0.5999933889108284 0.0009826172641940268 1.2999888149058532 0.002679347713773054 1.999984686853654 0.0046992088740762435 
8	0.7	15.001	1	10	10	10	10	(0, 128, 0)	6.300000328806018	6.699916033862912	-2.900000164371475 0.002097696674037753 -2.200000136835308 0.0020929262506333107 -1.5000000815025911 0.0020889189730703825 -0.8000000270631369 0.002086610013453749 -0.09999997293686201 0.002086610013453724 0.6000000815025923 0.002088918973070307 1.3000001368353094 0.002092926250633185 2.0000001643714764 0.002097696674037577 
8	0.7	18.003	1	10	10	10	10	(0, 128, 0)	6.300000349627696	6.699916033862912	-2.9000001748138473 0.00209155252307512 -2.2000001456781133 0.0020915412565466287 -1.5000000874065123 0.0020915317923748144 -0.8000000291354419 0.0020915263391986377 -0.09999997086455735 0.0020915263391986126 0.6000000874065133 0.002091531792374739 1.300000145678115 0.002091541256546503 2.0000001748138487 0.002091552523074944 
5	0.7	21.004	2	10	10	10	10	(143, 49, 154)	4.0888486786813125	7.899567957348277	-3.740423548121262 -0.06394304149558007 -3.0533866157099085 -0.0302726991634048 -2.377805755735025 0.0033594486240996033 -1.7123433267113097 0.037496066743544276 -1.0550254375530836 0.07217922948606245 
5	0.7	21.004	2	10	10	10	10	(65, 217, 53)	4.088848678681336	9.460781176189904	0.1550254375531634 0.07217922948816227 0.8123433267113509 0.03749606674473848 1.4778057557350304 0.0033594486244634793 2.153386615709881 -0.03027269916379464 2.8404235481212012 -0.0639430414966905 
5	0.7	24.001	2	10	10	10	10	(143, 49, 154)	4.198603364989698	7.899567957348277	-3.941687836673505 -0.08530322518515132 -3.243258947639549 -0.04077268339036814 -2.5449741344706243 0.003757044709551823 -1.8468162738600866 0.04829512017243341 -1.1487601965642378 0.09284274788618464 
5	0.7	24.001	2	10	10	10	10	(65, 217, 53)	4.198603364989699	9.460781176189904	0.24876019656449555 0.09284274789140616 0.9468162738602182 0.04829512017567195 1.6449741344706297 0.0037570447108096683 2.3432589476394283 -0.04077268339108866 3.0416878366732583 -0.08530322518784927 
5	0.7	27.002	2	10	10	10	10	(143, 49, 154)	4.199982360121849	7.899567957348277	-3.944206737399656 -0.08560292142699494 -3.245636261458676 -0.040919599227495274 -2.547067594351051 0.0037637143719380923 -1.8485005464287143 0.04844713479116302 -1.1499348253881136 0.09313067568400261 
5	0.7	27.002	2	10	10	10	10	(65, 217, 53)	4.199982360121849	9.460781176189904	0.24993482538837586 0.09313067568927938 0.9485005464288486 0.04844713479443868 1.647067594351057 0.003763714373212669 2.3456362614585538 -0.04091959922822174 3.044206737399406 -0.08560292142972246 
5	0.7	30.003	2	10	10	10	10	(143, 49, 154)	4.199999947550129	7.899567957348277	-3.9442388617566073 -0.08560674906338661 -3.245666580405986 -0.040921475527262004 -2.5470942934251597 0.003763799735381769 -1.8485220271009943 0.04844907636083069 -1.1499498064107276 0.09313435268704917 
5	0.7	30.003	2	10	10	10	10	(65, 217, 53)	4.199999947550129	9.460781176189904	0.24994980641098805 0.09313435269232663 0.9485220271011267 0.048449076364106794 1.6470942934251638 0.0037637997366565356 2.345666580405862 -0.040921475527988575 3.0442388617563556 -0.0856067490661145 
5	0.7	33.004	2	10	10	10	10	(143, 49, 154)	4.200000171920607	7.899567957348277	-3.9442392715808143 -0.08560679789508442 -3.245666967197855 -0.04092149946445236 -2.5470946340367866 0.003763800824449194 -1.8485223011392455 0.0484491011307368 -1.1499499975301593 0.09313439959696372 
5	0.7	33.004	2	10	10	10	10	(65, 217, 53)	4.200000171920608	9.460781176189904	0.2499499975304207 0.09313439960224117 0.9485223011393791 0.04844910113401291 1.6470946340367922 0.003763800825723982 2.3456669671977326 -0.040921499465178895 3.0442392715805644 -0.0856067978978123 
7	0.7	36.001	2	10	10	10	10	(143, 49, 154)	5.397055697912014	7.899567957348277	-5.008353150434572 -0.21055350337389114 -4.32257850309053 -0.1428251336404801 -3.647422361714533 -0.07455599775223852 -2.9823625610079 -0.003619405956835069 -2.326495455407216 0.07163698767714448 -1.6784659202621335 0.15157378092773344 -1.036421679700999 0.23468985982812526 
7	0.7	36.001	2	10	10	10	10	(65, 217, 53)	5.397055698738027	9.460781176189904	0.13642168127849622 0.23468988264081658 0.7784659210655758 0.15157379551520997 1.4264954555557896 0.07163699532546718 2.0823625606975056 -0.003619403516756529 2.747422361113416 -0.07455599896724903 3.422578502290808 -0.14282513748860143 4.108353149449582 -0.2105535094486234 
7	0.7	39.002	2	10	10	10	10	(143, 49, 154)	5.571995284659188	7.899567957348277	-5.266071122569061 -0.28379349596402903 -4.57410701869711 -0.1885028974941921 -3.8836158257291133 -0.09315859961188952 -3.1945396233241814 0.002589481476718799 -2.5067629371008397 0.09902426226951624 -1.8200988992344738 0.1962250463165547 -1.1342809063835955 0.2939627431691794 
7	0.7	39.002	2	10	10	10	10	(65, 217, 53)	5.571995285156897	9.460781176189904	0.23428091363638595 0.2939628160433899 0.920098903897735 0.19622510006617572 1.606762939256041 0.09902429747170073 2.294539623088841 0.002589498938695334 2.9836158232078707 -0.09315859914003564 3.674107013950929 -0.18850291350726248 4.366071115606039 -0.2837935282647018 
7	0.7	42.003	2	10	10	10	10	(143, 49, 154)	5.59607587411959	7.899567957348277	-5.301026150703522 -0.2949552422032015 -4.608346061188158 -0.19546175783755582 -3.9158724969432264 -0.09596127096997967 -3.2235976990945483 0.0035963702202233814 -2.531505706438322 0.10325190627500361 -1.839570341823984 0.20301708504949642 -1.147754032875887 0.3028594390187268 
7	0.7	42.003	2	10	10	10	10	(65, 217, 53)	5.59607587420307	9.460781176189904	0.24775404160300035 0.302859522162328 0.9395703475972959 0.20301714757368355 1.6315057092715022 0.10325194827177386 2.3235976990070464 0.0035963918186547408 3.0158724939523913 -0.09596126964964254 3.7083460553041077 -0.19546177671425283 4.401026141927497 -0.29495528124543724 
9	0.7	45.000	2	10	10	10	10	(143, 49, 154)	6.587019484997775	7.899567957348277	-6.006445665741032 -0.39494388481647 -5.317760450699853 -0.3020644996120237 -4.635837361793455 -0.20992039565741427 -3.964110025638776 -0.11729513728502088 -3.3072868299128304 -0.021025372572096697 -2.670287603485112 0.0833963032663868 -2.056552791887357 0.1998742717376256 -1.4662109442304518 0.32917548734476326 -0.8950349458788854 0.46682160952459784 
9	0.7	45.000	2	10	10	10	10	(65, 217, 53)	6.58702047522589	9.460781176189904	-0.004964504931816935 0.46682856835541503 0.5662111428571941 0.329179218540239 1.1565527004780514 0.19987559314016207 1.7702873846876368 0.08339623276800814 2.40728661119309 -0.02102598852996711 3.064109863352207 -0.11729577444774392 3.7358372634949637 -0.20992082688069516 4.417760405156688 -0.30206467655916436 5.106445660943386 -0.3949438156629959 
9	0.7	48.001	2	10	10	10	10	(143, 49, 154)	6.837135806733942	7.899567957348277	-6.372648750127712 -0.5774922978777275 -5.690526755097813 -0.44556650901077177 -5.013892099348118 -0.31226627612383845 -4.343236908148578 -0.17406745412895533 -3.67900838546247 -0.027449542339136254 -3.0214025279085135 0.1300770352137005 -2.3701350795333 0.2991800523946978 -1.7242295143723483 0.4782373764765746 -1.0819055090936498 0.6632219762249179 
