N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	current length	div_length	X
8	0.7	66.004	3	10	10	10	1	6.300141284290431	7.520689998394601	-0.4177557159260645 -1.4890455920769745 0.20746775387322205 -1.1742483671367006 0.8326283516555567 -0.8593237782639338 1.4576286190583596 -0.5440789391640501 2.0823669450913576 -0.22831333837175127 2.7067717957887716 0.0881321320924696 3.3309307504395167 0.4050651575372196 3.9550781340272954 0.7222122409038397 
10	0.7	66.004	3	10	10	10	1	7.699295260779014	11.445354081867503	4.255066513231158 -0.6286252193401282 4.92817880754259 -0.4369185436272746 5.601442346410829 -0.24572755177995056 6.274956629911004 -0.05539443616173468 6.948769802324845 0.13391637807137827 7.622882645335491 0.32220587376498544 8.297257572977477 0.5096109996148347 8.971831508721312 0.6963604984827649 9.646531312822676 0.8827200849234277 10.321290599036553 1.0689312627425236 
7	0.7	69.001	3	10	10	10	1	5.600035409027431	7.912069488139701	-6.649633172527797 -0.6863422621103173 -5.994621577751697 -0.43943643416868555 -5.3396145308833685 -0.1925133051489626 -4.6846205802495735 0.05444934924268085 -4.029646495659592 0.3014689390613724 -3.3746938802905078 0.5485490063612664 -2.719756551913987 0.7956722210210604 
9	0.7	69.001	3	10	10	10	1	6.999840956288537	9.278774889224241	-3.042755864765837 -0.8287002639903809 -2.3951854311045677 -0.5629118770156656 -1.747685824640248 -0.29693661765211504 -1.1003609550162796 -0.030554719378668885 -0.4533191249125901 0.23649472492348136 0.19334609827954624 0.5044357000320341 0.8395863687686115 0.7733821746697912 1.4854288359986048 1.0432670511930693 2.1310049801846724 1.3137751391574344 
9	0.7	69.001	3	10	10	10	1	7.000030972050924	7.520689998394601	-1.0414910320745898 -1.8069232503575614 -0.4163303650509406 -1.4920103730153607 0.20880572806540582 -1.1770550392015915 0.8338723689425208 -0.8619681879574627 1.4588011434639947 -0.546614191651765 2.083499526556438 -0.23081018772016185 2.7078502629481758 0.08567443654408713 3.3317402532280997 0.40313511448871353 3.955513283437832 0.7209618778515278 
11	0.7	69.001	3	10	10	10	1	8.399538688603737	11.445354081867503	4.256851808355027 -0.6340788677904268 4.929997850935122 -0.4423616546531364 5.603250400627172 -0.2509901751604059 6.276669076150922 -0.06017360615593215 6.95027844842847 0.1300011678079516 7.624074319249218 0.3195480947402221 8.298031651294409 0.5085547188892401 8.972113477199287 0.6971510072311948 9.646279638993374 0.8854783432436033 10.320494109185113 1.0736634405798022 10.99473010503207 1.2618001765099325 
8	0.7	72.002	3	10	10	10	1	6.300000643903141	7.912069488139701	-7.304455682623071 -0.9336565027221135 -6.649515914537028 -0.6865654823773175 -5.994576232863492 -0.4394740966449925 -5.339636831833412 -0.19238193110152937 -4.684697824327505 0.05471129012173628 -4.029759218684056 0.3018055638785057 -3.374820917428974 0.5489006084870441 -2.7198827926440714 0.7959959845057847 
10	0.7	72.002	3	10	10	10	1	7.699784665209286	9.278774889224241	-3.6873967111731196 -1.102092403101895 -3.040742187065211 -0.8340764499261305 -2.3941331627038793 -0.565961143383662 -1.7476377105765504 -0.2975833614596787 -1.101334009798616 -0.02875649959669967 -0.4552942184624046 0.24069032956015096 0.19043172131709996 0.5108734700313339 0.8358317384191027 0.7818178815340974 1.480945741976739 1.0534245942210654 2.1258769627768896 1.3254447455977134 
12	0.7	72.002	3	10	10	10	1	9.09985186145201	11.445354081867503	4.257391081990357 -0.6361283243386014 4.930781209106998 -0.4449810711317695 5.604187514653402 -0.25391097344325136 6.277642323158504 -0.0630284151707273 6.951177549857318 0.12755884941459372 7.624815850188626 0.317776238072171 8.298564847755193 0.5076023221361965 8.972415506363424 0.69707433314892 9.646345440681694 0.8862761104135006 10.32032649766622 1.0753105948131785 10.994333560130938 1.264267817432647 11.668350352657145 1.453204103370457 
5	0.7	72.002	4	10	10	10	1	4.17329319791099	5.758184264247356	-1.7485581805069674 -2.09046859765537 -1.1116688028014725 -1.8065902636812938 -0.47718454674396943 -1.5239070338292549 0.15498574036772708 -1.2424986821250734 0.7849099173902263 -0.9623312713237487 
5	0.7	72.002	4	10	10	10	1	4.173310978967464	7.674351514925297	1.5710947512626643 -0.5717584817072026 2.169956812108219 -0.23019310528989345 2.7711154858277776 0.11249429364049172 3.374526991695443 0.45657335588996234 3.980273133863714 0.8019639258339136 
9	0.7	75.003	3	10	10	10	1	7.000000402650851	7.912069488139701	-7.959372433508812 -1.1808080945204917 -7.304438852337267 -0.9337007401194931 -6.649504986136962 -0.6865940594178356 -5.994570518480732 -0.4394889734189335 -5.339635172414336 -0.1923862159087651 -4.684698843343185 0.054713936183203075 -4.02976163663292 0.3018117624169555 -3.3748238293544155 0.5489079974238097 -2.7198857918060906 0.7960035403351224 
11	0.7	75.003	3	10	10	10	1	8.398705152403767	9.278774889224241	-3.686243750077957 -1.1054430377279694 -3.0401462854414008 -0.8361051774128223 -2.394072934674503 -0.5667415373329066 -1.7480614333608666 -0.29726968148777716 -1.1021814615545276 -0.02753506416610801 -0.45653869108230255 0.2426980274670006 0.18873085603328998 0.5137326227697041 0.8334824164495137 0.7858881871936333 1.477605003916544 1.0594026787524622 2.1210855447807684 1.3342875177203255 2.7640889853974495 1.610147648609185 
13	0.7	75.003	3	10	10	10	1	9.799479758358512	11.445354081867503	4.2583851978902425 -0.6379286903942609 4.9315203034144925 -0.4463125756163759 5.604753590802897 -0.2549469312099118 6.278110954372638 -0.06394177405357243 6.951593493152047 0.12668273220476128 7.625189531186971 0.31695442298358656 8.298881716656476 0.5069241891094874 8.97265045083373 0.69665356412622 9.646475529576273 0.8862083893973762 10.320337687442683 1.0756527026022131 10.994220699580739 1.2650406306929618 11.668113368041148 1.454408865267031 12.342010082222208 1.6437745593296542 
5	0.7	75.003	4	10	10	10	1	4.186688111195457	5.758184264247356	-1.8817364476743357 -2.1431134505006884 -1.2413630487412208 -1.8637694538703269 -0.6021966983646347 -1.5850036780243164 0.03580482322994573 -1.3068486723437545 0.6726762193256117 -1.0292883182902364 
5	0.7	75.003	4	10	10	10	1	4.18682766264342	7.674351514925297	1.7005622997399754 -0.5366462148524108 2.300438736990599 -0.18615848685803682 2.901534476396587 0.16480129719011483 3.5038081107115375 0.5163802722488834 4.1069179705729155 0.8690067405923259 
10	0.7	78.004	3	10	10	10	1	7.700000436626604	7.912069488139701	-8.61428266173451 -1.4279773478429059 -7.959358403119316 -1.1808452972941776 -7.304432533458381 -0.9337174408083195 -6.649503516707633 -0.6865979253133202 -5.994570883258872 -0.439487990909549 -5.339635409688629 -0.19238557831654027 -4.684698514091389 0.054713069764119514 -4.029761443609863 0.30181125705592976 -3.374824776186662 0.5489105140370502 -2.7198884612275793 0.7960106232967823 
12	0.7	78.004	3	10	10	10	1	9.098490222903498	9.278774889224241	-4.331373701946922 -1.3792371210812284 -3.6854730091919152 -1.109453077309825 -3.0396305605735465 -0.8395841574843105 -2.393918714880608 -0.5694593535982372 -1.7484354353011264 -0.29884750508301167 -1.1032939702617444 -0.02748250140499587 -0.45860886878371976 0.24490270141756054 0.18552144799188125 0.5185341810570303 0.8290347828248964 0.7935497643989287 1.4719272558565362 1.0699484872911 2.1142773012015095 1.3475370471178623 2.7562718327785203 1.625871506110574 
14	0.7	78.004	3	10	10	10	1	10.496809259847046	11.445354081867503	3.59472444402966 -0.8522965545040886 4.2646885454050745 -0.652398860259948 4.935356835552886 -0.454334411701348 5.606947671499128 -0.25872499712738634 6.279341664973166 -0.06533541193164387 6.95231537060499 0.12643013591382482 7.625654774419334 0.3171757836950479 8.299206326312902 0.5073427557895196 8.97288125794317 0.6971840415653429 9.646636367571848 0.8868186226544725 10.32045101743622 1.0763017623848266 10.994311316080392 1.265673643128375 11.668203807263973 1.4549774496842274 12.342115859585856 1.6442556729637294 
5	0.7	78.004	4	10	10	10	1	4.193388722107598	5.758184264247356	-1.947807114480588 -2.169138388551227 -1.3058365932186522 -1.8917654182149006 -0.6644653166615423 -1.614680073575875 -0.02367150844547723 -1.3379016997497313 0.6165616716898253 -1.0614230640462865 
5	0.7	78.004	4	10	10	10	1	4.193607351251979	7.674351514925297	1.761201965856222 -0.509841853115194 2.3621178968316436 -0.15587879828540624 2.9641079892557287 0.19755227206586667 3.568068351341604 0.5490475577952886 4.172761301364692 0.900326046794206 
10	0.7	81.001	3	10	10	10	1	7.700000507566166	7.912069488139701	-8.614293913427021 -1.427947507390599 -7.959361532724181 -1.1808369619263401 -7.304429053061661 -0.9337265892158367 -6.649496401891018 -0.6866166667170581 -5.994563484351139 -0.4395074490721165 -5.339630240426893 -0.1923990983807522 -4.684696664035814 0.054708367124378855 -4.029762806777549 0.3018150834276887 -3.374828763914398 0.5489213034509042 -2.7198946708867036 0.7960273046544314 
