N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	10	10	10	0.5	(0, 128, 0)	4.900000233093314	7.4709260491200675	-2.200000116546657 1.4287546703519706e-16 -1.5000000874099901 -2.857509197987497e-17 -0.8000000291366638 -1.1430037505532248e-16 -0.09999997086333844 -1.143003750553224e-16 0.6000000874099888 -2.8575091979874795e-17 1.3000001165466568 1.4287546703519736e-16 
7	0.7	6.002	1	10	10	10	0.5	(0, 128, 0)	5.5999880982551975	7.4709260491200675	-2.8999802869210862 0.005287909407459368 -2.1999856754127616 0.0030723979849453763 -1.4999913958888225 0.0011895970620438958 -0.7999957937253416 -4.026752138862075e-05 -0.09999821385476013 -0.0005325908257995054 0.6000008018927178 -0.00046476137218666105 1.300000443790153 -0.00014613282387870936 
7	0.7	9.003	1	10	10	10	0.5	(0, 128, 0)	5.60000029107187	7.4709260491200675	-2.8999912980306384 0.0038843264597381894 -2.1999918428678438 0.0029879324286163494 -1.4999923585887018 0.002091540798036498 -0.7999928743160634 0.0011951542356605088 -0.0999933900355327 0.00029877383608492824 0.6000060942644813 -0.0005976014953200662 1.3000055494543907 -0.0014939743516212615 
8	0.7	12.000	1	10	10	10	0.5	(0, 128, 0)	6.299999062744391	7.4709260491200675	-2.8999935560176247 0.004922090460040714 -2.199994936464047 0.003565914604140078 -1.4999964234895906 0.0021830732712676314 -0.7999980889486767 0.0007408899646648462 -0.09999994672962252 -0.0007819723303915807 0.5999980365853688 -0.002385513806009498 1.2999959400555297 -0.004048397722447468 1.9999938341588386 -0.005737947501417442 
8	0.7	15.001	1	10	10	10	0.5	(0, 128, 0)	6.300000348820685	7.4709260491200675	-2.8999937703365952 0.0051367792444908964 -2.199995396916025 0.0036143100006942102 -1.4999969945487135 0.002091777716108253 -0.7999985925215979 0.0005691052803430135 -0.10000019092140423 -0.0009537576989811161 0.5999982102766469 -0.0024768112219180445 1.2999966112050896 -0.004000004896187819 1.9999949829127723 -0.0055232614847020986 
9	0.7	18.003	1	10	10	10	0.5	(0, 128, 0)	7.00000025366996	7.4709260491200675	-3.599981617830956 0.00938112365251125 -2.8999845827286403 0.0073369044632051374 -2.199987507791886 0.005299159194358688 -1.4999903953308957 0.0032765155266135633 -0.79999322291456 0.0012759338844096153 -0.09999598034222812 -0.0006999479291998602 0.6000013276021658 -0.0026537677329532597 1.2999986838096802 -0.004592485966498474 1.9999960369593766 -0.0065247301579876285 
5	0.7	21.004	2	10	10	10	0.5	(85, 6, 38)	4.186128009099432	9.317511477357451	-4.361824576879223 -0.0011449765580830143 -3.663239146379206 0.003761859176791355 -2.9660443041651225 0.008668535220543337 -2.2702266165700125 0.01358463988865749 -1.5757658995608508 0.018510156091121065 
5	0.7	21.004	2	10	10	10	0.5	(13, 235, 189)	4.186129294663431	7.685104390186437	-0.7240945564649615 0.01862508449143834 -0.02969778997805786 0.007957380623480845 0.6660561981648221 -0.002688993733626366 1.3631875961785422 -0.013314091808144394 2.0617095836529797 -0.023939139051953297 
5	0.7	24.001	2	10	10	10	0.5	(85, 6, 38)	4.190268201584376	9.317511477357451	-4.447743487947286 -0.002329627573175432 -3.7487450779022193 0.0031272808470737437 -3.050722212501413 0.008582114390640922 -2.3536654702753945 0.01404043059804957 -1.657560697588319 0.019502261135229827 
5	0.7	24.001	2	10	10	10	0.5	(13, 235, 189)	4.190269875097874	7.685104390186437	-0.6422599008568575 0.021679400340406402 0.05376095098720167 0.009530488088602958 0.7507340534706503 -0.0025974964609286394 1.4486735628724796 -0.014704619958463512 2.1475886173717407 -0.02680977723715063 
