N disks	Disks radius	time	Gen	Method	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	7	10	10	10	1	(0, 128, 0)	4.900000233093314	8.260382877122614	-2.200000116546657 1.4287546703519706e-16 -1.5000000874099901 -2.857509197987497e-17 -0.8000000291366638 -1.1430037505532248e-16 -0.09999997086333844 -1.143003750553224e-16 0.6000000874099888 -2.8575091979874795e-17 1.3000001165466568 1.4287546703519736e-16 
7	0.7	6.002	1	7	10	10	10	1	(0, 128, 0)	5.5999880982551975	8.260382877122614	-2.8999802869210862 0.005287909407459368 -2.1999856754127616 0.0030723979849453763 -1.4999913958888225 0.0011895970620438958 -0.7999957937253416 -4.026752138862075e-05 -0.09999821385476013 -0.0005325908257995054 0.6000008018927178 -0.00046476137218666105 1.300000443790153 -0.00014613282387870936 
7	0.7	9.003	1	7	10	10	10	1	(0, 128, 0)	5.60000029107187	8.260382877122614	-2.8999912980306384 0.0038843264597381894 -2.1999918428678438 0.0029879324286163494 -1.4999923585887018 0.002091540798036498 -0.7999928743160634 0.0011951542356605088 -0.0999933900355327 0.00029877383608492824 0.6000060942644813 -0.0005976014953200662 1.3000055494543907 -0.0014939743516212615 
8	0.7	12.000	1	7	10	10	10	1	(0, 128, 0)	6.299999062744387	8.260382877122614	-3.599979582764504 0.008128276627201584 -2.8999816886612018 0.006438726845655835 -2.199983785191047 0.004775842926839678 -1.4999858018760606 0.0031723014492830793 -0.7999876596570095 0.0016494391528854432 -0.09998932511609752 0.0002072558455389216 0.6000091878583584 -0.0011755854876377562 1.3000078074119354 -0.0025317613436450347 
8	0.7	15.001	1	7	10	10	10	1	(0, 128, 0)	6.300000348820685	8.260382877122614	-3.5999807315184427 0.00791359060889683 -2.899982359810763 0.006390334019037909 -2.199983958882324 0.004867140343424133 -1.499985557684275 0.0033440868191444107 -0.7999871560840847 0.0018212238384790707 -0.09998875405697238 0.00029855140137420295 0.6000096483103361 -0.0012239808845501737 1.300008021730903 -0.0027464501296846416 
9	0.7	18.003	1	7	10	10	10	1	(0, 128, 0)	7.000000253642217	8.260382877122614	-4.299968580389643 0.012157190584530353 -3.599971545468906 0.010112909756589555 -2.899974470708393 0.00807510499176826 -2.1999773584091438 0.006052406826138798 -1.4999801861326865 0.004051777987795436 -0.7999829436754925 0.002075857152812323 -0.09998563582390213 0.00012200562942856512 0.6000117203065625 -0.0018167393256606822 1.3000090733868404 -0.003749008096037888 
10	0.7	21.004	1	7	10	10	10	1	(0, 128, 0)	7.699999218807196	8.260382877122614	-4.999953661921448 0.0168415619771273 -4.299958653958931 0.014205707075592728 -3.5999635790103977 0.011594534057218999 -2.8999683310984348 0.009042921982062541 -2.1999727881916145 0.006582726517613319 -1.4999768785073235 0.0042326007384003266 -0.7999805961255074 0.001992465732739784 -0.09998399510878805 -0.00015644420299549674 0.6000128322824326 -0.00224599086642395 1.3000097577316136 -0.004310962036650742 
5	0.7	24.001	2	7	10	10	10	1	(21, 222, 73)	4.174160502937729	7.9520934122025135	-3.0074544320626497 -0.03277015614403059 -3.6967548138334383 -0.00793188701277192 -4.3885466801726665 0.01691208524631676 -5.082892416097595 0.04176272793832685 -5.779832360023671 0.06666331397667713 
6	0.7	24.001	2	7	10	10	10	1	(118, 44, 114)	4.86732901513294	7.455339501644787	-2.1142459370756836 -0.05005674424689557 -1.425267737223566 -0.029751261163577826 -0.7342580949730609 -0.009677475870381704 -0.041134929491797846 0.01010455632354375 0.6541596095961928 0.029681817483524345 1.3516615229527291 0.04920203348941023 
5	0.7	27.002	2	7	10	10	10	1	(21, 222, 73)	4.185661048498225	7.9520934122025135	-3.14094322450361 -0.033736039013906906 -3.834731567935559 -0.006807188822391574 -4.529901954265941 0.020142972499331023 -5.22648897679557 0.04711541275188552 -5.924515209566831 0.07412714052267111 
6	0.7	27.002	2	7	10	10	10	1	(118, 44, 114)	4.881873650624064	7.455339501644787	-2.022518341609162 -0.06433568150326381 -1.3289157109876513 -0.03932731155538447 -0.6341853507565519 -0.014490690497561623 0.06171961467509726 0.01013092248284104 0.7588312934111988 0.03460122246230371 1.4571689430601968 0.05902790228414003 
6	0.7	30.003	2	7	10	10	10	1	(21, 222, 73)	4.83396237618013	7.9520934122025135	-2.6776858845168445 0.11794225732514496 -3.362280469841172 0.08061479273297105 -4.040557756553601 0.05475119942414128 -4.724903842822188 0.043843561849389624 -5.414901745954586 0.04454519934359697 -6.110025841854234 0.050479486014292176 
7	0.7	30.003	2	7	10	10	10	1	(118, 44, 114)	5.528870354877361	7.455339501644787	-2.5568365563136912 -0.24407228996006933 -1.8748679372981158 -0.15698616730023346 -1.1996416345410335 -0.08285411125877037 -0.5180742865103507 -0.025149697780510016 0.169208244967198 0.018464947779710764 0.8611762801571197 0.05345056304116194 1.557009036393724 0.08522072796215767 
6	0.7	33.004	2	7	10	10	10	1	(21, 222, 73)	4.899574972833065	7.9520934122025135	-2.780239277100457 0.5903946638899312 -3.4637900063342744 0.44005477368583207 -4.1477792869591825 0.29172673891892326 -4.832312242034362 0.14585302728416905 -5.517268678683734 0.0018445900370638217 -6.20243408649262 -0.1413297303099195 
7	0.7	33.004	2	7	10	10	10	1	(118, 44, 114)	5.599193854794054	7.455339501644787	-2.4851494574297983 -0.6069237368400758 -1.8017688938885992 -0.45593906949194196 -1.1179005309128194 -0.30732322166316706 -0.4333339473238452 -0.16198243413639926 0.2518942265997752 -0.019686194782121212 0.9375939712476692 0.12052786826669025 1.6235269267303087 0.2598626356146553 
7	0.7	36.001	2	7	10	10	10	1	(21, 222, 73)	5.600013034843315	7.9520934122025135	-2.1217398142944908 0.8480932977230856 -2.800907571195379 0.6785892565546239 -3.4800299876765863 0.5088977309973601 -4.159090960841459 0.3389490383259566 -4.838175571761534 0.1691001675022711 -5.517305432851595 -0.0005629660652649403 -6.1964614587247 -0.17011694183798445 
