N disks	Disks radius	time	Gen	Method	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	7	15	10	10	10	(0, 128, 0)	4.900000155395562	9.0822630401637	-2.2000000776977764 1.4287546465610385e-16 -1.500000058273331 -2.8575091979835667e-17 -0.8000000194244414 -1.1430037267626464e-16 -0.09999998057555197 -1.1430037267626536e-16 0.6000000582733381 -2.8575091979837904e-17 1.3000000776977847 1.4287546465610005e-16 
7	0.7	6.002	1	7	15	10	10	10	(0, 128, 0)	5.599990204290712	9.0822630401637	-2.89998194690298 0.005283355830717694 -2.199986695684006 0.003070998700403969 -1.499991448839836 0.001191769686028117 -0.7999950838458346 -3.51865732085366e-05 -0.09999731345899186 -0.0005276367178346152 0.6000014893354519 -0.00046425768430605224 1.3000009181258803 -0.00015289127257466366 
7	0.7	9.001	1	7	15	10	10	10	(0, 128, 0)	5.600000194243123	9.0822630401637	-2.8999912440642195 0.0038843280787659827 -2.199991798585644 0.0029879332278290207 -1.4999923336794982 0.00209154088894599 -0.7999928687666582 0.001195153824286968 -0.09999340384560566 0.00029877317296429356 0.6000060610822604 -0.0005976022041345253 1.3000055065890535 -0.0014939750194318075 
8	0.7	12.002	1	7	15	10	10	10	(0, 128, 0)	6.299999809740905	9.0822630401637	-3.5999799446054745 0.008128354603314746 -2.8999819953078387 0.006438746071206911 -2.199983990349299 0.004775812586342813 -1.4999858670841555 0.0031722421312838146 -0.7999875711521655 0.0016493789244192037 -0.09998909672446915 0.0002072228139747905 0.6000095176880544 -0.0011755706080648503 1.3000081925029705 -0.002531689195901665 
8	0.7	15.000	1	7	15	10	10	10	(0, 128, 0)	6.300000233082633	9.0822630401637	-3.599980662008005 0.007913600362238761 -2.8999822999651355 0.006390337287448164 -2.199983918359463 0.0048671380933883596 -1.4999855364447303 0.0033440811546385243 -0.7999871541093843 0.0018212176200537553 -0.09998877135314067 0.0002985474896334334 0.600009611713003 -0.001223980385478749 1.3000079754944749 -0.0027464442953465096 
9	0.7	18.001	1	7	15	10	10	10	(0, 128, 0)	7.000000244578265	9.0822630401637	-4.299968557554167 0.012157268640479236 -3.599971524894364 0.010112938284575029 -2.899974455359973 0.008075089600376225 -2.1999773431772587 0.006052360563113974 -1.4999801682245213 0.00405171992830266 -0.7999829230303497 0.0020758086615090517 -0.09998561512616076 0.00012198579699823089 0.6000117360215566 -0.0018167174227083208 1.3000090871161365 -0.003748938866082135 
10	0.7	21.002	1	7	15	10	10	10	(0, 128, 0)	7.699999817087875	9.0822630401637	-4.999953934773546 0.016842335884500282 -4.299958902101449 0.014206029107039936 -3.5999637787530125 0.0115944445100273 -2.8999684545689277 0.009042517089956865 -2.199972816469913 0.006582151952476126 -1.499976804683582 0.004232029070583905 -0.799980426528649 0.0019920664531744878 -0.09998374804481826 -0.00015653287866894408 0.6000131295762304 -0.00224568033933472 1.3000100821713547 -0.004310216060793339 
11	0.7	24.001	1	7	15	10	10	10	(0, 128, 0)	8.399998766943824	9.0822630401637	-5.699937145595065 0.02175386432286178 -4.999944340583043 0.01858961825410165 -4.299951406423398 0.01546311714601258 -3.5999581245060783 0.0124278439530123 -2.8999642867308886 0.00953336412452386 -2.1999697782583474 0.006810908233885324 -1.499974596317107 0.004266147452893949 -0.7999788310172967 0.0018794286674079126 -0.09998262683927865 -0.0003878669302058004 0.6000138577274641 -0.0025830503440788977 1.3000104655532951 -0.004750076104376534 
6	0.7	27.002	2	7	15	10	10	10	(163, 108, 96)	4.841550038035052	8.824745563036425	-3.1879564733901375 0.11313257498318531 -3.868560503549052 0.07424422084394612 -4.552017475082968 0.036086426779399064 -5.23889072266686 -0.0011326205170386326 -5.929597341913789 -0.037677228309161766 -6.624407708403382 -0.0740351583119704 
6	0.7	27.002	2	7	15	10	10	10	(208, 56, 106)	4.8415859251375455	9.197655928301096	-1.9109162469237497 0.1134363610113122 -1.2307716508431068 0.06702323415215054 -0.5477575053959614 0.021481301227268386 0.1386942319586344 -0.022945765251660012 0.8289943131144317 -0.06657508065538316 1.5234021382548129 -0.10998584514163719 
6	0.7	30.000	2	7	15	10	10	10	(163, 108, 96)	4.897964602191104	8.824745563036425	-3.247082161288031 0.12467377987166964 -3.945148067324458 0.08209503438626989 -4.64331353482966 0.03954300152479615 -5.341598248020996 -0.002975224584626834 -6.040016684486949 -0.04546968259785844 -6.7385781034862635 -0.08795828196724302 
6	0.7	30.000	2	7	15	10	10	10	(208, 56, 106)	4.897966909808401	9.197655928301096	-1.851464533671604 0.12805587162534549 -1.15396701492754 0.07699529170223723 -0.4563690383826393 0.02596967665532287 0.24134931761103245 -0.025011732793737255 0.9392021973378119 -0.07596179310741467 1.6371982654730488 -0.12690352261876311 
7	0.7	33.001	2	7	15	10	10	10	(163, 108, 96)	5.5895968395060205	8.824745563036425	-2.7587539602917874 -0.4374708129612684 -3.4462163028047694 -0.3162187296069916 -4.134927517744523 -0.204072134478422 -4.82576688269671 -0.10604274737157515 -5.518804533122082 -0.02239239863101934 -6.213590921388044 0.05072035872237209 -6.909524775760587 0.11915964532508526 
7	0.7	33.001	2	7	15	10	10	10	(208, 56, 106)	5.594881883701948	9.197655928301096	-2.2712263885060997 0.8238378774681269 -1.610158912967638 0.5956700574034427 -0.946416688604549 0.3765416219518205 -0.2783798680078728 0.1714308185606201 0.3939941877777506 -0.019372167135772892 1.069574172642518 -0.19967280022456407 1.746767986144217 -0.37532383984313555 
7	0.7	36.002	2	7	15	10	10	10	(163, 108, 96)	5.599969530180786	8.824745563036425	-2.7594982003941912 -0.4618511686544722 -3.451556956519371 -0.35675754352065425 -4.143621854388951 -0.2517024638727579 -4.835696596535948 -0.1467074014761434 -5.527781775717842 -0.041773540155213104 -6.2198752516281655 0.06311545461920681 -6.911973460171135 0.16798453777475145 
7	0.7	36.002	2	7	15	10	10	10	(208, 56, 106)	5.599992425748638	9.197655928301096	-2.2661606168601653 0.8480251466954567 -1.599058771342189 0.6359576543504086 -0.9319447766831922 0.42392811202892877 -0.2648118061452765 0.21195768534460768 0.4023406263358807 4.756816354320424e-05 1.0695075089604495 -0.2118182908512876 1.7366810900646394 -0.4236644304477377 
8	0.7	39.001	2	7	15	10	10	10	(163, 108, 96)	6.2994758805722935	8.824745563036425	-2.0840293218495747 -0.6395304713364647 -2.7732081033720206 -0.5175365529806079 -3.4625152412066256 -0.39625102746513563 -4.15203724530723 -0.2761463799597227 -4.841804924854379 -0.15738448773515043 -5.53179420878817 -0.03981400833806866 -6.221941118490576 0.07694998847891074 -6.912168104038711 0.19337331836679042 
8	0.7	39.001	2	7	15	10	10	10	(208, 56, 106)	6.299940628187299	9.197655928301096	-2.919430603064317 1.0990667336350464 -2.2537221911263368 0.8826510980734332 -1.5881108666031403 0.6659299964202784 -0.9227835535160515 0.44841968622900197 -0.25763895246814517 0.23034158158484408 0.40738560015365 0.011885720490342838 1.0723447852177164 -0.20678278436503522 1.7372824590258902 -0.42553164023205126 
9	0.7	42.002	2	7	15	10	10	10	(163, 108, 96)	6.997083873397976	8.824745563036425	-1.4097156426234683 -0.8198145279364818 -2.094928255861395 -0.6791148185890424 -2.780709470778311 -0.5413109802458883 -3.467401593317733 -0.40805130039527276 -4.155089649114811 -0.2797770903263451 -4.843665493632164 -0.15595008859326875 -5.5329139694961365 -0.035416279008983614 -6.222592806793006 0.08318921442083069 -6.912494577111147 0.20107264069891612 
9	0.7	42.002	2	7	15	10	10	10	(208, 56, 106)	7.000090274105522	9.197655928301096	-3.5826080933237527 1.3208810171418812 -2.9148733927635044 1.1107223369453822 -2.2473040340042587 0.8999612556739711 -1.5802609687332567 0.6874826680379483 -0.9142548812397304 0.4717483398293113 -0.25004295579707814 0.2509569049667861 0.41309745466069553 0.026920562280768803 1.0756727994684219 -0.1988215071161612 1.7380579808989285 -0.42515860983585213 
9	0.7	45.000	2	7	15	10	10	10	(163, 108, 96)	6.999593164605468	8.824745563036425	-1.4122619418915474 -0.8339750432043227 -2.0989702711783775 -0.6986160153555737 -2.7857969260802804 -0.5638363493449104 -3.472822335090092 -0.4300414764767178 -4.160083925670369 -0.2974221996699478 -4.847575635101655 -0.1659477427758853 -5.535255322874637 -0.03539859134625814 -6.223059117996088 0.09456178528523973 -6.910920981483938 0.22428371533625163 
9	0.7	45.000	2	7	15	10	10	10	(208, 56, 106)	6.999998449072137	9.197655928301096	-3.5765011085375686 1.338256307904338 -2.910713046898885 1.1220848285664657 -2.244982493196045 0.9057277993651321 -1.5794070562641394 0.6888864741700638 -0.914101330502752 0.4712125260862673 -0.24920302257057236 0.2523632243388676 0.4154237045105275 0.03268190100651522 1.0798932653586386 -0.18748307319198018 1.7443042758364586 -0.40783327966256944 
10	0.7	48.001	2	7	15	10	10	10	(163, 108, 96)	7.699208226445593	8.824745563036425	-0.7407117918839997 -1.0295425865446715 -1.4246004978331293 -0.8808069304843568 -2.108725449228826 -0.7331582411185501 -2.7932708693524355 -0.5874542033494767 -3.4783449685953576 -0.44421881589029566 -4.163971306505259 -0.3035889890677242 -4.850095554862392 -0.16532519711563012 -5.53660529409014 -0.02888881360230429 -6.223359248455891 0.10642087810430408 -6.910222779537075 0.2412843275618619 
10	0.7	48.001	2	7	15	10	10	10	(208, 56, 106)	7.700086871565162	9.197655928301096	-4.241208315880259 1.55500771702624 -3.5741426940133016 1.3428017285636138 -2.9071247611661484 1.1304278554667575 -2.240243179778673 0.9176096002246801 -1.573605964530365 0.7040123782265042 -0.9073276274084106 0.48928568365156017 -0.24152223489742983 0.2730865944393112 0.4236561978076577 0.055087411354763714 1.0884992568342398 -0.1639447947481787 1.7532174788275445 -0.38336576014946916 
11	0.7	51.002	2	7	15	10	10	10	(163, 108, 96)	8.398904060617495	8.824745563036425	-0.06905322314880137 -1.2249883902286753 -0.7506336632787668 -1.0660526388176708 -1.4325022158474328 -0.9083968858617835 -2.1149071800095887 -0.7531015475343956 -2.7980112180115815 -0.6009058971708013 -3.481875703138798 -0.45212608199401516 -4.1664650079340975 -0.3066455295947174 -4.8516663373126 -0.16397505884763564 -5.537318982256967 -0.023370522675990293 -6.223247946925905 0.11600882003434233 -6.909299343930089 0.25491786469110533 
11	0.7	51.002	2	7	15	10	10	10	(208, 56, 106)	8.40027065774127	9.197655928301096	-4.907796281189868 1.7665776579245056 -4.240331384710297 1.5556193041933575 -3.57285320368954 1.3446735926514635 -2.9053602898715227 1.1337470967141465 -2.237861123725378 0.9228157760040621 -1.5703794620498834 0.7118080510071548 -0.9029581275506682 0.5005928697060193 -0.23566240018215662 0.2889693882444152 0.43141458491911344 0.07665108868825313 1.0980921254128835 -0.13675043883061017 1.7646397122089765 -0.3505591289726492 
12	0.7	54.001	2	7	15	10	10	10	(208, 56, 106)	9.100030488869761	9.197655928301096	-5.575135846216191 1.9771590564273238 -4.907634060800747 1.766344371385124 -4.240127655380534 1.5555410743525622 -3.5726111557087497 1.3447670183298934 -2.9050788484003682 1.1340409430380456 -2.237526201964054 0.9233779976308071 -1.5699508743968686 0.7127864926464844 -0.9023532149090243 0.5022662425688788 -0.23473620940197606 0.2918086670084106 0.43289511217248355 0.08139860305674916 1.1005347271453212 -0.128982415076408 1.7681769898164865 -0.33935178614872086 
6	0.7	54.001	3	7	15	10	10	10	(236, 5, 23)	4.882697107084981	9.085433977860383	-2.4560252269202127 -0.5903616561900604 -1.7876549579078955 -0.7793913436572575 -1.118375731306547 -0.9682600751651569 -0.44800277029451724 -1.156913940415962 0.22355651304978036 -1.3454953078880816 0.896329174458433 -1.5342321738766285 
