N disks	Disks radius	time	Gen	Method	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	7	10	0.1	0.1	10	(0, 128, 0)	4.900000002330925	7.6869485762206935	-2.2000000011654595 3.436382848038307e-17 -1.500000000874095 -1.422453648963661e-17 -0.8000000002913639 -2.0139291990746446e-17 -0.0999999997086322 -2.013929199074616e-17 0.6000000008740995 -1.4224536489635888e-17 1.300000001165465 3.4363828480382054e-17 
7	0.7	6.002	1	7	10	0.1	0.1	10	(0, 128, 0)	5.599997342998911	7.6869485762206935	-2.899953591064559 0.008175935851721097 -2.199997906150435 0.0003717461193047047 -1.4999990985965537 -0.00017088047115187515 -0.7999996196207575 -1.2457397837623659e-05 -0.09999985644280167 1.669866064330048e-06 0.600000048835848 1.5041557278277433e-07 1.3000000183026184 -1.2300122412748966e-08 
7	0.7	9.003	1	7	10	0.1	0.1	10	(0, 128, 0)	5.599999662086107	7.6869485762206935	-2.899979894853493 0.006518127459671291 -2.1999909081940463 0.0025991025469635654 -1.4999954096448764 0.00011447659937557372 -0.7999958205221774 -0.0005596228305607203 -0.09999591912440949 -0.000320176407949691 0.6000039878651753 -4.580520806043351e-05 1.3000039597371982 6.0049924111425864e-05 
8	0.7	12.000	1	7	10	0.1	0.1	10	(0, 128, 0)	6.299999023537094	7.6869485762206935	-3.5999373998983843 0.01441876086768004 -2.899975087835673 0.007167718410147732 -2.1999901394364403 0.002614339581834655 -1.499993790634642 0.0004170449144496792 -0.7999945007839995 -0.0004625248376689525 -0.09999462424772781 -0.0005315089138706018 0.6000052339211408 -0.00024051923440432182 1.3000051117309175 9.556733182083273e-05 
8	0.7	15.001	1	7	10	0.1	0.1	10	(0, 128, 0)	6.299999650747145	7.6869485762206935	-3.5999479872062667 0.013585650655066726 -2.899972194762538 0.0077679491622024465 -2.1999874924311893 0.003151560932197727 -1.4999927552134547 0.0004606008202439543 -0.7999935786518364 -0.000567795372486704 -0.09999362605000162 -0.0006410093875516709 0.6000062803784479 -0.00033551722164905834 1.3000061567520313 5.7438531965653265e-05 
9	0.7	18.003	1	7	10	0.1	0.1	10	(0, 128, 0)	6.999999498373182	7.6869485762206935	-4.299890667946463 0.02275349372145623 -3.599938746354187 0.014552845927191823 -2.89997144965574 0.007796365310865296 -2.199986606896216 0.00320702842152658 -1.4999916389068597 0.0005776411188066671 -0.7999926447208194 -0.0005676102054584038 -0.09999271284846865 -0.0007400323255238812 0.6000071909095693 -0.000433385951796134 1.3000070362693232 9.870209101887332e-06 
5	0.7	21.004	2	7	10	0.1	0.1	10	(255, 197, 1)	4.184702544677167	7.994516421373017	-2.538214480208792 -0.09592218819670834 -3.2212136886165723 0.0286987904937631 -3.9162499774078494 0.049193763004030874 -4.61299296003393 0.04437416081968128 -5.311191430327676 0.057881420976761286 
5	0.7	21.004	2	7	10	0.1	0.1	10	(232, 44, 28)	4.18468543389174	8.541260383260635	-1.164445403749276 -0.0869969579414046 -0.4781176260312705 0.017649769690917277 0.21712602082761828 0.029185817543458645 0.913774961421628 0.01689491260380591 1.6120959399183759 0.02021439747027616 
5	0.7	24.001	2	7	10	0.1	0.1	10	(255, 197, 1)	4.199361580808411	7.994516421373017	-2.5502104775839385 -0.07777623053249604 -3.2462614356309065 -0.005779180008531047 -3.9443639478914543 0.04298268587509349 -4.643989312204261 0.06117862281796008 -5.343919248191592 0.06270323585827739 
5	0.7	24.001	2	7	10	0.1	0.1	10	(232, 44, 28)	4.199370923395753	8.541260383260635	-1.151427560091284 -0.06815288698130016 -0.4538841541220868 -0.012427222670089333 0.245030928793532 0.022897038398886998 0.9448477421383269 0.031120334925026846 1.6447485701207216 0.02442748692650885 
