N disks	Disks radius	time	Gen	Method	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	7	10	10	10	5	(0, 128, 0)	4.900000233093314	8.195292807888578	-2.200000116546657 1.4287546703519706e-16 -1.5000000874099901 -2.857509197987497e-17 -0.8000000291366638 -1.1430037505532248e-16 -0.09999997086333844 -1.143003750553224e-16 0.6000000874099888 -2.8575091979874795e-17 1.3000001165466568 1.4287546703519736e-16 
7	0.7	6.002	1	7	10	10	10	5	(0, 128, 0)	5.5999880982551975	8.195292807888578	-2.8999802869210862 0.005287909407459368 -2.1999856754127616 0.0030723979849453763 -1.4999913958888225 0.0011895970620438958 -0.7999957937253416 -4.026752138862075e-05 -0.09999821385476013 -0.0005325908257995054 0.6000008018927178 -0.00046476137218666105 1.300000443790153 -0.00014613282387870936 
7	0.7	9.003	1	7	10	10	10	5	(0, 128, 0)	5.60000029107187	8.195292807888578	-2.8999912980306384 0.0038843264597381894 -2.1999918428678438 0.0029879324286163494 -1.4999923585887018 0.002091540798036498 -0.7999928743160634 0.0011951542356605088 -0.0999933900355327 0.00029877383608492824 0.6000060942644813 -0.0005976014953200662 1.3000055494543907 -0.0014939743516212615 
8	0.7	12.000	1	7	10	10	10	5	(0, 128, 0)	6.299999062744387	8.195292807888578	-3.599979582764504 0.008128276627201584 -2.8999816886612018 0.006438726845655835 -2.199983785191047 0.004775842926839678 -1.4999858018760606 0.0031723014492830793 -0.7999876596570095 0.0016494391528854432 -0.09998932511609752 0.0002072558455389216 0.6000091878583584 -0.0011755854876377562 1.3000078074119354 -0.0025317613436450347 
8	0.7	15.001	1	7	10	10	10	5	(0, 128, 0)	6.300000348820685	8.195292807888578	-3.5999807315184427 0.00791359060889683 -2.899982359810763 0.006390334019037909 -2.199983958882324 0.004867140343424133 -1.499985557684275 0.0033440868191444107 -0.7999871560840847 0.0018212238384790707 -0.09998875405697238 0.00029855140137420295 0.6000096483103361 -0.0012239808845501737 1.300008021730903 -0.0027464501296846416 
9	0.7	18.003	1	7	10	10	10	5	(0, 128, 0)	7.000000253642217	8.195292807888578	-4.299968580389643 0.012157190584530353 -3.599971545468906 0.010112909756589555 -2.899974470708393 0.00807510499176826 -2.1999773584091438 0.006052406826138798 -1.4999801861326865 0.004051777987795436 -0.7999829436754925 0.002075857152812323 -0.09998563582390213 0.00012200562942856512 0.6000117203065625 -0.0018167393256606822 1.3000090733868404 -0.003749008096037888 
10	0.7	21.004	1	7	10	10	10	5	(0, 128, 0)	7.699999218807196	8.195292807888578	-4.999953661921448 0.0168415619771273 -4.299958653958931 0.014205707075592728 -3.5999635790103977 0.011594534057218999 -2.8999683310984348 0.009042921982062541 -2.1999727881916145 0.006582726517613319 -1.4999768785073235 0.0042326007384003266 -0.7999805961255074 0.001992465732739784 -0.09998399510878805 -0.00015644420299549674 0.6000128322824326 -0.00224599086642395 1.3000097577316136 -0.004310962036650742 
5	0.7	24.001	2	7	10	10	10	5	(192, 27, 18)	4.1503490749703165	8.47500393899759	-3.1907874777080276 -0.00989637670452698 -3.8714229240196856 0.0038231920040672682 -4.556314771198763 0.017531777457283355 -5.245930392486749 0.031235692268786846 -5.940588827400263 0.044989220021457874 
6	0.7	24.001	2	7	10	10	10	5	(33, 71, 43)	4.834446992535245	10.17152566832239	-1.974021133989871 -0.021527398957692997 -1.2945658701890377 -0.012839697298971877 -0.6119766278207127 -0.00435972327923835 0.07437562085163986 0.003859173319825829 0.7649812854908002 0.011891555675004625 1.4601759536991141 0.019869454694769237 
5	0.7	27.002	2	7	10	10	10	5	(192, 27, 18)	4.194958182676551	8.47500393899759	-3.296237522416367 -0.011780735885433486 -3.9941163277367626 0.0035642145286725437 -4.692427549234494 0.018908510470755355 -5.391218527923507 0.03425304399408154 -6.090521545708431 0.0496036149841788 
6	0.7	27.002	2	7	10	10	10	5	(33, 71, 43)	4.8933380087675005	10.17152566832239	-1.915020341788475 -0.02743761958263086 -1.2171794204419357 -0.017027003421004588 -0.5190205465007633 -0.0066424414407879094 0.17952047606806543 0.0037097523152737144 0.8784937619298406 0.014039117182990736 1.5779335921780615 0.024362146024840756 
6	0.7	30.003	2	7	10	10	10	5	(192, 27, 18)	4.720404601479448	8.47500393899759	-3.0633880860577567 0.09816701680395053 -3.703338163503641 0.06714450096315952 -4.354474431357093 0.04526521707593315 -5.018097687463128 0.03432563671231531 -5.694286104795909 0.0314509458388189 -6.382577133057428 0.032100044795116696 
7	0.7	30.003	2	7	10	10	10	5	(33, 71, 43)	5.40042784609725	10.17152566832239	-2.279039855234382 -0.14849389788938522 -1.6409516832925692 -0.09173079083331645 -0.9921567705391162 -0.045122262483460636 -0.331323784335761 -0.011255130292248054 0.3411133352709779 0.012178674018723011 1.0238490843876529 0.02941787420386704 1.7155400088524493 0.044440834397630774 
