N disks	Disks radius	time	Gen	Method	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	7	10	10	10	10	(0, 128, 0)	4.900000233093314	10.27814656904528	-2.200000116546657 1.4287546703519706e-16 -1.5000000874099901 -2.857509197987497e-17 -0.8000000291366638 -1.1430037505532248e-16 -0.09999997086333844 -1.143003750553224e-16 0.6000000874099888 -2.8575091979874795e-17 1.3000001165466568 1.4287546703519736e-16 
7	0.7	6.002	1	7	10	10	10	10	(0, 128, 0)	5.600000285915852	10.27814656904528	-2.899991295132337 0.003884576523776439 -2.199991840775116 0.0029879521764159733 -1.4999923576430985 0.0020913832621446723 -0.7999928746036313 0.0011949296689323706 -0.09999339138459634 0.00029861630313153536 0.6000060922223368 -0.0005975817422255385 1.3000055471965375 -0.001493724280980307 
8	0.7	9.003	1	7	10	10	10	10	(0, 128, 0)	6.300000255606749	10.27814656904528	-3.5999806326406123 0.007937383608765693 -2.89998230834371 0.006395700214902535 -2.199983954361033 0.004857027406014113 -1.4999855897781382 0.0033250545253941497 -0.7999872067669499 0.001802190568605731 -0.0999888025506808 0.0002884355296078718 0.6000096202170584 -0.0012186195984197079 1.300008026398444 -0.0027226640408063996 
10	0.7	12.000	1	7	10	10	10	10	(0, 128, 0)	7.700000163341304	10.27814656904528	-4.9999153899260245 0.020808324942238915 -4.299968432811197 0.012191061705301242 -3.5999714648123287 0.0101257927410352 -2.899974454630598 0.008069359617782166 -2.199977394207232 0.006033537627003476 -1.4999802523813017 0.0040278265670549065 -0.7999830147741399 0.0020558265897434825 -0.09998568746497725 0.00011393751685330884 0.6000117067245488 -0.0018073404745262488 1.3000091089406869 -0.0037197825300385855 
11	0.7	15.001	1	7	10	10	10	10	(0, 128, 0)	8.399996139448563	10.27814656904528	-5.6999326755237645 0.022351036869777956 -4.999941401832565 0.018896532765788614 -4.299949979850874 0.015509512961120225 -3.5999579814707725 0.01227963589210152 -2.8999650451481362 0.009280353262944713 -2.199971018920936 0.0065450841355675525 -1.49997596570126 0.004061495987959276 -0.7999800901586533 0.001781464175690014 -0.09998364352024543 -0.00036037662238346446 0.6000131494815624 -0.0024277298521342507 1.300010099237518 -0.004469053773943116 
12	0.7	18.003	1	7	10	10	10	10	(0, 128, 0)	9.099997892381051	10.27814656904528	-6.399917847420665 0.027055118498541086 -5.699927166657389 0.023455112815081936 -4.999936353728894 0.01989246211145376 -4.299945156788799 0.016422537233849684 -3.599953306952932 0.013100944151668632 -2.8999606213708264 0.00996936299376451 -2.19996703830824 0.007046673309026424 -1.4999726128442552 0.004326072306563615 -0.799977485452593 0.0017777984471667495 -0.0999818402959928 -0.0006437627772987397 0.6000141344600225 -0.002990159867381131 1.3000102517121657 -0.005307557070875886 
7	0.7	21.004	2	7	10	10	10	10	(212, 113, 101)	5.478967990295748	8.317321007804178	-3.8820576846339363 0.03774631706545802 -4.55052662766908 0.03365412867331262 -5.222416576176062 0.029710429001089615 -5.898689996465926 0.025985858235159344 -6.580154455052702 0.022468436759929447 -7.267437080304331 0.01908684818653413 -7.960965878494 0.015746557640718507 
7	0.7	21.004	2	7	10	10	10	10	(125, 203, 139)	5.478974797362989	8.625495015116481	-2.617594294155725 0.03471212447306042 -1.9492114757577748 0.023106021534155887 -1.277404822981257 0.011719345116937552 -0.6012105168732624 0.0006500292273599 0.08017856362509557 -0.010136274389407294 0.7673880041960258 -0.020760844783014366 1.4608439614371953 -0.031373397907247434 
8	0.7	24.001	2	7	10	10	10	10	(212, 113, 101)	6.263938575046321	8.317321007804178	-3.386284661956388 -0.5969446816715092 -4.060724835636102 -0.41769075741118383 -4.736363643841266 -0.2551007944939641 -5.415920112787505 -0.11986158725607834 -6.100371808678451 -0.01570936572591939 -6.789406405366129 0.06076670090755315 -7.482183829207094 0.11844295168435057 -8.17791108679232 0.16818869482977955 
8	0.7	24.001	2	7	10	10	10	10	(125, 203, 139)	6.267031934360466	8.625495015116481	-3.1023390285640797 0.6967396350290496 -2.4323388178001677 0.49954790757247214 -1.7606712172675418 0.31899433946546707 -1.0843710713627583 0.16572496784748475 -0.4024012368201266 0.04347290011652746 0.284797304168034 -0.05115907282173678 0.9761168868756109 -0.1270370636542724 1.6704535562182876 -0.19503033171366452 
