N disks	Disks radius	time	Gen	Method	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.003	1	7	1	10	10	10	(0, 128, 0)	4.900001892985401	8.441489651671668	-2.2000009464927004 1.4287552040507976e-16 -1.50000071379961 -2.8575091720229616e-17 -0.8000002326927184 -1.1430042868485007e-16 -0.09999976730728236 -1.1430042868485017e-16 0.6000007137996096 -2.8575091720229776e-17 1.3000009464926998 1.4287552040507954e-16 
7	0.7	6.003	1	7	1	10	10	10	(0, 128, 0)	5.59998284099626	8.441489651671668	-2.899974265622508 0.005280197499036566 -2.1999826987769926 0.0030713502252237225 -1.499996120094544 0.0011941642128026728 -0.8000002431208565 -3.294640054306297e-05 -0.09999995852209519 -0.0005268847659860459 0.6000009093828961 -0.00046500895238027733 1.3000012519226536 -0.00015472140302568587 
7	0.7	9.003	1	7	1	10	10	10	(0, 128, 0)	5.59999598681128	8.441489651671668	-2.8999892065382094 0.0038843119497279925 -2.1999902376881435 0.002987922168449093 -1.4999915428684274 0.0020915352424202617 -0.7999931098695764 0.0011951538581344745 -0.09999460756628654 0.0002987787160466247 0.6000042429793457 -0.0005975916655083858 1.300003336719844 -0.0014939598541421708 
8	0.7	12.003	1	7	1	10	10	10	(0, 128, 0)	6.299988119622068	8.441489651671668	-3.599972426672076 0.00812723482420671 -2.8999765506604054 0.006438473801833082 -2.1999816922416464 0.004776256427852738 -1.4999866640301962 0.003173103746948063 -0.7999905112267555 0.001650250829087953 -0.0999930698587257 0.0002076974889105345 0.600005343719666 -0.0011757927166975296 1.3000040212064672 -0.0025327423014587266 
8	0.7	15.003	1	7	1	10	10	10	(0, 128, 0)	6.29999629058279	8.441489651671668	-3.5999786875931545 0.007913568445425598 -2.8999806625625184 0.0063903158010115155 -2.1999828357688704 0.004867126900172553 -1.4999852939392742 0.0033440795153492024 -0.7999878004128751 0.0018212237916051626 -0.09999013758641487 0.0002985592555830054 0.6000078605911202 -0.001223965113865516 1.3000060075083242 -0.002746426494598653 
9	0.7	18.003	1	7	1	10	10	10	(0, 128, 0)	6.999991565166052	8.441489651671668	-4.299963429106551 0.012157211237173674 -3.599967225336761 0.010112897890737889 -2.8999715418244416 0.00807506689712418 -2.199976215696534 0.006052354493280786 -1.499980797390222 0.0040517271572633054 -0.7999849683200332 0.002075824592218453 -0.09998858231942058 0.00012200582024520801 0.6000083687642354 -0.001816696946190131 1.3000055363375462 -0.0037489194680987324 
10	0.7	21.003	1	7	1	10	10	10	(0, 128, 0)	7.699987241017746	8.441489651671668	-4.999945576869531 0.016842368958824797 -4.2999519387821366 0.014206018920559137 -3.599959060094134 0.011594398748086245 -2.899966334547807 0.009042447903803619 -2.19997303887886 0.006582075197532349 -1.4999788232291575 0.004231963360059652 -0.799983649269029 0.0019920306806811695 -0.0999876440500011 -0.0001565227983873122 0.6000090117858127 -0.0022456141585828647 1.3000058641392283 -0.00431008927996731 
11	0.7	24.002	1	7	1	10	10	10	(0, 128, 0)	8.399983364622747	8.441489651671668	-5.699926063302997 0.021753729002220973 -4.99993513149577 0.01858949880550096 -4.299945139025137 0.015463018766608463 -3.5999549704135743 0.012427768228093727 -2.899963701710384 0.00953331011631529 -2.1999710825999945 0.006810875209588339 -1.4999772276966923 0.004266135755605157 -0.7999823550750154 0.0018794393054178378 -0.09998667670338911 -0.0003878330052583481 0.6000096316959742 -0.0025829927927230652 1.3000061462051784 -0.004749994575588114 
6	0.7	27.002	2	7	1	10	10	10	(137, 246, 52)	4.584830424524551	8.90488259233142	-3.224398237841989 -0.0011167210052918839 -3.8018898287992275 0.006217954122991707 -4.408081610802733 0.013869642706463734 -5.049920620044836 0.021907384692686774 -5.720420640953222 0.030251436170907958 -6.4089785470852805 0.038795290150247526 
6	0.7	27.002	2	7	1	10	10	10	(122, 5, 13)	4.584831544054371	7.437805238843517	-1.8756263248258307 -0.004595147710038619 -1.2980937115142108 -0.0026420385900642403 -0.6918573007501871 -0.0006200227096181727 -0.049970334789800216 0.001482890175897262 0.620579634504645 0.003648325600253049 1.309188060800579 0.005857181842240318 
