N disks	Disks radius	time	Gen	Method	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	7	10	10	10	10	(0, 128, 0)	4.900000233093314	9.19117992945566	-2.200000116546657 1.4287546703519706e-16 -1.5000000874099901 -2.857509197987497e-17 -0.8000000291366638 -1.1430037505532248e-16 -0.09999997086333844 -1.143003750553224e-16 0.6000000874099888 -2.8575091979874795e-17 1.3000001165466568 1.4287546703519736e-16 
7	0.7	6.002	1	7	10	10	10	10	(0, 128, 0)	5.600000285915852	9.19117992945566	-2.899991295132337 0.003884576523776439 -2.199991840775116 0.0029879521764159733 -1.4999923576430985 0.0020913832621446723 -0.7999928746036313 0.0011949296689323706 -0.09999339138459634 0.00029861630313153536 0.6000060922223368 -0.0005975817422255385 1.3000055471965375 -0.001493724280980307 
8	0.7	9.003	1	7	10	10	10	10	(0, 128, 0)	6.300000255606749	9.19117992945566	-3.5999806326406123 0.007937383608765693 -2.89998230834371 0.006395700214902535 -2.199983954361033 0.004857027406014113 -1.4999855897781382 0.0033250545253941497 -0.7999872067669499 0.001802190568605731 -0.0999888025506808 0.0002884355296078718 0.6000096202170584 -0.0012186195984197079 1.300008026398444 -0.0027226640408063996 
10	0.7	12.000	1	7	10	10	10	10	(0, 128, 0)	7.700000163341304	9.19117992945566	-4.9999153899260245 0.020808324942238915 -4.299968432811197 0.012191061705301242 -3.5999714648123287 0.0101257927410352 -2.899974454630598 0.008069359617782166 -2.199977394207232 0.006033537627003476 -1.4999802523813017 0.0040278265670549065 -0.7999830147741399 0.0020558265897434825 -0.09998568746497725 0.00011393751685330884 0.6000117067245488 -0.0018073404745262488 1.3000091089406869 -0.0037197825300385855 
11	0.7	15.001	1	7	10	10	10	10	(0, 128, 0)	8.399996139448563	9.19117992945566	-5.6999326755237645 0.022351036869777956 -4.999941401832565 0.018896532765788614 -4.299949979850874 0.015509512961120225 -3.5999579814707725 0.01227963589210152 -2.8999650451481362 0.009280353262944713 -2.199971018920936 0.0065450841355675525 -1.49997596570126 0.004061495987959276 -0.7999800901586533 0.001781464175690014 -0.09998364352024543 -0.00036037662238346446 0.6000131494815624 -0.0024277298521342507 1.300010099237518 -0.004469053773943116 
12	0.7	18.003	1	7	10	10	10	10	(0, 128, 0)	9.099997892381051	9.19117992945566	-6.399917847420665 0.027055118498541086 -5.699927166657389 0.023455112815081936 -4.999936353728894 0.01989246211145376 -4.299945156788799 0.016422537233849684 -3.599953306952932 0.013100944151668632 -2.8999606213708264 0.00996936299376451 -2.19996703830824 0.007046673309026424 -1.4999726128442552 0.004326072306563615 -0.799977485452593 0.0017777984471667495 -0.0999818402959928 -0.0006437627772987397 0.6000141344600225 -0.002990159867381131 1.3000102517121657 -0.005307557070875886 
6	0.7	21.004	2	7	10	10	10	10	(54, 2, 6)	4.877929564449062	10.062718160657703	-3.9740329332774484 -0.05883092173516302 -4.666053608513925 -0.01984251036807715 -5.359108040159012 0.019279797704666295 -6.05341332858252 0.05856519268593456 -6.749141798661327 0.09800152147174944 -7.446413327143938 0.13755696842174953 
7	0.7	21.004	2	7	10	10	10	10	(26, 102, 228)	5.571486702960314	8.829938433904456	-2.608806565221738 -0.16352372334186488 -1.918009843795656 -0.11123556671779418 -1.2265041011106839 -0.059589506373412794 -0.5339881399614589 -0.008851216343310847 0.15977370083205433 0.04104852880335464 0.8549500732870011 0.09040492073465486 1.5516455684380515 0.13959211413856948 
7	0.7	24.001	2	7	10	10	10	10	(54, 2, 6)	5.597858854562769	10.062718160657703	-3.543459212258413 0.5836724604765453 -4.2324464962859984 0.4625517384129505 -4.921726126807869 0.34322759971068706 -5.61148671864707 0.22656817793049905 -6.301755869118854 0.11252762187240047 -6.992437705129254 0.00035272547181370423 -7.6833801192625515 -0.11101607199973174 
9	0.7	24.001	2	7	10	10	10	10	(26, 102, 228)	6.996207423939536	8.829938433904456	-3.78254472476965 -0.9034549734723384 -3.103446425318865 -0.7341310018785459 -2.42460937274135 -0.565181195768174 -1.7451778058790115 -0.39921868100358354 -1.064657930750537 -0.23817055159096645 -0.3828240400985831 -0.0828021746324138 0.3002518691389213 0.06742741165535157 0.9842624195396971 0.214123527953427 1.6688043782666597 0.3593224106333058 
