N disks	Disks radius	time	Gen	Method	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	7	10	0.5	0.5	10	(0, 128, 0)	4.900000011654662	8.071572301994138	-2.2000000058273286 1.0244426946986012e-16 -1.500000004370497 -2.3259081462596338e-17 -0.8000000014568318 -7.918518800726361e-17 -0.09999999854316603 -7.918518800726318e-17 0.6000000043704998 -2.325908146259585e-17 1.3000000058273324 1.0244426946985879e-16 
7	0.7	6.002	1	7	10	0.5	0.5	10	(0, 128, 0)	5.59999279606429	8.071572301994138	-2.8999623712601363 0.0076146157119525125 -2.1999923350450654 0.00135006266552112 -1.4999972777461057 -0.00042750432400796585 -0.799998753310678 -0.00018008857379266815 -0.0999995135166199 3.8842691146439466e-07 0.6000001732491307 8.505762075467661e-06 1.3000000682308763 1.7240792769957377e-07 
7	0.7	9.003	1	7	10	0.5	0.5	10	(0, 128, 0)	5.599999809688116	8.071572301994138	-2.899987730195939 0.005166503624956158 -2.1999908790170672 0.0030716149389657024 -1.4999932263193312 0.001272000468203863 -0.7999943266743387 6.0419610908320484e-05 -0.09999457913734618 -0.00047372966142568114 0.6000053914914241 -0.0004816888165046112 1.300005340453998 -0.0002489680885161236 
8	0.7	12.000	1	7	10	0.5	0.5	10	(0, 128, 0)	6.299998430968795	8.071572301994138	-3.5999632605799703 0.011429949808558694 -2.899977410619156 0.007001062326434432 -2.1999868553875324 0.003422528832943325 -1.4999907117446516 0.0012103426439813072 -0.7999918166274148 0.00015167968189111087 -0.0999921867219451 -0.0002937999911137791 0.6000076163442586 -0.0005295076933463382 1.3000075076311406 -0.0007246074326533944 
8	0.7	15.001	1	7	10	0.5	0.5	10	(0, 128, 0)	6.2999997298429165	8.071572301994138	-3.5999715093763887 0.010310170424222005 -2.8999787514385362 0.007129461599720665 -2.1999847756952993 0.004234363510982012 -1.4999886014649118 0.0019384312255982636 -0.799990365121993 0.00039661268704470944 -0.09999093388787329 -0.0004554306550360945 0.6000089297168177 -0.0008444100705131315 1.3000088895629127 -0.001041550545323074 
9	0.7	18.003	1	7	10	0.5	0.5	10	(0, 128, 0)	6.999999352093212	8.071572301994138	-4.299943622793125 0.016953081836639655 -3.5999599357755905 0.012179613474047704 -2.899973506703302 0.007834710586873524 -2.1999822840433785 0.004355793818291903 -1.4999866582324421 0.0019208423644116344 -0.799988393442439 0.00041292152818908276 -0.09998900367844385 -0.00045275446975625504 0.6000107550163648 -0.0009769642660859667 1.300010614497526 -0.001384549674428481 
10	0.7	21.004	1	7	10	0.5	0.5	10	(0, 128, 0)	7.699998860052645	8.071572301994138	-4.999905215737288 0.024495658305450894 -4.299933415084574 0.018219596268502756 -3.599956767807178 0.01251963845987091 -2.899972194648456 0.007903798303650638 -2.1999806956650216 0.00449664487196223 -1.4999848912764062 0.0021242072005309516 -0.799986832928342 0.0005350249456971244 -0.09998768868837507 -0.0004923250391401124 0.6000119232928048 -0.0011637459735628652 1.300011697322419 -0.0016840860571425236 
5	0.7	24.001	2	7	10	0.5	0.5	10	(34, 225, 171)	4.156942023495771	8.217925724965951	-3.2493541620470485 0.002463359272969626 -3.9329127436416425 0.014953789309397916 -4.619886010650623 0.01690546885934541 -5.310810315679254 0.012322485202902609 -6.006137843670924 0.006279040700087273 
6	0.7	24.001	2	7	10	0.5	0.5	10	(148, 225, 209)	4.841346517034697	8.591597716514205	-1.9293663860216936 0.10900243252389487 -1.2512500180146005 0.03200066208948636 -0.5680872326140711 -0.01101087761917962 0.11932017264575084 -0.02512886022327388 0.8105970897449928 -0.029299644964822354 1.506098303791779 -0.03367527304733059 
5	0.7	27.002	2	7	10	0.5	0.5	10	(34, 225, 171)	4.198438049336188	8.217925724965951	-3.3007548036614542 -0.016280000906494986 -4.000049826104072 -0.004140995223081324 -4.69950644330802 0.0058784980958204855 -5.3991448180721 0.013031923651830596 -6.0989581473512295 0.018456672940041576 
6	0.7	27.002	2	7	10	0.5	0.5	10	(148, 225, 209)	4.897849535488472	8.591597716514205	-1.9098902663422834 0.1151668119757239 -1.2126911086208496 0.06030491915585951 -0.514840646799642 0.013283077161303633 0.18389867540715174 -0.020210733685377322 0.8832754481937322 -0.04087230650922694 1.5829732875616926 -0.05491861942220601 
6	0.7	30.003	2	7	10	0.5	0.5	10	(34, 225, 171)	4.8969229223014175	8.217925724965951	-2.9151989822916686 -0.7344101756768056 -3.5305444700720034 -0.4000879790906514 -4.1819828671039225 -0.14605029781799383 -4.864021291375679 0.006243197224368683 -5.560554603458724 0.06531810371763551 -6.260038906931265 0.07370021910891687 
7	0.7	30.003	2	7	10	0.5	0.5	10	(148, 225, 209)	5.588630638268782	8.591597716514205	-2.4261534675512233 0.5381533006896582 -1.7960495890480996 0.23561578437535116 -1.1251025833168298 0.045859888777481136 -0.43194125209526363 -0.0298593815959289 0.26559549415837624 -0.04681960899048155 0.9638731513422059 -0.05175227838772648 1.6628854443282066 -0.060984620503315566 
6	0.7	33.004	2	7	10	0.5	0.5	10	(34, 225, 171)	4.899187607300561	8.217925724965951	-2.904852713765877 -0.7599733979374488 -3.550512883086751 -0.4896406593829838 -4.208970222697217 -0.25272895501306336 -4.8837943979734 -0.067774671486322 -5.569907091131141 0.0699757470493188 -6.260493657037137 0.1839116694962107 
