N disks	Disks radius	time	Gen	Method	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.003	1	7	5	10	10	10	(0, 128, 0)	4.900000466082629	7.734289014911264	-2.200000233041315 1.4287547417295326e-16 -1.5000001747819054 -2.8575091980332655e-17 -0.800000058259391 -1.1430038219262043e-16 -0.09999994174061007 -1.1430038219262043e-16 0.600000174781904 -2.8575091980332754e-17 1.3000002330413138 1.4287547417295314e-16 
7	0.7	6.003	1	7	5	10	10	10	(0, 128, 0)	5.599985136442831	7.734289014911264	-2.899977472008369 0.005280215393485389 -2.199984294991216 0.0030713580264504726 -1.4999921296918186 0.0011941532332627942 -0.7999975066732816 -3.2954882783216214e-05 -0.09999947884235291 -0.0005268891874533457 0.6000003046059631 -0.0004650105325538975 1.300000340932539 -0.00015472031331156792 
7	0.7	9.003	1	7	5	10	10	10	(0, 128, 0)	5.60000050435219	7.734289014911264	-2.899991421324148 0.003884323731438299 -2.1999919447567016 0.0029879304348583388 -1.499992416137559 0.002091539576105047 -0.7999928909662308 0.0011951539285365732 -0.09999336578679315 0.00029877461227127483 0.6000061628537964 -0.0005975995016564635 1.3000056394491029 -0.0014939710444564292 
8	0.7	12.003	1	7	5	10	10	10	(0, 128, 0)	6.299996342641036	7.734289014911264	-3.5999782314981674 0.008127265151209392 -2.899980553420478 0.0064384939478471116 -2.1999830431631957 0.0047762648091187335 -1.4999855842748155 0.0031731019447847676 -0.7999880001070867 0.001650242429662754 -0.09999015827392495 0.0002076858478285112 0.6000080058186368 -0.0011758055458210707 1.3000064393208055 -0.0025327560200645717 
8	0.7	15.003	1	7	5	10	10	10	(0, 128, 0)	6.300000590510969	7.734289014911264	-3.599980887069554 0.007913587705787081 -2.899982494443613 0.006390330524370845 -2.1999840504257815 0.004867136545399457 -1.4999856107913783 0.003344083476622588 -0.7999871723871163 0.001821221972960694 -0.09998873191920045 0.0002985520272480529 0.6000097135452135 -0.0012239770286762975 1.3000081078932118 -0.002746442659146799 
9	0.7	18.003	1	7	5	10	10	10	(0, 128, 0)	6.999999507143366	7.734289014911264	-4.299968256413534 0.012157244206317685 -3.5999712620837307 0.010112923918289484 -2.899974260106503 0.008075084546544169 -2.1999772662526698 0.0060523630074802515 -1.4999802366804074 0.004051727081775983 -0.799983136642132 0.002075817313350447 -0.0999859465005058 0.00012199300349182224 0.6000113377263201 -0.0018167137644282598 1.3000086508885669 -0.0037489396768114113 
10	0.7	21.003	1	7	5	10	10	10	(0, 128, 0)	7.699997288304999	7.734289014911264	-4.999952695050884 0.01684241697649746 -4.29995779116113 0.014206056745001727 -3.5999629070582126 0.011594423828340656 -2.899967937435068 0.009042459974943762 -2.1999727207797375 0.006582076373533839 -1.4999771400786586 0.004231956609597532 -0.7999811470192736 0.001992018713148772 -0.09998476432511515 -0.00015653795100371425 0.600011932815807 -0.002245631121315925 1.3000087930739295 -0.004310107820039287 
5	0.7	24.002	2	7	5	10	10	10	(169, 142, 215)	4.104279561380636	7.921453700228547	-3.2399159087896203 -0.001822861720539691 -3.90425562110789 0.007341674783275471 -4.575178425290455 0.01651728980769451 -5.254615721655951 0.025726900062123817 -5.943944358979791 0.035028035168254645 
6	0.7	24.002	2	7	5	10	10	10	(244, 45, 4)	4.767288676836422	8.178679701396023	-1.9197128076729253 -0.006143401024294295 -1.2584986451866556 -0.003546602019422692 -0.5933837092168435 -0.0010016864475965697 0.0781154853604599 0.0014828228788062545 0.7579731275836189 0.003931599440140637 1.4475525321534763 0.0063845250785347476 
5	0.7	27.002	2	7	5	10	10	10	(169, 142, 215)	4.1909199863445	7.921453700228547	-3.3018654082025787 -0.004854249420878082 -3.998390401287624 0.006004015434388252 -4.695554426583599 0.01686169078561618 -5.393532355407433 0.027721334613704483 -6.092447238839827 0.038590140519197375 
6	0.7	27.002	2	7	5	10	10	10	(244, 45, 4)	4.887054000637722	8.178679701396023	-1.9095971157123728 -0.007718395473086193 -1.2133464586467417 -0.004639469978428428 -0.5167468408395023 -0.0015652332659344907 0.18045324836577423 0.0015039353062190255 0.8784608463135605 0.00457071442300585 1.5774230666589006 0.007638991305089312 
6	0.7	30.002	2	7	5	10	10	10	(169, 142, 215)	4.554805002900489	7.921453700228547	-3.223645665462198 -0.007113575615029924 -3.793020864207381 0.0018654984623989025 -4.396053163762223 0.01150245661465824 -5.032142935598511 0.021797857647518862 -5.694930002724961 0.03260158315135661 -6.378040367109784 0.043761162048976815 
7	0.7	30.002	2	7	5	10	10	10	(244, 45, 4)	5.220857724376351	8.178679701396023	-2.1313150908908933 -0.03143465956705372 -1.5641654212432972 -0.021578659218090337 -0.9639990494425489 -0.012325955470056053 -0.33163571019171423 -0.004241027396745313 0.32566821890276215 0.0026320563719216383 1.0007714241432328 0.008675578496295643 1.6892470350252975 0.014421931689347627 
6	0.7	33.002	2	7	5	10	10	10	(169, 142, 215)	4.82260416816076	7.921453700228547	-3.3988464268903784 0.0371296007434135 -4.075240568157395 0.03526550343747243 -4.754807124364285 0.03396430968906659 -5.438542616677107 0.03335652498480575 -6.12723912330001 0.03328117863359746 -6.821446486313556 0.03344822557737992 
7	0.7	33.002	2	7	5	10	10	10	(244, 45, 4)	5.496229729567251	8.178679701396023	-2.0562955973583747 -0.08845646685269858 -1.382028585314597 -0.06381851569172561 -0.7060878362477099 -0.0400084745860091 -0.027156516254951135 -0.01731937248459766 0.6559002646582602 0.0043691517476376 1.3439805566869618 0.025437094782311646 2.0377042057841717 0.04634497566863347 
7	0.7	36.002	2	7	5	10	10	10	(169, 142, 215)	5.537827495581167	7.921453700228547	-3.046594157244694 0.6915133195954126 -3.711291626640166 0.5107673436251183 -4.37676914929482 0.3445551288601414 -5.047129798954431 0.19849416682715815 -5.723947676294762 0.07154834568380267 -6.406795988215856 -0.04215960951422532 -7.0944346281120065 -0.15045472430328602 
8	0.7	36.002	2	7	5	10	10	10	(244, 45, 4)	6.190937096193997	8.178679701396023	-2.5358061054557055 -0.5169008163071362 -1.8683258642759875 -0.3688143409577069 -1.2025373803813841 -0.23599367233722085 -0.5334404870150019 -0.12488953171901976 0.1414562678436719 -0.03580037913451913 0.8226125207070029 0.03561347487028037 1.5096246571026488 0.09615810987345644 2.202069508352141 0.15264302228834076 
7	0.7	39.002	2	7	5	10	10	10	(169, 142, 215)	5.598501009019509	7.921453700228547	-3.039114115934716 0.790557427526755 -3.7176147512075914 0.6186742623424675 -4.395708961735065 0.44637460176385785 -5.073805818391303 0.2741274176975137 -5.752010974844934 0.10214683734610883 -6.430365179431572 -0.0695835231519564 -7.108865064155971 -0.24120569552277094 
9	0.7	39.002	2	7	5	10	10	10	(244, 45, 4)	6.991509319867978	8.178679701396023	-3.2682972613803893 -0.7009892045592329 -2.580752480391333 -0.5741928189282248 -1.8932766691656966 -0.4488421115165912 -1.2055467213041715 -0.3259787220347754 -0.5173300997830932 -0.20612348124432373 0.1714930005787002 -0.08921254273452862 0.8609381502230412 0.025326574665344742 1.5509474670162549 0.13837980544992198 2.24143276530058 0.2508680023669677 
8	0.7	42.002	2	7	5	10	10	10	(169, 142, 215)	6.299925425640776	7.921453700228547	-2.362613052620287 0.9721504174831328 -3.0413652816390955 0.8008429766920028 -3.720300375146094 0.6297214997103412 -4.399368949555127 0.4577229681266296 -5.076415415516718 0.28204613909798476 -5.753678581077024 0.10584026337281555 -6.4313011281020795 -0.06952009540978639 -7.109139015701451 -0.24420951697270357 
10	0.7	42.002	2	7	5	10	10	10	(244, 45, 4)	7.697450720963058	8.178679701396023	-3.958163015116026 -0.8319377688957755 -3.2711830703640983 -0.7040102128677886 -2.5828477012551785 -0.5790052234454134 -1.8937932408130216 -0.45675430472333833 -1.2044512421041695 -0.3359838652626819 -0.5150216221379391 -0.21572867887951055 0.17444514573953251 -0.09564055313954413 0.8639607890437664 0.02429907203356609 1.5535389979534802 0.14408687283726745 2.243176727488879 0.2637947157418778 
8	0.7	45.002	2	7	5	10	10	10	(169, 142, 215)	6.299921009821091	7.921453700228547	-2.3681275912079105 0.9894724313229382 -3.0461599355431517 0.815441830660904 -3.724166668836367 0.641272445873563 -4.402086298008396 0.46673095886725713 -5.079756193781641 0.29154339929027967 -5.757323974149249 0.11592013167415867 -6.434842650335362 -0.05994254076771393 -7.112352723039212 -0.23589457632863822 
10	0.7	45.002	2	7	5	10	10	10	(244, 45, 4)	7.698334940912856	8.178679701396023	-3.953395711671718 -0.8568283966425275 -3.2656598225247166 -0.727473037087235 -2.577848825311104 -0.5986660155176705 -1.8898678267805786 -0.47084298443217243 -1.2016529182030926 -0.3442746125049612 -0.5131776894315727 -0.21903494008397167 0.17554717826668476 -0.09500425623728935 0.8644810349434893 0.028092399440076625 1.5535660424105853 0.15061504098177117 2.2427440114459185 0.2729144815568074 
9	0.7	48.002	2	7	5	10	10	10	(169, 142, 215)	6.999995347518714	7.921453700228547	-1.6906205324686643 1.1654088260340674 -2.368434239945387 0.9905711807999369 -3.046245637809592 0.8157255043552567 -3.72405195855117 0.6408610137826527 -4.401851053761716 0.46596898806818643 -5.079642182936477 0.2910461031683042 -5.757426307674639 0.1160956260533135 -6.435205770810596 -0.058873772441188105 -7.112983371523298 -0.23385131756027874 
5	0.7	48.002	3	7	5	10	10	10	(182, 40, 130)	4.1661980695355085	7.739430081478044	-2.2753673317464136 -0.4859227067168454 -2.944318300885072 -0.6440744753315292 -3.6155754205000044 -0.8027479399093008 -4.289781184389662 -0.962094148730141 -4.967385763929717 -1.1222312109867976 
6	0.7	48.002	3	7	5	10	10	10	(139, 113, 189)	4.852044280866966	8.43009341088258	-0.9381481684421187 -0.18085536983256703 -0.2565465869649933 -0.10190942419289699 0.4262758019808052 -0.022442251665303774 1.1112435457702796 0.05774579368005116 1.7991382406448662 0.1386403714132379 2.490529206152521 0.22011178542876855 
10	0.7	51.002	2	7	5	10	10	10	(169, 142, 215)	7.700000261960568	7.921453700228547	-1.012860883787964 1.340466570320458 -1.690654924007234 1.1655515198315611 -2.3684490021527402 0.9906365012080397 -3.0462430818135733 0.8157215824666136 -3.724037183912348 0.6408068113818196 -4.40183132539375 0.46589221427101335 -5.079625516134101 0.29097778780863714 -5.757419758063857 0.1160634996978862 -6.435214046530192 -0.05885070209380765 -7.11300831714287 -0.23376485867188387 
5	0.7	51.002	3	7	5	10	10	10	(182, 40, 130)	4.196801807969839	7.739430081478044	-2.2967333937972803 -0.49039451508203924 -2.9767554579676845 -0.6513330408780581 -3.6569953935756683 -0.8123226056437276 -4.337513938824471 -0.9733775738972303 -5.018353822536568 -1.134508320964503 
