N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	10	10	10	10	(0, 128, 0)	4.900000233093314	8.462062428925531	-2.200000116546657 1.4287546703519706e-16 -1.5000000874099901 -2.857509197987497e-17 -0.8000000291366638 -1.1430037505532248e-16 -0.09999997086333844 -1.143003750553224e-16 0.6000000874099888 -2.8575091979874795e-17 1.3000001165466568 1.4287546703519736e-16 
7	0.7	6.002	1	10	10	10	10	(0, 128, 0)	5.5999880982551975	8.462062428925531	-2.8999802869210862 0.005287909407459368 -2.1999856754127616 0.0030723979849453763 -1.4999913958888225 0.0011895970620438958 -0.7999957937253416 -4.026752138862075e-05 -0.09999821385476013 -0.0005325908257995054 0.6000008018927178 -0.00046476137218666105 1.300000443790153 -0.00014613282387870936 
7	0.7	9.003	1	10	10	10	10	(0, 128, 0)	5.60000029107187	8.462062428925531	-2.8999912980306384 0.0038843264597381894 -2.1999918428678438 0.0029879324286163494 -1.4999923585887018 0.002091540798036498 -0.7999928743160634 0.0011951542356605088 -0.0999933900355327 0.00029877383608492824 0.6000060942644813 -0.0005976014953200662 1.3000055494543907 -0.0014939743516212615 
8	0.7	12.000	1	10	10	10	10	(0, 128, 0)	6.299999062744387	8.462062428925531	-3.599979582764504 0.008128276627201584 -2.8999816886612018 0.006438726845655835 -2.199983785191047 0.004775842926839678 -1.4999858018760606 0.0031723014492830793 -0.7999876596570095 0.0016494391528854432 -0.09998932511609752 0.0002072558455389216 0.6000091878583584 -0.0011755854876377562 1.3000078074119354 -0.0025317613436450347 
8	0.7	15.001	1	10	10	10	10	(0, 128, 0)	6.300000348820685	8.462062428925531	-3.5999807315184427 0.00791359060889683 -2.899982359810763 0.006390334019037909 -2.199983958882324 0.004867140343424133 -1.499985557684275 0.0033440868191444107 -0.7999871560840847 0.0018212238384790707 -0.09998875405697238 0.00029855140137420295 0.6000096483103361 -0.0012239808845501737 1.300008021730903 -0.0027464501296846416 
9	0.7	18.003	1	10	10	10	10	(0, 128, 0)	7.000000253642217	8.462062428925531	-4.299968580389643 0.012157190584530353 -3.599971545468906 0.010112909756589555 -2.899974470708393 0.00807510499176826 -2.1999773584091438 0.006052406826138798 -1.4999801861326865 0.004051777987795436 -0.7999829436754925 0.002075857152812323 -0.09998563582390213 0.00012200562942856512 0.6000117203065625 -0.0018167393256606822 1.3000090733868404 -0.003749008096037888 
10	0.7	21.004	1	10	10	10	10	(0, 128, 0)	7.699999218807196	8.462062428925531	-4.999953661921448 0.0168415619771273 -4.299958653958931 0.014205707075592728 -3.5999635790103977 0.011594534057218999 -2.8999683310984348 0.009042921982062541 -2.1999727881916145 0.006582726517613319 -1.4999768785073235 0.0042326007384003266 -0.7999805961255074 0.001992465732739784 -0.09998399510878805 -0.00015644420299549674 0.6000128322824326 -0.00224599086642395 1.3000097577316136 -0.004310962036650742 
11	0.7	24.001	1	10	10	10	10	(0, 128, 0)	8.399997766583075	8.462062428925531	-5.699936634671397 0.021754377257975015 -4.999943876935254 0.018589791347614206 -4.299951030513521 0.01546297502683691 -3.599957876442787 0.01242744725983778 -2.899964191316708 0.00953280902319619 -2.19996984142341 0.00681031620137841 -1.4999748056034454 0.004265648739369785 -0.7999791601741837 0.0018791437269684306 -0.09998304216798261 -0.00038784353647557395 0.6000133921628265 -0.0025826595124370678 1.3000099756916454 -0.0047492940938182035 
6	0.7	27.002	2	10	10	10	10	(71, 235, 81)	4.8089842277372785	8.46025768576145	-3.1885332027914695 -0.00925725890157663 -3.8604270877192324 0.002065944938091836 -4.536280366335189 0.013211109391579615 -5.217156657085939 0.024133005889208622 -5.903894972702047 0.034911491958652036 -6.597074281448104 0.045682711511012976 
6	0.7	27.002	2	10	10	10	10	(23, 40, 233)	4.808975752075105	8.779429347879354	-1.9115717452460042 -0.009637884692499116 -1.2395979624133817 -0.005526618628485998 -0.5636670851220961 -0.0014902541888780264 0.11728375899663164 0.002449751659545099 0.8040946227025386 0.006324127597525783 1.4973462797957409 0.010188882285939447 
6	0.7	30.003	2	10	10	10	10	(71, 235, 81)	4.894389167898584	8.46025768576145	-3.2462476899643185 -0.014108788338254456 -3.944399974622108 -0.0011006534331052132 -4.6427962976692685 0.011891725792639751 -5.341502281121087 0.024864625713805055 -6.0405697058532635 0.037824747978512395 -6.740034266761379 0.05078338057380706 
6	0.7	30.003	2	10	10	10	10	(23, 40, 233)	4.894388007625	8.779429347879354	-1.8539291178635482 -0.010927363508897921 -1.1556709566401853 -0.00635984090226238 -0.4571690177442592 -0.0017948773087760666 0.24164225833986436 0.002766931833826542 0.9408147695700154 0.007327094721387049 1.640384406282095 0.011888026237669472 
7	0.7	33.004	2	10	10	10	10	(71, 235, 81)	5.582465178509288	8.46025768576145	-2.789022628529268 -0.6620345101648137 -3.46145365703609 -0.4759755461660528 -4.135174438036936 -0.2989882928140885 -4.811853189043827 -0.13581307285374433 -5.4920129763445695 0.013412883805607767 -6.175241199554596 0.15250516680433107 -6.860659738523066 0.2872240231023917 
7	0.7	33.004	2	10	10	10	10	(23, 40, 233)	5.580624570306313	8.779429347879354	-2.324068751615278 0.6088897374377222 -1.646642983286928 0.4436101266403561 -0.9682235677760955 0.2873874212234414 -0.2872585012923553 0.14496547347247166 0.3968036227793961 0.016483199205344412 1.0836991014705273 -0.10186726207559665 1.7727522428913847 -0.21583229613672053 
7	0.7	36.001	2	10	10	10	10	(71, 235, 81)	5.599974832735146	8.46025768576145	-2.7868746920008935 -0.6876404764675867 -3.465726565432922 -0.5168980882399055 -4.144587583626301 -0.3461933395644412 -4.823463532814165 -0.1755470839315425 -5.502355239715323 -0.004960415323466166 -6.181259165561098 0.16558263181745883 -6.860169508800447 0.33610640650916945 
7	0.7	36.001	2	10	10	10	10	(23, 40, 233)	5.599966238826731	8.779429347879354	-2.327526926078379 0.6345442353992914 -1.6437935939395985 0.48454723942983663 -0.9600523932205268 0.33458804663844766 -0.27629800822098893 0.184687570585115 0.4074705266383626 0.03484688804660098 1.0912503191829381 -0.11495004891487756 1.775036436301142 -0.2647277011608697 
