    cname	              frame	               time	             cellno	          schnitzno	              birth	           lifespan	             length	               area	                  x	                  y	              angle	   colonyCenterDist	   colonyBorderDist	avgColonyBorderDist	              grate	             grcoef	          grateinst	              width	          siderotot	           siderosd	          sideromed	           siderobg	          siderongb	            areangb	      siderongbCell	        areangbCell	         siderongbl	           areangbl	     siderongblCell	       areangblCell	        AvgNgbAngle	          correltot	           correlsd	          correlmed	         Old_pole_X	         Old_pole_Y	       Young_pole_X	       Young_pole_Y	         OldPoleAge	       Bary_Neigh_X	       Bary_Neigh_Y
        0	                  2	                  0	                  1	                  1	                  3	                  3	            159.063	               4041	            564.402	            576.312	           -2.26732	          0.0798851	            20.4438	            46.2688	                  0	                  0	                  0	            40.8149	        1.58928e+08	            9566.65	              40377	                NaN	        3.00446e+08	               9249	        1.78602e+08	               4969	        4.16623e+08	              12674	        1.78602e+08	               4969	                  0	        1.58928e+08	            9566.65	              40377	            615.426	            637.319	            513.378	            515.306	                  1	            564.402	            576.312
       0T	                  3	                  3	                  1	                  2	                  6	                  3	            139.946	               2275	            573.502	            597.623	           -2.44793	            22.4813	            10.5215	             49.628	                  0	                  0	                  0	            22.4557	        8.89743e+07	              10299	              40213	                NaN	        2.08682e+08	               6382	        1.40417e+08	               3961	         3.3504e+08	              10171	        1.82328e+08	               5101	           -2.43639	        8.89743e+07	              10299	              40213	            627.305	            642.361	            519.699	            552.885	                  2	             556.61	            554.448
       0H	                  3	                  3	                  3	                  4	                  6	                  3	            130.972	               2159	             556.61	            554.448	           0.705204	            23.8804	            10.4927	            51.3547	                  0	                  0	                  0	             22.423	        8.39771e+07	              10339	              39965	                NaN	         2.0045e+08	               6105	        1.34533e+08	               3800	        3.25816e+08	               9923	        1.76212e+08	               4945	           0.693661	        8.39771e+07	              10339	              39965	            506.743	            512.001	            606.476	            596.896	                  1	            573.502	            597.623
      0HH	                  4	                  6	                  1	                  3	                  9	                 21	             72.444	               1266	            536.352	            536.778	            0.72667	            48.7816	            11.0117	            62.5244	          0.0308582	           0.997951	                  0	            23.3762	        4.86909e+07	            10272.1	            39733.5	                NaN	        1.23216e+08	               3735	        8.61691e+07	               2437	        2.04879e+08	               6248	        1.21603e+08	               3477	           0.748977	        4.86909e+07	            10272.1	            39733.5	             509.28	            512.713	            563.423	            560.843	                  2	            562.354	            574.776
      0TH	                  4	                  6	                  2	                  5	                  9	                 21	            68.8357	               1130	            541.527	            571.911	            0.82668	            23.6407	            11.0493	            52.9985	           0.030618	           0.999299	                  0	            21.8469	        4.22983e+07	            10779.4	            38095.5	                NaN	        1.28192e+08	               3898	        9.15384e+07	               2661	        2.42753e+08	               7321	        1.52466e+08	               4362	           0.636635	        4.22983e+07	            10779.4	            38095.5	            518.215	             546.59	            564.838	            597.231	                  1	            570.812	            576.088
      0TT	                  4	                  6	                  3	                  6	                  9	                 18	            81.3127	               1437	            592.903	            613.844	           -2.47132	            46.8146	            12.0737	            60.0245	          0.0301975	           0.999466	                  0	             23.392	        5.51828e+07	            11162.2	              39316	                NaN	        1.35052e+08	               4146	        9.33544e+07	               2671	         2.2719e+08	               6909	        1.31228e+08	               3746	           -2.37821	        5.51828e+07	            11162.2	              39316	            624.763	              639.1	            561.042	            588.588	                  3	            562.354	            574.776
      0HT	                  4	                  6	                  4	                267	                  9	                 21	            69.3067	               1152	            583.182	            577.642	           -2.46235	            18.4945	            10.7789	            51.4308	          0.0248714	           0.997243	                  0	            22.3316	        4.32697e+07	            10707.2	            38436.5	                NaN	        1.31191e+08	               3965	        9.51049e+07	               2739	        2.57325e+08	               7792	        1.58255e+08	               4506	           -2.28999	        4.32697e+07	            10707.2	            38436.5	            610.144	            599.412	             556.22	            555.873	                  1	            556.927	            574.178
      0HH	                  5	                  9	                  1	                  3	                  9	                 21	             80.053	               1405	            539.265	            538.715	           0.745333	            46.8137	            11.7143	            62.6753	          0.0308582	           0.997951	            2.53633	            23.4459	        5.26216e+07	            10793.3	              37701	                NaN	        1.33998e+08	               4035	        9.75152e+07	               2791	        2.20016e+08	               6719	        1.37796e+08	               4000	           0.732219	        5.26216e+07	            10793.3	              37701	            509.851	            511.568	            568.679	            565.861	                  2	            563.317	            575.486
      0TH	                  5	                  9	                  2	                  5	                  9	                 21	            74.7471	               1258	            537.246	            567.512	           0.795211	            30.1212	            11.8343	            56.5027	           0.030618	           0.999299	            1.97047	            22.7703	        4.66007e+07	            10916.2	              37572	                NaN	        1.32836e+08	               4029	         9.9431e+07	               2902	        2.42754e+08	               7359	        1.57876e+08	               4582	           0.625612	        4.66007e+07	            10916.2	              37572	             511.08	            540.827	            563.413	            594.197	                  1	            573.708	            578.863
      0HT	                  5	                  9	                  3	                267	                  9	                 21	             76.031	               1293	            589.388	            583.461	           -2.45394	            24.4474	             11.381	            53.9436	          0.0248714	           0.997243	            2.24145	            23.2045	        4.76597e+07	            11346.9	              37770	                NaN	        1.41519e+08	               4275	        1.03424e+08	               3006	        2.60435e+08	               7923	         1.6579e+08	               4796	           -2.30501	        4.76597e+07	            11346.9	              37770	            618.764	             607.59	            560.012	            559.332	                  1	            556.328	            573.547
      0TT	                  5	                  9	                  4	                  6	                  9	                 18	            88.7004	               1563	            592.472	            614.413	           -2.49701	            45.7206	            12.0627	            61.4005	          0.0301975	           0.999466	            2.46255	            23.4441	        5.86521e+07	            11507.7	              38786	                NaN	        1.45128e+08	               4431	        1.02925e+08	               2980	        2.40876e+08	               7338	        1.44032e+08	               4181	           -2.38941	        5.86521e+07	            11507.7	              38786	            627.924	            641.062	            557.021	            587.765	                  3	            563.317	            575.486
      0TH	                  6	                 12	                  1	                  5	                  9	                 21	            81.8365	               1383	            532.562	            562.046	            0.76916	            36.5156	            11.6867	            60.1477	           0.030618	           0.999299	            2.36314	            22.8916	        5.08022e+07	            10900.7	              37417	                NaN	        1.44225e+08	               4309	        1.10534e+08	               3176	        2.55377e+08	               7775	        1.62549e+08	               4746	           0.636354	        5.08022e+07	            10900.7	              37417	            503.162	            533.586	            561.961	            590.505	                  1	            575.475	            580.154
      0TT	                  6	                 12	                  2	                  6	                  9	                 18	            98.0453	               1684	            591.376	            613.724	           -2.51649	            44.6644	            12.0937	            62.8459	          0.0301975	           0.999466	            3.11498	            23.2521	        6.25084e+07	            11342.3	            37753.5	                NaN	        1.55442e+08	               4748	        1.11923e+08	               3267	         2.5674e+08	               7838	        1.56132e+08	               4569	           -2.40835	        6.25084e+07	            11342.3	            37753.5	            631.129	            642.411	            551.624	            585.037	                  3	             555.87	            562.928
      0HH	                  6	                 12	                  3	                  3	                  9	                 21	            87.6789	               1476	            540.648	             539.02	           0.722657	            45.6418	            11.8642	            63.5457	          0.0308582	           0.997951	            2.54198	            22.6642	        5.54868e+07	            11015.5	            37612.5	                NaN	        1.46881e+08	               4426	        1.05959e+08	               3046	        2.41676e+08	               7385	        1.50558e+08	               4381	           0.675546	        5.54868e+07	            11015.5	            37612.5	            507.766	            510.026	             573.53	            568.015	                  2	            572.779	            587.829
      0HT	                  6	                 12	                  4	                267	                  9	                 21	            82.0623	               1377	            594.399	            587.717	           -2.45889	            30.4772	             11.555	            57.3865	          0.0248714	           0.997243	            2.01042	            22.8556	        5.07597e+07	            11264.3	              37154	                NaN	         1.4675e+08	               4394	        1.11107e+08	               3201	        2.62353e+08	               8031	        1.69919e+08	               4961	            -2.3567	        5.07597e+07	            11264.3	              37154	            626.234	            613.603	            562.564	            561.831	                  1	            554.862	            571.597
      0TH	                  7	                 15	                  1	                  5	                  9	                 21	            89.3839	               1290	            528.394	            557.748	           0.744329	            41.4957	            10.3566	            62.7682	           0.030618	           0.999299	             2.5158	            19.9722	        5.02386e+07	            9773.21	              39747	                NaN	        1.44392e+08	               4335	        1.11557e+08	               3167	        2.58057e+08	               7850	        1.64831e+08	               4706	           0.608432	        5.02386e+07	            9773.21	              39747	            495.521	             527.47	            561.267	            588.026	                  1	            576.184	            580.926
      0HH	                  7	                 15	                  2	                  3	                  9	                 21	            97.3014	               1385	            540.197	            538.176	            0.68946	            45.9458	            10.6011	            64.6708	          0.0308582	           0.997951	             3.2075	            19.8958	        5.50598e+07	            9523.61	              40154	                NaN	        1.51264e+08	               4586	        1.07857e+08	               3074	         2.5596e+08	               7813	        1.57267e+08	               4481	           0.628278	        5.50598e+07	            9523.61	              40154	            502.659	            507.228	            577.735	            569.124	                  2	             572.25	             587.45
      0TT	                  7	                 15	                  3	                  6	                  9	                 18	            107.267	               1567	            590.858	            614.033	           -2.55742	            45.2768	            10.7106	            64.9002	          0.0301975	           0.999466	            3.07393	            20.7427	        6.17554e+07	            10616.2	              40048	                NaN	        1.56659e+08	               4832	        1.12908e+08	               3278	        2.66208e+08	               8103	        1.63319e+08	               4680	           -2.43485	        6.17554e+07	            10616.2	              40048	            635.597	            643.613	            546.118	            584.454	                  3	            555.363	            562.164
      0HT	                  7	                 15	                  4	                267	                  9	                 21	            87.9507	               1264	            597.498	            590.568	           -2.49614	            35.0447	            10.6559	             60.935	          0.0248714	           0.997243	            1.96279	            19.9976	        4.97146e+07	             9536.8	            40193.5	                NaN	        1.43623e+08	               4326	        1.11019e+08	               3178	        2.61562e+08	               8002	        1.72481e+08	               4939	           -2.40115	        4.97146e+07	             9536.8	            40193.5	            632.627	            617.022	             562.37	            564.114	                  1	             553.15	            569.986
      0TH	                  8	                 18	                  1	                  5	                  9	                 21	            99.1078	               1394	            524.056	             553.73	           0.705858	            46.1953	            10.1309	            67.5046	           0.030618	           0.999299	             3.2413	            19.6141	        5.47048e+07	            9370.33	            40510.5	                NaN	        1.53775e+08	               4642	         1.1809e+08	               3376	        2.73449e+08	               8297	        1.76448e+08	               5038	           0.587206	        5.47048e+07	            9370.33	            40510.5	            486.343	            521.585	            561.769	            585.875	                  1	            577.194	            581.467
      0HH	                  8	                 18	                  2	                  3	                  9	                 21	            105.607	               1505	            539.575	            536.813	            0.65479	            46.3203	             10.077	            67.9165	          0.0308582	           0.997951	             2.7685	            19.3732	        6.00326e+07	            9760.64	              40530	                NaN	        1.61698e+08	               4923	        1.14602e+08	               3301	        2.79042e+08	               8493	        1.70397e+08	               4860	           0.583323	        6.00326e+07	            9760.64	              40530	            497.692	            504.656	            581.457	             568.97	                  2	            572.021	            587.106
      0TT	                  8	                 18	                  3	                  6	                  9	                 18	            116.901	               1695	            591.417	            614.436	           -2.59394	            47.0353	            10.9913	             67.991	          0.0301975	           0.999466	             3.2113	            20.7374	        6.70291e+07	            10375.1	              40496	                NaN	        1.69123e+08	               5222	        1.20904e+08	               3519	        2.87643e+08	               8728	        1.75769e+08	               5028	           -2.46623	        6.70291e+07	            10375.1	              40496	            641.319	             644.87	            541.515	            584.002	                  3	             554.74	            561.232
      0HT	                  8	                 18	                  4	                267	                  9	                 21	            94.2888	               1372	             600.59	            593.153	           -2.52082	            39.9181	             10.299	             64.916	          0.0248714	           0.997243	             2.1127	             19.885	        5.39987e+07	             9144.6	              40528	                NaN	        1.52869e+08	               4589	        1.19593e+08	               3419	        2.76404e+08	               8447	        1.83435e+08	               5252	           -2.45131	        5.39987e+07	             9144.6	              40528	            638.939	            620.575	            562.242	            565.731	                  1	            551.682	            568.326
      0TH	                  9	                 21	                  1	                  5	                  9	                 21	            108.761	               1547	            519.141	            549.383	           0.712703	            51.9731	            10.5815	            71.7607	           0.030618	           0.999299	            3.21759	            19.8762	         6.0798e+07	            9464.64	              40399	                NaN	        1.65716e+08	               5033	         1.2676e+08	               3659	        2.89329e+08	               8744	        1.91222e+08	               5454	           0.549127	         6.0798e+07	            9464.64	              40399	            477.997	            513.824	            560.285	            584.941	                  1	            578.448	            582.403
      0HH	                  9	                 21	                  2	                  3	                  9	                 21	            117.198	               1654	            540.157	             536.89	           0.638016	            45.2582	            9.68521	            69.2171	          0.0308582	           0.997951	             3.8637	            19.2939	        6.58237e+07	            9822.02	              40246	                NaN	        1.76976e+08	               5373	        1.27086e+08	               3654	        3.08047e+08	               9367	          1.882e+08	               5378	            0.47798	        6.58237e+07	            9822.02	              40246	            493.085	            501.988	            587.228	            571.792	                  2	            561.432	            572.586
      0TT	                  9	                 21	                  3	                  6	                  9	                 18	            127.591	               1861	            591.464	             614.53	           -2.63239	            47.8259	            10.0798	            71.3799	          0.0301975	           0.999466	            3.56349	             20.547	        7.38307e+07	            10623.8	              40626	                NaN	           1.83e+08	               5625	        1.31783e+08	               3819	        3.08646e+08	               9371	        1.89401e+08	               5432	            -2.4248	        7.38307e+07	            10623.8	              40626	            647.167	            645.629	            535.762	            583.431	                  3	            561.432	            572.586
      0HT	                  9	                 21	                  4	                267	                  9	                 21	            100.542	               1529	            603.723	             595.79	           -2.58779	            44.5219	            10.6604	            69.4778	          0.0248714	           0.997243	            2.08451	            20.7013	        5.95858e+07	            9641.24	              39782	                NaN	        1.64542e+08	               4914	        1.31475e+08	               3747	        2.89473e+08	               8841	        1.97033e+08	               5637	           -2.47205	        5.95858e+07	            9641.24	              39782	             646.48	            622.229	            560.966	            569.351	                  1	            550.254	            566.934
     0TTH	                 10	                 24	                  2	                  8	                 27	                 27	            63.5386	               1027	            557.985	            596.063	           0.515089	            22.6177	            11.1172	            66.3576	          0.0305882	           0.998404	                  0	            21.3457	        3.98771e+07	            10652.8	              40393	                NaN	        1.21044e+08	               3688	        8.61814e+07	               2504	        2.55701e+08	               7716	        1.53055e+08	               4461	            0.29163	        3.98771e+07	            10652.8	              40393	            530.338	            580.413	            585.633	            611.713	                  1	            577.106	            589.415
      0TH	                 10	                 24	                  3	                  5	                  9	                 21	            118.531	               1765	            514.959	            545.283	           0.684445	            55.2935	            12.5003	            74.3211	           0.030618	           0.999299	            3.25675	            21.5178	        6.76486e+07	            9164.66	              39465	                NaN	        1.82801e+08	               5532	        1.41139e+08	               4080	        3.09606e+08	               9347	        2.11437e+08	               6064	            0.54271	        6.76486e+07	            9164.66	              39465	            469.042	            507.813	            560.876	            582.753	                  1	            568.504	            576.959
      0HH	                 10	                 24	                  5	                  3	                  9	                 21	              125.3	               1850	            541.359	            537.134	           0.607825	            42.2749	            9.27977	            69.6523	          0.0308582	           0.997951	            2.70074	            20.0191	        7.21431e+07	            9951.37	              39402	                NaN	        1.94131e+08	               5835	        1.41687e+08	               4045	        3.36555e+08	              10286	        2.05648e+08	               5955	           0.332475	        7.21431e+07	            9951.37	              39402	             489.93	            501.355	            592.788	            572.912	                  2	            560.564	            571.482
     0TTT	                 10	                 24	                  6	                 10	                 27	                 39	             74.506	               1106	             610.19	            625.283	           -2.67387	            70.2724	            11.5069	            85.6609	          0.0264818	           0.995133	                  0	            20.6876	        4.21354e+07	            10164.9	            39146.5	                NaN	        1.22871e+08	               3755	        9.05957e+07	               2634	        2.08737e+08	               6337	        1.38572e+08	               3973	           -2.62109	        4.21354e+07	            10164.9	            39146.5	            643.442	            642.079	            576.938	            608.487	                  4	            582.077	            596.872
      0HT	                 10	                 24	                  7	                267	                  9	                 21	            110.206	               1707	            606.168	            597.681	           -2.61212	            49.9224	            10.8196	            74.5369	          0.0248714	           0.997243	            3.22136	            21.1546	        6.49785e+07	            9574.63	              38883	                NaN	          1.787e+08	               5368	        1.42238e+08	               4106	        3.10499e+08	               9465	        2.14057e+08	               6183	           -2.50464	        6.49785e+07	            9574.63	              38883	            653.726	            625.512	             558.61	            569.849	                  1	            556.123	            575.941
     0HHH	                 11	                 27	                  1	                  7	                 30	                 21	            67.9347	               1028	            517.998	            521.657	           0.694349	            68.8939	            10.3755	            83.1291	          0.0249991	           0.994249	                  0	            20.2051	        3.83077e+07	            9080.78	              37780	                NaN	         1.2018e+08	               3568	        9.42616e+07	               2686	        2.17676e+08	               6657	        1.46442e+08	               4265	            0.41048	        3.83077e+07	            9080.78	              37780	            491.895	            499.921	            544.101	            543.392	                  3	            532.989	            547.778
     0HTH	                 11	                 27	                  2	                 11	                 30	                 24	            56.6799	                960	             588.52	            587.306	           0.475319	            28.9751	            13.0317	            70.5744	          0.0340148	           0.943366	                  0	            22.6314	        3.51338e+07	            9544.37	              37891	                NaN	        1.16028e+08	               3493	        1.02415e+08	               3021	        2.44771e+08	               7385	        1.88829e+08	               5522	           -2.72504	        3.51338e+07	            9544.37	              37891	            563.321	            574.337	            613.718	            600.275	                  1	            579.528	            589.286
     0THT	                 11	                 27	                  3	                256	                 30	                 24	            70.5015	               1152	            493.964	            528.118	           0.869827	            82.7116	            11.3014	            90.7961	          0.0268771	           0.893037	                  0	            22.4717	        4.34002e+07	            9941.35	              37764	                NaN	        1.20484e+08	               3645	         8.4941e+07	               2442	        2.01033e+08	               6132	         1.2264e+08	               3587	           0.568107	        4.34002e+07	            9941.35	              37764	            471.229	            501.179	              516.7	            555.057	                  2	             527.92	             541.79
     0THH	                 11	                 27	                  4	                  9	                 30	                 27	            59.9581	                919	            537.841	            561.923	           -2.64839	            27.7095	            13.5193	             68.464	          0.0277313	           0.954387	                  0	             20.646	        3.23411e+07	            9044.78	              36663	                NaN	         1.1565e+08	               3475	        1.05177e+08	               3116	        2.47656e+08	               7395	        1.96477e+08	               5681	          -0.258804	        3.23411e+07	            9044.78	              36663	            564.247	            576.116	            511.435	            547.729	                  1	            543.801	            556.436
     0HHT	                 11	                 27	                  5	                255	                 30	                 27	            68.5672	               1154	             567.16	            553.295	           -2.59527	            21.1829	            10.7509	            68.7358	          0.0269037	           0.997926	                  0	            22.4529	        4.34911e+07	            10510.6	              37787	                NaN	        1.32036e+08	               3969	        9.55679e+07	               2760	        2.67905e+08	               8145	        1.65164e+08	               4897	           -2.40608	        4.34911e+07	            10510.6	              37787	            596.454	            571.107	            537.867	            535.483	                  1	             548.12	            556.962
     0TTH	                 11	                 27	                  6	                  8	                 27	                 27	            69.9351	               1211	            551.363	            591.803	           0.513185	            21.1304	            11.7806	            69.1506	          0.0305882	           0.998404	            2.13219	            22.9253	        4.51785e+07	            11615.3	              37709	                NaN	        1.34513e+08	               4076	        9.71606e+07	               2850	        2.74153e+08	               8304	        1.68317e+08	               5016	            0.49673	        4.51785e+07	            11615.3	              37709	            520.899	            574.636	            581.826	            608.971	                  1	             577.99	            591.254
     0TTT	                 11	                 27	                  7	                 10	                 27	                 39	            80.6783	               1292	            607.608	            624.534	            -2.6302	            67.5437	             11.544	            86.9938	          0.0264818	           0.995133	            2.05741	            21.7497	        4.70446e+07	            10228.5	              37223	                NaN	        1.36072e+08	               4116	        1.03762e+08	               3029	        2.37665e+08	               7245	        1.56652e+08	               4588	           -2.69716	        4.70446e+07	            10228.5	              37223	            642.786	            644.276	            572.429	            604.792	                  4	            591.184	            597.994
     0HTT	                 11	                 27	                  8	                 12	                 30	                 27	            63.2717	               1037	            633.668	            614.873	           -2.52701	            81.8258	            10.9003	            95.3806	          0.0256232	           0.987353	                  0	            21.8927	        3.85179e+07	            9293.45	              37367	                NaN	        1.16175e+08	               3504	        8.10836e+07	               2335	        2.00249e+08	               6128	        1.19831e+08	               3511	           -2.65199	        3.85179e+07	            9293.45	              37367	            659.515	            633.114	            607.821	            596.631	                  2	            598.064	             605.92
     0HHH	                 12	                 30	                  1	                  7	                 30	                 21	            72.5506	               1124	            518.121	            521.307	            0.74799	            69.5049	            10.0355	            87.2896	          0.0249991	           0.994249	            1.53866	             20.657	        4.20062e+07	            9721.99	            38095.5	                NaN	        1.29481e+08	               3839	        1.01551e+08	               2890	        2.34632e+08	               7174	        1.59335e+08	               4660	           0.320659	        4.20062e+07	            9721.99	            38095.5	            491.529	            496.634	            544.713	             545.98	                  3	            532.951	            546.687
     0THT	                 12	                 30	                  2	                256	                 30	                 24	            76.5469	               1267	            491.403	            523.624	           0.963449	            87.9135	            12.2009	            97.7921	          0.0268771	           0.893037	            2.01516	             23.112	        4.77309e+07	            10601.6	              37888	                NaN	        1.25446e+08	               3799	        9.02523e+07	               2600	        2.07683e+08	               6320	        1.30838e+08	               3823	           0.588109	        4.77309e+07	            10601.6	              37888	             469.56	            492.195	            513.245	            555.053	                  2	            527.426	            541.302
     0THH	                 12	                 30	                  3	                  9	                 30	                 27	            65.2421	                964	             536.73	            561.298	           -2.66523	            29.5891	            19.3115	            73.5282	          0.0277313	           0.954387	            1.76134	            20.4918	        3.39283e+07	            10265.5	            36411.5	                NaN	        1.22017e+08	               3648	        1.13599e+08	               3364	        2.57205e+08	               7696	        2.08271e+08	               6044	          -0.329796	        3.39283e+07	            10265.5	            36411.5	             565.72	            576.256	            507.741	            546.339	                  1	            543.464	            555.583
     0HHT	                 12	                 30	                  4	                255	                 30	                 27	             73.769	               1263	             570.72	            555.139	           -2.62425	            20.1995	            11.0885	            72.9894	          0.0269037	           0.997926	            1.73393	            22.7527	        4.77932e+07	            10889.8	              38228	                NaN	        1.39949e+08	               4208	        1.01337e+08	               2929	        2.79577e+08	               8520	        1.72718e+08	               5157	           -2.35674	        4.77932e+07	            10889.8	              38228	            602.777	            573.381	            538.662	            536.897	                  1	            548.474	            556.985
     0TTH	                 12	                 30	                  5	                  8	                 27	                 27	            77.3593	               1322	            546.505	            589.495	           0.521913	            22.9766	            11.8597	            73.8975	          0.0305882	           0.998404	            2.47472	            22.7366	        4.96479e+07	            12070.7	            38012.5	                NaN	        1.44784e+08	               4358	        1.03983e+08	               3025	         2.8924e+08	               8762	        1.76395e+08	               5277	           0.495415	        4.96479e+07	            12070.7	            38012.5	            512.975	            570.212	            580.035	            608.779	                  1	            578.455	            591.325
     0HTH	                 12	                 30	                  6	                 11	                 30	                 24	            62.8303	               1031	            590.571	             588.35	           0.425945	            30.6805	             13.348	            74.6789	          0.0340148	           0.943366	            2.05014	            22.1569	        3.73912e+07	            10363.5	              37646	                NaN	        1.24885e+08	               3757	        1.11256e+08	               3287	        2.59224e+08	               7840	        2.01501e+08	               5908	            -2.8171	        3.73912e+07	            10363.5	              37646	            561.963	             575.37	            619.179	             601.33	                  1	             580.37	              589.9
     0HTT	                 12	                 30	                  7	                 12	                 30	                 27	            71.7819	               1186	            639.831	            619.239	           -2.49793	             88.771	            11.6024	            100.838	          0.0256232	           0.987353	            2.83674	            22.3064	        4.44755e+07	            9839.78	            38024.5	                NaN	        1.24398e+08	               3759	        8.73636e+07	               2516	        2.08458e+08	               6367	        1.26875e+08	               3691	           -2.66442	        4.44755e+07	            9839.78	            38024.5	            668.541	            640.779	            611.122	              597.7	                  2	            599.318	            606.339
     0TTT	                 12	                 30	                  8	                 10	                 27	                 39	            85.2468	               1395	            608.064	            624.328	           -2.59839	            67.2579	            11.1846	            88.8594	          0.0264818	           0.995133	            1.52285	            21.8771	        5.06212e+07	            10463.3	              37817	                NaN	        1.45424e+08	               4363	        1.13329e+08	               3276	        2.54932e+08	               7817	        1.72018e+08	               5075	           -2.76297	        5.06212e+07	            10463.3	              37817	            644.552	             646.36	            571.576	            602.297	                  4	            592.303	            599.028
     0TTH	                 13	                 33	                  1	                  8	                 27	                 27	            83.7759	               1483	            542.262	            587.851	           0.544646	            25.6504	            11.9252	            79.8115	          0.0305882	           0.998404	            2.13886	            23.4511	        5.47702e+07	            11059.2	              37720	                NaN	        1.55705e+08	               4681	        1.11199e+08	               3237	        3.04082e+08	               9257	        1.84024e+08	               5555	          -0.502213	        5.47702e+07	            11059.2	              37720	            506.434	            566.148	            578.089	            609.554	                  1	            557.445	            574.256
     0TTT	                 13	                 33	                  2	                 10	                 27	                 39	            90.1948	               1559	            608.727	            624.593	           -2.59563	            67.4711	            11.5647	            90.8866	          0.0264818	           0.995133	            1.64934	            22.6941	        5.55981e+07	            10050.5	              37067	                NaN	        1.56904e+08	               4717	        1.22579e+08	               3571	        2.73713e+08	               8381	        1.89838e+08	               5634	            -2.8339	        5.55981e+07	            10050.5	              37067	            647.269	             648.01	            570.186	            601.177	                  4	            594.824	            601.474
