    cname	              frame	               time	             cellno	          schnitzno	              birth	           lifespan	             length	               area	                  x	                  y	              angle	   colonyCenterDist	   colonyBorderDist	avgColonyBorderDist	              grate	             grcoef	          grateinst	              width	          siderotot	           siderosd	          sideromed	           siderobg	          siderongb	            areangb	      siderongbCell	        areangbCell	         siderongbl	           areangbl	     siderongblCell	       areangblCell	        AvgNgbAngle	          correltot	           correlsd	          correlmed	         Old_pole_X	         Old_pole_Y	       Young_pole_X	       Young_pole_Y	         OldPoleAge	       Bary_Neigh_X	       Bary_Neigh_Y
        0	                  2	                  0	                  2	                  1	                  3	                  3	            111.254	               3045	            579.576	            537.692	            1.97125	           0.591224	            1.42896	            35.0818	                  0	                  0	                  0	            47.7448	        1.23561e+08	            9550.64	              41731	                NaN	        2.45465e+08	               7526	        1.42536e+08	               3894	        3.66045e+08	              11131	        1.42536e+08	               3894	                  0	        1.23561e+08	            9550.64	              41731	            601.261	            486.466	            557.891	            588.918	                  1	            579.576	            537.692
       0T	                  3	                  3	                  2	                247	                  6	                  9	            104.957	               1517	            572.635	            526.324	            2.08691	            13.6814	             10.144	            42.1337	          0.0243028	           0.994555	                  0	            19.8362	         6.0678e+07	             9245.5	              41450	                NaN	        1.64901e+08	               5006	         1.1261e+08	               3184	        2.90269e+08	               8819	         1.5483e+08	               4331	                  0	         6.0678e+07	             9245.5	              41450	            598.533	            480.681	            546.736	            571.966	                  2	            585.679	            548.032
       0H	                  3	                  3	                  3	                248	                  6	                  3	            119.706	               1794	            585.679	            548.032	           -1.02289	            11.6468	            12.2332	             41.937	                  0	                  0	                  0	            22.8932	        7.22075e+07	            9432.38	            41436.5	                NaN	        1.84613e+08	               5598	        1.23328e+08	               3459	        3.13601e+08	               9563	         1.5483e+08	               4331	                  0	        7.22075e+07	            9432.38	            41436.5	            554.502	            599.124	            616.857	            496.941	                  1	            572.635	            526.324
      0HT	                  4	                  6	                  1	                246	                  9	                 24	            65.3616	               1089	            569.635	            571.689	          -0.838516	            34.3006	            11.7923	            50.4539	          0.0232276	           0.994317	                  0	            22.3567	        4.09783e+07	            9646.03	              38313	                NaN	        1.25529e+08	               3813	        8.06029e+07	               2320	        2.59362e+08	               7873	        1.19873e+08	               3459	                  0	        4.09783e+07	            9646.03	              38313	            547.785	            595.992	            591.484	            547.386	                  2	            585.857	            526.049
       0T	                  4	                  6	                  3	                247	                  6	                  9	            111.845	               1922	            571.617	             527.74	            2.09347	            13.0581	            10.7214	            44.8299	          0.0243028	           0.994555	            2.29605	            22.9762	        7.11534e+07	            9753.31	            38271.5	                NaN	        1.87045e+08	               5628	        1.30614e+08	               3754	        3.28147e+08	               9990	         1.7172e+08	               4970	                  0	        7.11534e+07	            9753.31	            38271.5	            599.533	            479.284	              543.7	            576.196	                  2	            584.866	            548.024
      0HH	                  4	                  6	                  4	                245	                  9	                 24	            63.7052	               1160	            600.097	            524.359	            1.86311	            25.6323	            13.9081	             47.888	          0.0242144	           0.990724	                  0	            24.0416	        4.30279e+07	            10504.6	            38633.5	                NaN	        1.28217e+08	               3854	        9.00085e+07	               2590	        2.49491e+08	               7574	        1.32577e+08	               3834	                  0	        4.30279e+07	            10504.6	            38633.5	            609.275	            493.857	            590.918	             554.86	                  1	            570.626	            549.715
       0T	                  5	                  9	                  1	                247	                  6	                  9	            121.433	               1790	            570.727	            529.217	            2.10448	            12.7042	            8.37018	            45.3524	          0.0243028	           0.994555	            3.19615	            20.5663	         7.0451e+07	            9072.24	            40577.5	                NaN	        1.88009e+08	               5679	        1.31932e+08	               3736	         3.2614e+08	               9916	         1.7641e+08	               4977	                  0	         7.0451e+07	            9072.24	            40577.5	            601.614	            476.943	             539.84	             581.49	                  2	            583.919	            549.065
      0HT	                  5	                  9	                  2	                246	                  9	                 24	            70.3469	               1028	            567.908	            574.268	           -0.73995	            35.9333	            11.1921	            52.4068	          0.0232276	           0.994317	            1.66175	            20.1445	        4.10494e+07	            9677.02	            40832.5	                NaN	        1.24241e+08	               3800	         7.9103e+07	               2249	        2.61039e+08	               7900	        1.19709e+08	               3362	                  0	        4.10494e+07	            9677.02	            40832.5	            541.932	            597.984	            593.883	            550.553	                  2	            585.329	            526.539
      0HH	                  5	                  9	                  3	                245	                  9	                 24	            68.4522	               1049	            599.931	            523.861	            1.96348	             27.198	            12.6572	            48.6117	          0.0242144	           0.990724	            1.58235	            21.0391	         4.1125e+07	            9757.62	              40126	                NaN	        1.17017e+08	               3509	        9.08003e+07	               2571	        1.98965e+08	               6050	        1.35583e+08	               3828	                  0	         4.1125e+07	            9757.62	              40126	            613.029	             492.24	            586.834	            555.482	                  1	            569.317	            551.743
      0TH	                  6	                 12	                  1	                  2	                 15	                 27	            67.4217	               1136	            555.239	            554.797	          -0.840316	            26.1342	            10.6394	            51.1998	          0.0260354	           0.992674	                  0	            22.2257	        4.25399e+07	            9570.41	              39338	                NaN	        1.29549e+08	               3888	        9.66833e+07	               2782	        2.63643e+08	               7978	        1.50002e+08	               4325	                  0	        4.25399e+07	            9570.41	              39338	            532.747	            579.906	            577.732	            529.687	                  1	            583.857	            534.613
