   cname	              frame	               time	             cellno	          schnitzno	              birth	           lifespan	             length	               area	                  x	                  y	              angle	   colonyCenterDist	   colonyBorderDist	avgColonyBorderDist	              grate	             grcoef	          grateinst	              width	          siderotot	           siderosd	          sideromed	           siderobg	          siderongb	            areangb	      siderongbCell	        areangbCell	         siderongbl	           areangbl	     siderongblCell	       areangblCell	        AvgNgbAngle	          correltot	           correlsd	          correlmed	         Old_pole_X	         Old_pole_Y	       Young_pole_X	       Young_pole_Y	         OldPoleAge	       Bary_Neigh_X	       Bary_Neigh_Y
       0	                  2	                  0	                  1	                  1	                  3	                  3	            133.576	               3187	            804.136	            544.263	           -2.51491	          0.0389659	            20.2126	            39.9558	                  0	                  0	                  0	             37.728	        1.24736e+08	            10572.9	              40654	                NaN	        2.43226e+08	               7476	        1.40829e+08	               3935	           3.28e+08	               9999	        1.40829e+08	               3935	                  0	        1.24736e+08	            10572.9	              40654	            858.233	            583.432	            750.039	            505.094	                  1	            804.136	            544.263
      0T	                  3	                  3	                  1	                221	                  6	                  6	             101.52	               1571	             792.73	            527.682	           0.404997	            21.4446	            10.5815	            43.8743	                  0	                  0	                  0	            21.2101	        6.19315e+07	            9263.48	              41048	                NaN	        1.55596e+08	               4719	         1.0171e+08	               2841	         2.5762e+08	               7838	        1.35428e+08	               3780	           0.384781	        6.19315e+07	            9263.48	              41048	            746.076	            507.681	            839.384	            547.682	                  1	            817.895	            561.478
      0H	                  3	                  3	                  2	                  2	                  6	                  9	            107.178	               1634	            817.895	            561.478	           -2.75681	            20.6919	            9.70883	            42.2054	          0.0273816	            0.99818	                  0	            21.3565	        6.45056e+07	            9967.31	            41003.5	                NaN	        1.59629e+08	               4894	        1.03203e+08	               2903	        2.65162e+08	               8041	         1.3824e+08	               3845	            -2.7366	        6.45056e+07	            9967.31	            41003.5	            867.566	            581.593	            768.225	            541.363	                  2	             792.73	            527.682
      0T	                  4	                  6	                  1	                221	                  6	                  6	             110.64	               1649	            795.682	            528.797	            0.41777	            19.2544	            9.40249	            43.9045	                  0	                  0	             3.0399	            20.9536	        6.56926e+07	            9951.23	              41344	                NaN	        1.64618e+08	               4978	        1.11751e+08	               3128	         2.7002e+08	               8206	        1.49146e+08	               4150	           0.409378	        6.56926e+07	            9951.23	              41344	             745.12	            506.353	            846.244	            551.242	                  1	            815.636	            560.693
      0H	                  4	                  6	                  2	                  2	                  6	                  9	            117.063	               1738	            815.636	            560.693	           -2.73221	            18.3685	             9.4499	            42.5591	          0.0273816	            0.99818	            3.29498	            20.9412	        6.90454e+07	            10283.7	            41397.5	                NaN	        1.70494e+08	               5219	        1.14288e+08	               3217	        2.75679e+08	               8374	        1.52253e+08	               4244	           -2.72382	        6.90454e+07	            10283.7	            41397.5	            869.331	            583.991	            761.941	            537.395	                  2	            795.682	            528.797
     0TT	                  5	                  9	                  1	                  3	                 12	                 27	            57.1252	                913	            824.915	            541.418	            -2.6831	            19.0655	            11.0033	            45.2386	           0.025013	           0.996628	                  0	            21.0608	        3.46963e+07	            11064.2	              38723	                NaN	        1.13459e+08	               3392	        8.12121e+07	               2316	        2.28993e+08	               6935	        1.35642e+08	               3884	           -2.74923	        3.46963e+07	            11064.2	              38723	            850.527	             554.06	            799.302	            528.777	                  1	            794.779	            539.588
      0H	                  5	                  9	                  2	                  2	                  6	                  9	            126.315	               2035	            812.615	            559.193	           -2.73192	            15.5778	            9.18731	            44.0637	          0.0273816	            0.99818	            3.08408	            22.1875	        7.72764e+07	            11031.3	              39127	                NaN	        1.91207e+08	               5784	        1.31987e+08	               3758	        2.91419e+08	               8900	        1.67559e+08	               4819	           -2.76575	        7.72764e+07	            11031.3	              39127	            870.546	            584.349	            754.683	            534.036	                  2	            800.929	            530.701
     0TH	                  5	                  9	                  3	                  4	                 12	                 24	            59.8956	               1011	            776.944	            519.983	           0.389001	            38.4866	            11.4232	            52.4069	          0.0250343	           0.994597	                  0	            22.7553	        3.87373e+07	            10934.3	              39306	                NaN	        1.04431e+08	               3155	        7.48323e+07	               2137	        1.71876e+08	               5232	        1.10461e+08	               3182	           0.435031	        3.87373e+07	            10934.3	              39306	            749.233	            508.625	            804.654	            531.341	                  2	            818.765	            550.306
     0TH	                  6	                 12	                  1	                  4	                 12	                 24	            65.7448	               1126	            778.373	            519.981	           0.389668	            37.6552	            11.9163	            54.2947	          0.0250343	           0.994597	            1.94974	            22.9961	        4.19816e+07	            11286.4	            37589.5	                NaN	        1.12002e+08	               3375	        8.36304e+07	               2415	        1.82397e+08	               5550	        1.22965e+08	               3575	           0.444721	        4.19816e+07	            11286.4	            37589.5	            747.965	            507.494	            808.781	            532.469	                  2	            805.925	            544.807
     0TT	                  6	                 12	                  2	                  3	                 12	                 27	            62.5078	               1069	            829.543	            543.807	           -2.71626	            23.1029	            12.1067	            47.6034	           0.025013	           0.996628	            1.79421	            22.6955	         3.9267e+07	            11888.4	              37005	                NaN	         1.2508e+08	               3699	        9.06202e+07	               2575	        2.33684e+08	               7135	         1.4091e+08	               4126	           -2.67797	         3.9267e+07	            11888.4	              37005	            858.013	            556.703	            801.074	            530.911	                  1	            799.105	            545.215
     0HH	                  6	                 12	                  3	                  5	                 15	                 18	            68.7115	               1142	            782.307	            545.806	           0.476819	            24.1784	            11.1492	            49.0885	          0.0287773	           0.997665	                  0	            22.3009	        4.20933e+07	            12014.5	            37542.5	                NaN	        1.27243e+08	               3816	        9.36421e+07	               2694	        2.34401e+08	               7122	        1.42367e+08	               4154	           0.388486	        4.20933e+07	            12014.5	            37542.5	            751.784	            530.039	            812.831	            561.574	                  1	             814.85	            544.549
