   cname	              frame	               time	             cellno	          schnitzno	              birth	           lifespan	             length	               area	                  x	                  y	              angle	   colonyCenterDist	   colonyBorderDist	avgColonyBorderDist	              grate	             grcoef	          grateinst	              width	          siderotot	           siderosd	          sideromed	           siderobg	          siderongb	            areangb	      siderongbCell	        areangbCell	         siderongbl	           areangbl	     siderongblCell	       areangblCell	        AvgNgbAngle	          correltot	           correlsd	          correlmed	         Old_pole_X	         Old_pole_Y	       Young_pole_X	       Young_pole_Y	         OldPoleAge	       Bary_Neigh_X	       Bary_Neigh_Y
     0HH	                  7	                 15	                  4	                  6	                 18	                 24	            63.2339	               1018	            629.401	            397.814	           0.246696	            21.5072	            11.1958	             45.888	          0.0277952	            0.99795	                  0	            21.6968	        3.95454e+07	            10708.9	              40250	                NaN	        1.19614e+08	               3643	         8.7032e+07	               2513	          2.192e+08	               6633	        1.41159e+08	               4035	            0.42932	        3.95454e+07	            10708.9	              40250	            598.741	            390.093	            660.061	            405.535	                  1	            657.651	             389.31
     0TH	                  8	                 18	                  1	                  4	                 18	                 30	            55.9326	                851	            618.691	            371.025	         -0.0563857	            38.2333	            10.0294	            54.3973	          0.0237792	           0.969233	           -1.58799	            20.4447	        3.22601e+07	            10506.7	              38706	                NaN	        8.62962e+07	               2618	        7.07498e+07	               2036	        1.40605e+08	               4265	        1.12408e+08	               3240	           0.253046	        3.22601e+07	            10506.7	              38706	            590.769	            372.601	            646.613	            369.449	                  2	            648.217	            390.127
     0HT	                  8	                 18	                  2	                  3	                 18	                 30	            61.2894	               1059	            681.906	            412.201	           -2.73692	            37.2129	            11.8609	            50.7176	          0.0268272	           0.993684	            1.41081	            22.6925	        4.07494e+07	            11130.9	              39866	                NaN	        1.05216e+08	               3224	        7.80088e+07	               2251	        1.75812e+08	               5340	        1.23028e+08	               3541	           -2.90114	        4.07494e+07	            11130.9	              39866	            710.075	            424.267	            653.736	            400.136	                  3	            648.217	            390.127
     0TT	                  8	                 18	                  3	                  5	                 18	                 24	            72.3974	               1257	             670.72	            383.787	           -2.87522	            21.2744	            12.0053	            46.4763	          0.0252344	           0.925153	            5.35761	            23.1749	        4.83626e+07	            10833.9	              40483	                NaN	        1.37356e+08	               4133	        1.03194e+08	               2974	        2.20754e+08	               6681	        1.62705e+08	               4667	            3.03235	        4.83626e+07	            10833.9	              40483	            705.642	            393.316	            635.798	            374.258	                  1	            642.104	            393.231
     0HH	                  8	                 18	                  4	                  6	                 18	                 24	            68.1668	               1169	            625.714	            396.468	           0.224886	            25.6804	            12.1155	            48.8196	          0.0277952	            0.99795	             1.6443	            22.7918	         4.4832e+07	            11207.1	              39163	                NaN	        1.23831e+08	               3766	        9.27055e+07	               2681	        2.24728e+08	               6809	        1.43528e+08	               4126	           0.389323	         4.4832e+07	            11207.1	              39163	            592.489	            388.867	            658.939	            404.068	                  1	            657.105	            389.004
     0TT	                  9	                 21	                  1	                  5	                 18	                 24	            68.5115	               1310	            677.575	            385.943	           -2.81807	            27.0139	            13.5614	            50.0103	          0.0252344	           0.925153	           -1.29529	            25.2442	        4.88708e+07	            11773.7	            39128.5	                NaN	        1.37468e+08	               4124	        9.80119e+07	               2831	        2.50204e+08	               7547	        1.52851e+08	               4422	           -3.09461	        4.88708e+07	            11773.7	            39128.5	            710.053	            396.833	            645.096	            375.052	                  1	            642.412	            393.234
     0HH	                  9	                 21	                  2	                  6	                 18	                 24	            73.1986	               1354	             623.23	            395.492	           0.210599	            28.2048	            12.7054	            51.7224	          0.0277952	            0.99795	            1.67726	             24.399	        5.04161e+07	            11859.5	              38182	                NaN	        1.32918e+08	               4022	        1.01221e+08	               2940	        2.38014e+08	               7208	        1.53458e+08	               4459	           0.389023	        5.04161e+07	            11859.5	              38182	             587.44	            387.841	            659.021	            403.143	                  1	            660.527	            390.051
     0HT	                  9	                 21	                  3	                  3	                 18	                 30	            65.9652	               1201	            683.133	            412.978	           -2.74816	            38.4101	            12.1584	            53.3471	          0.0268272	           0.993684	            1.55859	            23.8656	        4.46047e+07	            12364.7	              37942	                NaN	        1.22197e+08	               3702	        8.67993e+07	               2509	        2.18906e+08	               6634	        1.32738e+08	               3872	           -2.89292	        4.46047e+07	            12364.7	              37942	            713.596	            425.623	            652.671	            400.334	                  3	            650.403	            390.717
     0TH	                  9	                 21	                  4	                  4	                 18	                 30	             65.738	               1135	            620.873	            371.231	          0.0839822	            36.5513	            12.2315	            55.4099	          0.0237792	           0.969233	            3.26848	            23.0928	        4.16455e+07	              11321	              36733	                NaN	        1.03693e+08	               3159	        8.63696e+07	               2533	        1.65314e+08	               5046	        1.33819e+08	               3926	           0.297473	        4.16455e+07	              11321	              36733	             588.12	            368.474	            653.626	            373.988	                  2	            650.403	            390.717
     0TH	                 10	                 24	                  1	                  4	                 18	                 30	            68.7682	               1201	            621.989	            371.509	         0.00908837	            35.7971	            11.8906	            56.3562	          0.0237792	           0.969233	            1.01006	            22.9838	        4.37725e+07	            11295.2	              36580	                NaN	        1.12854e+08	               3398	        9.17524e+07	               2662	        1.77006e+08	               5394	          1.402e+08	               4122	           0.387609	        4.37725e+07	            11295.2	              36580	            587.607	            371.196	            656.372	            371.821	                  2	             650.54	            391.557
