N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.003	1	5	10	10	10	(0, 128, 0)	4.900000466082629	8.53947252479182	-2.200000233041315 1.4287547417295326e-16 -1.5000001747819054 -2.8575091980332655e-17 -0.800000058259391 -1.1430038219262043e-16 -0.09999994174061007 -1.1430038219262043e-16 0.600000174781904 -2.8575091980332754e-17 1.3000002330413138 1.4287547417295314e-16 
7	0.7	6.003	1	5	10	10	10	(0, 128, 0)	5.599985136442831	8.53947252479182	-2.899977472008369 0.005280215393485389 -2.199984294991216 0.0030713580264504726 -1.4999921296918186 0.0011941532332627942 -0.7999975066732816 -3.2954882783216214e-05 -0.09999947884235291 -0.0005268891874533457 0.6000003046059631 -0.0004650105325538975 1.300000340932539 -0.00015472031331156792 
7	0.7	9.003	1	5	10	10	10	(0, 128, 0)	5.60000050435219	8.53947252479182	-2.899991421324148 0.003884323731438299 -2.1999919447567016 0.0029879304348583388 -1.499992416137559 0.002091539576105047 -0.7999928909662308 0.0011951539285365732 -0.09999336578679315 0.00029877461227127483 0.6000061628537964 -0.0005975995016564635 1.3000056394491029 -0.0014939710444564292 
8	0.7	12.003	1	5	10	10	10	(0, 128, 0)	6.299996342641036	8.53947252479182	-2.8999922212261033 0.004923085086657276 -2.199993787723935 0.003566134612531724 -1.4999956236313725 0.0021826432192062393 -0.7999977817982084 0.0007400866381546455 -0.10000019763047584 -0.0007827728755613525 0.5999972612579094 -0.002385935737865937 1.2999947715151976 -0.004048164874106378 1.9999924495928927 -0.005736936074774574 
8	0.7	15.003	1	5	10	10	10	(0, 128, 0)	6.300000590510972	8.53947252479182	-2.899993889798513 0.005136771724081203 -2.199995495450511 0.003614306095013135 -1.499997049986094 0.0020917770404918806 -0.7999986095181753 0.0005691070961836009 -0.10000017111391034 -0.000953754406072273 0.5999982685204963 -0.002476807473441463 1.2999967125383307 -0.004000001451003906 1.9999951051642768 -0.005523258631010535 
9	0.7	18.003	1	5	10	10	10	(0, 128, 0)	6.999999507143368	8.53947252479182	-2.8999944327938687 0.00613926874190772 -2.199997119631619 0.004207042830862283 -1.4999998354047896 0.002268336064279022 -0.8000026452631598 0.00031451175575490344 -0.10000554522488057 -0.0016613980113395893 0.599991484347386 -0.00366203393571671 1.299988478201223 -0.005684755473456942 1.9999854801784547 -0.0077225948438808855 2.699982474508263 -0.009766915130588609 
10	0.7	21.003	1	5	10	10	10	(0, 128, 0)	7.699997288304996	8.53947252479182	-2.8999945749792366 0.006700436885222976 -2.19999771472111 0.004635960187816386 -1.5000010175801837 0.0025468670188173175 -0.8000046348860214 0.0003983103559689633 -0.10000864182663273 -0.0018416275391896016 0.5999869388744501 -0.004191747301852555 1.2999821555297844 -0.006652130902005979 1.9999771251529321 -0.009204094754160345 2.699972009255854 -0.011815727669587934 3.399966913145613 -0.014452087899853838 
11	0.7	24.002	1	5	10	10	10	(0, 128, 0)	8.399995510733312	8.53947252479182	-3.59997511820462 0.01228314687511189 -2.899982027163237 0.0092344105558993 -2.199989021237404 0.006217010724106751 -1.4999958875179251 0.003274858607658456 -0.8000023608665741 0.00044785462141719464 -0.10000825512326829 -0.0022399243196127836 0.5999864993296792 -0.004785632606155788 1.2999818591163257 -0.007206671688942615 1.9999777031556443 -0.009534810140592494 2.6999738810619145 -0.011807601766960687 3.399970200377335 -0.014059038439084185 
6	0.7	27.002	2	5	10	10	10	(67, 167, 207)	4.733739213719211	8.102940154990401	-3.7272981422349765 -0.06323701200021727 -3.040466499256368 -0.03574221950212245 -2.3655897787733595 -0.008491191166576864 -1.701355319915331 0.018838186111749887 -1.0458055255056764 0.04645963325496089 -0.3964008323124947 0.07433971366516354 
6	0.7	27.002	2	5	10	10	10	(76, 204, 107)	4.733786702265856	8.815584484357604	0.8970795061828422 0.07319431423326007 1.54618346896901 0.038698263122164546 2.2014354991447953 0.004495092298455847 2.865377150726041 -0.02938331784500422 3.5399628521010453 -0.06319553970655807 4.226499704166002 -0.097325188172634 
