N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	10	0.1	0.1	10	(0, 128, 0)	4.900000002330925	10.19509554210644	-2.2000000011654595 3.436382848038307e-17 -1.500000000874095 -1.422453648963661e-17 -0.8000000002913639 -2.0139291990746446e-17 -0.0999999997086322 -2.013929199074616e-17 0.6000000008740995 -1.4224536489635888e-17 1.300000001165465 3.4363828480382054e-17 
7	0.7	6.002	1	10	0.1	0.1	10	(0, 128, 0)	5.599997342998911	10.19509554210644	-2.899953591064559 0.008175935851721097 -2.199997906150435 0.0003717461193047047 -1.4999990985965537 -0.00017088047115187515 -0.7999996196207575 -1.2457397837623659e-05 -0.09999985644280167 1.669866064330048e-06 0.600000048835848 1.5041557278277433e-07 1.3000000183026184 -1.2300122412748966e-08 
7	0.7	9.003	1	10	0.1	0.1	10	(0, 128, 0)	5.599999662086107	10.19509554210644	-2.899979894853493 0.006518127459671291 -2.1999909081940463 0.0025991025469635654 -1.4999954096448764 0.00011447659937557372 -0.7999958205221774 -0.0005596228305607203 -0.09999591912440949 -0.000320176407949691 0.6000039878651753 -4.580520806043351e-05 1.3000039597371982 6.0049924111425864e-05 
8	0.7	12.000	1	10	0.1	0.1	10	(0, 128, 0)	6.299999023537094	10.19509554210644	-3.5999373998983843 0.01441876086768004 -2.899975087835673 0.007167718410147732 -2.1999901394364403 0.002614339581834655 -1.499993790634642 0.0004170449144496792 -0.7999945007839995 -0.0004625248376689525 -0.09999462424772781 -0.0005315089138706018 0.6000052339211408 -0.00024051923440432182 1.3000051117309175 9.556733182083273e-05 
8	0.7	15.001	1	10	0.1	0.1	10	(0, 128, 0)	6.299999650747145	10.19509554210644	-3.5999479872062667 0.013585650655066726 -2.899972194762538 0.0077679491622024465 -2.1999874924311893 0.003151560932197727 -1.4999927552134547 0.0004606008202439543 -0.7999935786518364 -0.000567795372486704 -0.09999362605000162 -0.0006410093875516709 0.6000062803784479 -0.00033551722164905834 1.3000061567520313 5.7438531965653265e-05 
9	0.7	18.003	1	10	0.1	0.1	10	(0, 128, 0)	6.999999498373182	10.19509554210644	-4.299890667946463 0.02275349372145623 -3.599938746354187 0.014552845927191823 -2.89997144965574 0.007796365310865296 -2.199986606896216 0.00320702842152658 -1.4999916389068597 0.0005776411188066671 -0.7999926447208194 -0.0005676102054584038 -0.09999271284846865 -0.0007400323255238812 0.6000071909095693 -0.000433385951796134 1.3000070362693232 9.870209101887332e-06 
10	0.7	21.004	1	10	0.1	0.1	10	(0, 128, 0)	7.699997719761802	10.19509554210644	-4.299898556325492 0.022266857839161002 -3.5999395063725363 0.014703118479009058 -2.899970503430069 0.00813462297869077 -2.199986767486152 0.003400754633581789 -1.4999925203035895 0.0006359194191942571 -0.7999940046539661 -0.0006518059144121392 -0.09999449715909771 -0.0011620978684180174 0.6000051050393237 -0.0008438039619366113 1.299999804270941 0.0017897094599470219 1.999978351460722 0.007245797097656444 
11	0.7	24.001	1	10	0.1	0.1	10	(0, 128, 0)	8.399998436913737	10.19509554210644	-4.299904196729074 0.021920385853701038 -3.5999410807897965 0.014738512219907404 -2.899969990383141 0.008386667797273277 -2.199986259698831 0.0036338745880445176 -1.4999927854077737 0.0006463258238288064 -0.7999947231748973 -0.0009333726070655882 -0.0999950500204611 -0.001403684461033898 0.6000042555407065 -0.0005673721306156921 1.2999987977673726 0.0021365694937404848 1.999977741213768 0.007532498284454249 2.6999301076181954 0.01568708040224746 
12	0.7	27.002	1	10	0.1	0.1	10	(0, 128, 0)	9.099998689823009	10.19509554210644	-4.299908112865686 0.02164738197916566 -3.5999420775629 0.014754497687104306 -2.8999694129188187 0.008575192504986284 -2.1999858185402874 0.003796175245471729 -1.4999930476561398 0.0006380118485729667 -0.7999952821928037 -0.0010870758107455717 -0.0999955591455699 -0.001555130640875147 0.6000035683771506 -0.0005464262584447317 1.2999969069937345 0.0024672645781672986 1.999976340120052 0.0078083163922708565 2.6999322793589022 0.015645171309156273 3.399857094147515 0.025897928338195004 
13	0.7	30.003	1	10	0.1	0.1	10	(0, 128, 0)	9.799998811215646	10.19509554210644	-4.299911006822731 0.021429051009941517 -3.59994281518291 0.014758042543857512 -2.899968982393625 0.00871081515626517 -2.1999854768959968 0.003915773021648648 -1.4999932414908803 0.0006365152887988971 -0.7999957138761475 -0.001190386379929434 -0.09999595607327066 -0.001639464566612571 0.600003045179357 -0.0005293983204808187 1.2999960673365327 0.002563492134907972 1.9999746948426391 0.008013239153067214 2.699931024230045 0.015818570463041352 3.3998589222996474 0.025855638125731106 4.099755040942046 0.0379108441910613 
