N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
14	0.7	33.004	1	10	10	10	5	(0, 128, 0)	10.499996122471059	10.812176488330023	-6.399919293257943 0.02799877366848113 -5.699928111750304 0.024495039307528967 -4.99993685223912 0.02101744308025492 -4.29994537908933 0.017600344331519035 -3.5999535681580666 0.014270368482111218 -2.8999613859725484 0.011035119160647653 -2.1999689027185374 0.007878832214889137 -1.4999762698346075 0.0047658167739642165 -0.7999836727105575 0.0016504969635102635 -0.09999127296148295 -0.0015091377773233713 0.6000008436930192 -0.004739122418408095 1.299992697035817 -0.00804253897957726 1.9999844049660238 -0.011400867145731495 2.6999761048465465 -0.014784067910215604 
7	0.7	36.001	2	10	10	10	5	(196, 6, 81)	5.514286777846209	9.528244473074336	-6.577736629944212 0.06771766117423728 -5.882286789844465 0.0521422076879562 -5.191121244410482 0.036651631308610835 -4.504061073260553 0.021229478112628163 -3.8208425508478 0.005863801910984188 -3.1411229332528494 -0.009448953640352472 -2.4644880868099728 -0.02470559768774705 
8	0.7	36.001	2	10	10	10	5	(7, 162, 91)	6.195836398288643	8.724764838213844	-1.2713229060396865 -0.05144539268147924 -0.5954329590518944 -0.038117837464455046 0.08281445666880076 -0.025391034914063932 0.7639098633522219 -0.013571891346265436 1.4482687638283773 -0.0026882339353274005 2.1362266881313308 0.007438826266836661 2.828036430300325 0.0171041284165496 3.523866584613513 0.02661521683825885 
7	0.7	39.002	2	10	10	10	5	(196, 6, 81)	5.434569456268619	9.528244473074336	-6.755260445989511 0.06605620488270658 -6.063092533837904 0.051627939737280235 -5.378738168961428 0.038408994981693124 -4.702392767340472 0.02795162234656638 -4.034172292573339 0.021694791939640058 -3.3739309063894294 0.020221779010217898 -2.7210844545751387 0.02241140390869465 
9	0.7	39.002	2	10	10	10	5	(7, 162, 91)	6.817454330898157	8.724764838213844	-1.7646027671510247 -0.12168905683295232 -1.112299390638259 -0.08709179192079688 -0.45238857079677347 -0.056994123011327405 0.21554386554154661 -0.032939582161068806 0.8910842133386802 -0.014356676474990743 1.5733261366089162 0.00031935712452725075 2.2611952773423716 0.01277109887545126 2.953700441129783 0.0242852646561778 3.65010213566231 0.035592536048739486 
8	0.7	42.003	2	10	10	10	5	(196, 6, 81)	6.292517436771162	9.528244473074336	-6.961495151396177 -0.173621468738228 -6.26851820483617 -0.07741964221917559 -5.576223285764715 0.02103621617910973 -4.885055839991719 0.12495310775629552 -4.195427793555141 0.23713802208413368 -3.5075438362222147 0.35894164805871215 -2.8212353645480803 0.4895675386011642 -2.135851165870862 0.6257944599745542 
9	0.7	42.003	2	10	10	10	5	(7, 162, 91)	6.986171453347202	8.724764838213844	-1.708050704121863 -0.6412544065998093 -1.025008197755468 -0.4947341592593018 -0.3410025722213737 -0.3552708945627342 0.3450303574106304 -0.22808787231116726 1.0335690457336952 -0.11588831807014453 1.7245501212456682 -0.018539149227939946 2.4175551649366476 0.06664630951070487 3.1120279137058176 0.14402286290667043 3.807452745974644 0.21823255251662085 
9	0.7	45.000	2	10	10	10	5	(196, 6, 81)	6.999214843347234	9.528244473074336	-7.6501852132927075 -0.3381225110381753 -6.961095554254703 -0.2151902056928748 -6.272087617447121 -0.0919693369038271 -5.5832349207090095 0.03196087435548329 -4.894605253797934 0.15699061406314124 -4.206236649669149 0.28334619613427936 -3.518119324751009 0.4109950721696937 -2.8301858807373352 0.539598583575807 -2.142234043783569 0.668528327296903 
10	0.7	45.000	2	10	10	10	5	(7, 162, 91)	7.698430529658795	8.724764838213844	-2.398506496604145 -0.7869575179826774 -1.7104658498615763 -0.6587255113552372 -1.0223727840157195 -0.5313164087448687 -0.33392357649738746 -0.4059702032398063 0.3550566502482439 -0.28362591743852833 1.044648748480169 -0.16472608461490298 1.73483194477932 -0.04914288592070051 2.425499968993997 0.06376570292871578 3.116495670745956 0.17497174926462028 3.807658058888171 0.2854884984610852 
10	0.7	48.001	2	10	10	10	5	(196, 6, 81)	7.699880182368572	9.528244473074336	-7.649729426308273 -0.3445872872948826 -6.9613458126475845 -0.2176292721747748 -6.27297574247702 -0.09063447408648145 -5.58462696470191 0.03644168083419014 -4.896302815006455 0.1636211974448967 -4.207997968267089 0.29088017290165585 -3.5196958326973298 0.41813439765695165 -2.8313284378099723 0.5452428910576737 -2.1429516565038984 0.6722908437205478 -1.4545734767322671 0.799323619397355 
11	0.7	48.001	2	10	10	10	5	(7, 162, 91)	8.399612120802553	8.724764838213844	-3.0877930279274244 -0.9108972808000905 -2.3990253324075916 -0.786254492466551 -1.7101966094550272 -0.6619684988218888 -1.0212435844851155 -0.5383859905599085 -0.3321155303752295 -0.41578485257397285 0.3572167574393911 -0.2943256791054588 1.046756609875125 -0.17402480762540118 1.736482117902894 -0.05475434838897198 2.426351607602783 0.06372931962737545 3.116313211697299 0.18173114203553428 3.8063174669599698 0.2995429146131053 
11	0.7	51.002	2	10	10	10	5	(196, 6, 81)	8.400005332536994	9.528244473074336	-8.338122209798692 -0.47233810067368653 -7.649770575914169 -0.3451720571901057 -6.961417941045725 -0.2180155185667217 -6.273068989078749 -0.090843321694752 -5.584737608954707 0.03642111453346659 -4.896443522344684 0.1638870499182209 -4.20820581543103 0.29166090188203636 -3.5200372420697965 0.41981510646347586 -2.8319402490036003 0.5483666333217909 -2.1439040890797165 0.6772614870542067 -1.4559033076782775 0.8063661031781528 
