N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
11	0.7	84.001	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	87.001	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	90.001	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	93.001	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	96.001	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	99.000	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	102.000	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	105.000	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	108.000	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	111.000	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	114.000	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	117.003	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	120.003	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	123.003	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	126.003	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	129.003	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	132.003	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	135.003	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	138.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	141.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	144.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	147.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	150.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
