N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	current length	div_length	X
8	0.7	39.002	2	10	1	1	10	6.294453291276296	8.6744730961559	-5.618183228437039 0.2081927939580861 -4.9199460770457035 0.16166873497879033 -4.222336452743272 0.10937126717240064 -3.5261019677841188 0.043464692281983776 -2.8322463201247974 -0.042368989541092215 -2.141619496576012 -0.15012499510371088 -1.4542289043239356 -0.2762341663846917 -0.7688673005175938 -0.4124331984016599 
8	0.7	39.002	2	10	1	1	10	6.2943258875598165	8.09760954818337	0.5402189733647151 0.06568039550715898 1.2388447343165179 0.05776550754275806 1.9376544615013638 0.05549639709319242 2.636589399253468 0.06293805933248495 3.3354998972322947 0.08150664581666861 4.03428192655831 0.1098787119681472 4.7329786377921765 0.14479838266674225 5.431748039844572 0.1824611811432374 
9	0.7	42.003	2	10	1	1	10	6.9792507975500016	8.6744730961559	-5.631144222930326 0.2308276806600067 -4.934719078777779 0.16990953863341166 -4.239095107353667 0.10979951125037352 -3.5445408364911657 0.04645660242819839 -2.852681263096382 -0.035740902385181246 -2.168609434319452 -0.1644126075977833 -1.5014436963011437 -0.3622740820378109 -0.8544252205314694 -0.6205917997103146 -0.2100756548298337 -0.8919408257975627 
9	0.7	42.003	2	10	1	1	10	6.965349372945116	8.09760954818337	-0.05171621555786085 0.49578769639499887 0.6076681849892859 0.27185024241142597 1.2834030634410722 0.11189443315766191 1.9736309206504656 0.04205154384762643 2.6678577069635314 0.04231740491901076 3.362111025587412 0.07432322185826576 4.057080308974191 0.11096961496916788 4.75345501895861 0.14356779569429137 5.451339286259207 0.1734855073952553 
9	0.7	45.000	2	10	1	1	10	6.9971492342014034	8.6744730961559	-5.644865496513028 0.25382541005597786 -4.947260605786111 0.19749443426780688 -4.250539038734345 0.1325840872434636 -3.556301235936023 0.04628617854216011 -2.8672228551354877 -0.07364448656759993 -2.1864873704249463 -0.23404117688707032 -1.5158900205362726 -0.4328300527444636 -0.8536829499351306 -0.6584610698974372 -0.1938425133514448 -0.8924734792879792 
9	0.7	45.000	2	10	1	1	10	6.995204066623277	8.09760954818337	-0.07663459219182223 0.49879691371710994 0.6039423301875076 0.337403104000883 1.2894955095998182 0.19970339461399308 1.981921225245255 0.10329461073557823 2.6793677241309704 0.05488205329362147 3.3786310489282805 0.04984574420091103 4.077621304252755 0.07613177980335394 4.775926422173733 0.11984689064243546 5.473983673754815 0.16975155071776682 
10	0.7	48.001	2	10	1	1	10	7.698801733826915	8.6744730961559	-5.644994311891667 0.287490666259848 -4.949128896222399 0.21199987535661366 -4.254202519887953 0.12882832741067807 -3.5617976026666063 0.027297432676231657 -2.874086758619119 -0.10192141746406294 -2.193261686296793 -0.2634816861506111 -1.5204003507774742 -0.4557142813488181 -0.8544216427222219 -0.6708877268421486 -0.19181422814943477 -0.8969257574427786 0.47029512131522194 -1.1238621137479397 
10	0.7	48.001	2	10	1	1	10	7.697660864270755	8.09760954818337	-0.08237485908204566 0.4944794645896357 0.6034051195981659 0.3548766115963888 1.2921408648395551 0.2313526685473184 1.9854000718402345 0.13722947456274695 2.682634383382213 0.08002466640010426 3.3819651965269606 0.06023126770628715 4.08155520601885 0.07226487067073943 4.780480875111795 0.1069616424435182 5.478733544798873 0.15447732852399115 6.176718901983718 0.20669551663395955 
11	0.7	51.002	2	10	1	1	10	8.398830532750171	8.6744730961559	-5.643806842195059 0.3143832999811319 -4.949844085789178 0.22296854693990292 -4.256854551487592 0.12480119019454887 -3.5663223855044586 0.0109732563619742 -2.8799693164002154 -0.12559513961858823 -2.1992074233237258 -0.2877159893554202 -1.5245098800613817 -0.4735605943920702 -0.8551759055847891 -0.678019954905347 -0.1896764736950444 -0.8947639879932596 0.4737119917750924 -1.117993001297051 1.1363738744433316 -1.3434647064903962 
5	0.7	51.002	3	10	1	1	10	4.19053490096945	8.004271260644426	-1.0556775797191729 0.8588491135964544 -0.38928443574910704 0.6478926399936684 0.27513548382400166 0.4339431580466967 0.9368291597389885 0.21448061835829418 1.5962217267201215 -0.009491415308059227 
6	0.7	51.002	3	10	1	1	10	4.887421562870781	8.066011945628407	2.9599704692933675 -0.23877173958712022 3.6386991526522556 -0.08336678990876469 4.321541451511918 0.05479174478072503 5.009801260318818 0.16665593043346458 5.702247926004755 0.2554436901111489 6.396977097718158 0.3329847950012123 
5	0.7	54.003	3	10	1	1	10	4.199285679993612	8.004271260644426	-1.0798655870092304 0.8675703584365316 -0.4132864314416379 0.6541060884281571 0.25322139530679727 0.440657235554087 0.9196474412250214 0.22717485078636784 1.585983815459419 0.013610635634870579 
6	0.7	54.003	3	10	1	1	10	4.899084371184816	8.066011945628407	2.964205065050625 -0.22414666542502626 3.652661222258479 -0.09910934852363977 4.341568102867416 0.02364483116914083 5.031204793018949 0.1425240660919709 5.72152585553173 0.257724182591904 6.412228378206713 0.3710183957190924 
6	0.7	54.003	3	10	1	1	10	4.8707830331643205	7.901741389287798	-5.915720025069861 0.4546083320557019 -5.232005266505321 0.31503476673543096 -4.5494244861332955 0.18039925325899767 -3.8665440247344596 0.05752065528075684 -3.1824420393250406 -0.048538573805161 -2.4974389453828865 -0.1402318210296109 
6	0.7	54.003	3	10	1	1	10	4.870217458498939	9.912347846555313	-1.2469931467493063 -0.6748168148002135 -0.5746030593855073 -0.8337941069996052 0.0963258739548282 -1.0037927723229103 0.7651713784878125 -1.1879442377136484 1.4329027977367925 -1.3830458336530331 2.101325662522732 -1.5832940077626476 
6	0.7	57.000	3	10	1	1	10	4.890498180697627	8.004271260644426	-1.371837052682201 0.8266430555565065 -0.6896653200791353 0.672726399494668 -0.003050565615859635 0.5459579377937243 0.6918769166792635 0.4863620142871515 1.3890337556482164 0.5065757796239487 2.0830537939504983 0.5812966296419539 
7	0.7	57.000	3	10	1	1	10	5.585663443275147	8.066011945628407	2.547507191586676 -0.7113436006198698 3.1761269955265083 -0.4100499370712634 3.8201024375557253 -0.14392413294844114 4.485012357942635 0.06470007804241489 5.166120228833396 0.2148051455806452 5.855849505935177 0.3238379332262724 6.54894172758146 0.41570306348016434 
6	0.7	57.000	3	10	1	1	10	4.897087644168149	7.901741389287798	-5.9647530685830565 0.43887232501960416 -5.275169195825227 0.31975393315167655 -4.585465112625824 0.2025223325104257 -3.895337344460881 0.08898869501911622 -3.2047331328719135 -0.020476357119727007 -2.5138846309373464 -0.12734078095270948 
6	0.7	57.000	3	10	1	1	10	4.896648618108107	9.912347846555313	-1.2082051701322614 -0.6199102108008909 -0.5386825646682001 -0.8210443382267053 0.12313430353324101 -1.0461441341651232 0.7684966822552824 -1.3149112668421152 1.392071043271093 -1.631687977306131 1.9989939882325483 -1.9804683191998844 
6	0.7	60.001	3	10	1	1	10	4.890732179357867	8.004271260644426	-1.374995161259091 0.7914357240252748 -0.682947750936442 0.7059663482466683 0.011326482447599633 0.6379521191996047 0.708490014139027 0.6058105038928981 1.4066226626867218 0.6236928975300816 2.1035526369109396 0.6843364056618655 
8	0.7	60.001	3	10	1	1	10	6.210861690397389	8.066011945628407	1.9139819103680251 -0.6759940608471169 2.5940905325770762 -0.6093413542286034 3.2559095840174566 -0.44849905575288396 3.900962407348667 -0.22430265971620852 4.548541897228888 0.0006665090860015366 5.210345995646629 0.1918933203458727 5.8841952235915205 0.3522997624085636 6.564748128842238 0.5000570402312119 
7	0.7	60.001	3	10	1	1	10	5.571526475684426	7.901741389287798	-6.803599144197358 0.5643121988688564 -6.121129537627003 0.4152938274424788 -5.436552255940274 0.283956233262403 -4.746627972163627 0.19579243826180778 -4.052837666129936 0.1722253480097047 -3.360938588411424 0.21666014155430113 -2.6739153816220735 0.30644688647432966 
7	0.7	60.001	3	10	1	1	10	5.573748152468383	9.912347846555313	-1.783553322835502 -0.7317892447025737 -1.0926152853495015 -0.7958147918454872 -0.41292881645079943 -0.9309750427226046 0.2324422009927253 -1.1835048168672153 0.8334386439436583 -1.5333685798167653 1.432432805035256 -1.8947920173844726 2.0710884919482133 -2.178499559564723 
7	0.7	63.003	3	10	1	1	10	5.584154900829905	8.004271260644426	-1.892964642033742 1.3336551280211528 -1.2608637647816325 1.0254008734137412 -0.6113072465402931 0.7773425777682172 0.07216504643568412 0.6544461522611925 0.7677732967454896 0.6442918797568116 1.4623593037987264 0.7037388669948295 2.1548549631259246 0.7939361499976916 
8	0.7	63.003	3	10	1	1	10	6.2937121369238	8.066011945628407	1.8762574635556886 -0.6394246460178756 2.566653001324616 -0.5303968576111826 3.2514466689541277 -0.3922165790174378 3.9306650822075215 -0.22810023531045406 4.605089071380206 -0.044453153718821144 5.27654325765518 0.15062903984798412 5.946899009669373 0.35033058119775395 6.617240439357749 0.550993542734832 
8	0.7	63.003	3	10	1	1	10	6.160605941101334	7.901741389287798	-6.950285294498313 0.4989227275536744 -6.258373050208153 0.42027117016233106 -5.569987200020525 0.347137523729703 -4.885866870871548 0.28158884434972575 -4.207560678353229 0.21986442396275008 -3.536219323266181 0.15928337332540699 -2.8710349545069485 0.10791928408223746 -2.209401517573478 0.0764362852029765 
8	0.7	63.003	3	10	1	1	10	6.2098257397185375	9.912347846555313	-1.706069034784085 -1.0131849977353686 -1.03004598011167 -0.9662227348937298 -0.3638176543172103 -1.0854961041443105 0.27162640253207315 -1.334759141015157 0.8862747403216193 -1.6436925422074287 1.4939409170208506 -1.9751414286332238 2.1043839008525014 -2.3073484329300293 2.716788881119168 -2.6415976277991193 
7	0.7	66.004	3	10	1	1	10	5.596432574135303	8.004271260644426	-1.893193894817717 1.4920904861095459 -1.2448537504016275 1.2272653063783896 -0.5801280022070213 1.0095175634764335 0.10478310442243205 0.8701869054778603 0.8015525509203129 0.8138312092373166 1.5010682237149633 0.8168394838064496 2.1998728312727263 0.8372931122943286 
9	0.7	66.004	3	10	1	1	10	6.987093095643594	8.066011945628407	1.2112701087267121 -0.5393606862782605 1.9098449596160159 -0.5325950948547602 2.6068688503730275 -0.4920169992573323 3.297262242870762 -0.39220414928190733 3.978679596238041 -0.24207614958119877 4.65202647876729 -0.057871826027999486 5.320781401722984 0.14372925376554 5.988253843940217 0.3510659185527747 6.656049971011479 0.5590939262071907 
8	0.7	66.004	3	10	1	1	10	6.2876328390548135	7.901741389287798	-7.049093026285782 0.5019749502461375 -6.353938774584558 0.42417200227359164 -5.65899627677373 0.3489372741146013 -4.963800988543691 0.28068868125813895 -4.267952891037549 0.22450938202522785 -3.5713806606603153 0.1839890613759436 -2.874367780067568 0.15877327930150814 -2.1772734145177615 0.14326093468080617 
8	0.7	66.004	3	10	1	1	10	6.282057613059845	9.912347846555313	-1.8139030153082516 -1.181327432659353 -1.1220363926704748 -1.2659658527658624 -0.43918938155213133 -1.4029637189696995 0.2254570160140146 -1.6115350434458873 0.8734163319643112 -1.869585824015649 1.5215571807636508 -2.126793179241725 2.1695795929108677 -2.3865674717504533 2.817833470429202 -2.6481984735232396 
8	0.7	69.001	3	10	1	1	10	6.293884255456904	8.004271260644426	-2.565435071070082 1.7560576802481793 -1.9045422727544599 1.526410203123928 -1.2424327654294147 1.3002632383104795 -0.5709717560830573 1.1051940873724526 0.1130578274630533 0.9620151826773221 0.8068056576837959 0.878838125522306 1.5049259608546763 0.8478733849662528 2.203890445097298 0.847226685527407 
10	0.7	69.001	3	10	1	1	10	7.695182215907565	8.066011945628407	1.2116966368172797 -0.5506295160176903 1.9108399162535392 -0.5272392118732054 2.608717960686301 -0.4789710240072441 3.3006343386709216 -0.3800250371820508 3.985334869604676 -0.23871392883454273 4.662758815211015 -0.06513722467884484 5.334401592234504 0.13019963532411272 6.002441162874253 0.3380104728088391 6.668843147844079 0.5514452002780829 7.334858741556156 0.7664953342949737 
9	0.7	69.001	3	10	1	1	10	7.0004277778252675	7.901741389287798	-7.756207817473764 0.5701433824546693 -7.060462129554175 0.4931379247650399 -6.364460918612994 0.418509142676475 -5.667833751470084 0.3499586284885769 -4.970300838289856 0.291213084939792 -4.271827693783447 0.24456300075278864 -3.5726150612282863 0.2098059418418739 -2.8729468764549972 0.184170397430315 -2.1730541327039754 0.16323713741537282 
9	0.7	69.001	3	10	1	1	10	6.998820021738881	9.912347846555313	-2.5340199573894076 -1.1766839407822953 -1.8373862438763358 -1.2477431392896805 -1.144398601485367 -1.3461113694585607 -0.459354214207193 -1.488644386396036 0.21435650937014603 -1.6775441623056713 0.8773740179935896 -1.9014612281152892 1.5351514731238578 -2.1400522442147727 2.189392133405879 -2.3884437271604293 2.8421945534946116 -2.64085903328415 
9	0.7	72.002	3	10	1	1	10	6.99462788946979	8.004271260644426	-2.5864848210083973 1.7374617889643311 -1.9174879959722544 1.5324015439007725 -1.2472635988681355 1.3317917493043288 -0.5709542212932864 1.153904545571486 0.11395857825604083 1.0139239475544235 0.8068310205170459 0.9219747374219153 1.5046150584376332 0.880596012583469 2.2038888134613774 0.8808570685190524 2.903295430285712 0.900816763443235 
10	0.7	72.002	3	10	1	1	10	7.700897620740964	7.901741389287798	-8.452536443191343 0.6353755617943695 -7.7564195760462304 0.5615641561394493 -7.060167493600286 0.4888567443631694 -6.363577379900201 0.4192798036578696 -5.666425372895956 0.3553884603014252 -4.968561662699763 0.29958006403206516 -4.269980917602115 0.2532852299232245 -3.5708163218483793 0.2163573554633138 -2.8712674700562175 0.18690503048860485 -2.1715268916149233 0.16159568815654057 
10	0.7	72.002	3	10	1	1	10	7.6989805919269045	9.912347846555313	-2.5412775901665445 -1.180747133025821 -1.8477247482607662 -1.2766447505169944 -1.1570970622776602 -1.3909147509649085 -0.4726284624305011 -1.5371250841688633 0.2030863344891955 -1.7195590283904607 0.8706155799965162 -1.930298295790715 1.5344152832767504 -2.1512532377744855 2.1943054600891525 -2.3838652448923763 2.8511631865121525 -2.6252125478099915 3.5067596841943507 -2.870266556626645 
5	0.7	72.002	4	10	1	1	10	4.130084414077692	5.8676194668513055	1.0341092873747868 -0.5491752664883541 1.7254151923604035 -0.5237120849857577 2.409667842801431 -0.5009603902418851 3.0882615761169974 -0.5077854319452669 3.7607288806312176 -0.5667888060043772 
6	0.7	72.002	4	10	1	1	10	4.79350779838564	8.712849809055504	4.858532277039455 0.07507323022559768 5.514239910387148 0.209912327887358 6.1646594508132075 0.37860929602500915 6.812452619459649 0.5751171067380074 7.463526071661925 0.7836751514557821 8.121741091104443 0.9957444354960734 
10	0.7	75.003	3	10	1	1	10	7.697900443780227	8.004271260644426	-3.279755345921509 1.8847382751403814 -2.599656122045349 1.7197040475273113 -1.9193996229499821 1.556090023320421 -1.2397749159843963 1.3907256302437832 -0.5629843054905294 1.2117729906610533 0.12041885470481542 1.061546095391392 0.8125304050742304 0.9593580618115752 1.5097464118466262 0.8999601153625599 2.208826877941166 0.8665854011862746 2.908382436106554 0.8430363960358787 
11	0.7	75.003	3	10	1	1	10	8.400269563895792	9.912347846555313	-2.5461010600189504 -1.1875611854502715 -1.8545453300617099 -1.2971113204689786 -1.164959854677704 -1.4184540022804675 -0.48003970196994167 -1.5632133155204078 0.19860109466270784 -1.7347336547138377 0.8703614095738215 -1.9314049942894824 1.535811269017464 -2.1484918435173657 2.1965263668371757 -2.3796309594801244 2.854457093169571 -2.6186095510866663 3.511218004789902 -2.86079924412854 4.167711317026049 -3.1037230835073917 
5	0.7	75.003	4	10	1	1	10	4.198859357005473	5.8676194668513055	0.9330078719219322 -0.46116375448876057 1.6305422000522405 -0.5184018921034724 2.327775974525002 -0.5778290084675229 3.024563419040379 -0.6411088737283225 3.7209633697647675 -0.7075667044093471 
6	0.7	75.003	4	10	1	1	10	4.898062502526225	8.712849809055504	4.846619948691893 0.12004947541301239 5.527554257341816 0.2797790778683166 6.207376566464996 0.44448013779504025 6.885234343976816 0.617487691071078 7.561182023752925 0.7983022487245177 8.236181864321608 0.9831582804303822 
5	0.7	75.003	4	10	1	1	10	4.080341414099951	8.436759087884646	-8.592397662316053 0.6573766521532923 -7.909346372239282 0.5833149821447782 -7.238599169482638 0.5096944231553306 -6.579142914743395 0.43387893493947205 -5.929285623084842 0.35430308730299453 
6	0.7	75.003	4	10	1	1	10	4.747449894848927	7.868406887513448	-4.742986430283705 0.24075947143113055 -4.090470876847292 0.24294656981102247 -3.4311880782403334 0.2301313538984249 -2.763862611654758 0.19548393709347808 -2.0888609731145102 0.1284901204779496 -1.4075767550265414 0.02579347209365607 
10	0.7	78.004	3	10	1	1	10	7.699018392570926	8.004271260644426	-3.2845700378540474 1.8847600133853775 -2.6044732000704127 1.7193004528094373 -1.9240003515062605 1.5556707293583933 -1.242523877568491 1.3965502057664827 -0.5593081705668995 1.2439918209790088 0.12732615129030733 1.1086115143018687 0.8185366528828322 0.9992155438308111 1.5134789360843517 0.9165703718381097 2.210558683046642 0.8537824413345685 2.9084419518953593 0.7999350252982962 
12	0.7	78.004	3	10	1	1	10	9.09699948198871	9.912347846555313	-2.54840921013886 -1.2155690892986841 -1.8564971806270822 -1.3188424891227861 -1.1670174023400692 -1.4371164317921994 -0.4819173040209718 -1.5785658586297828 0.1973823335279593 -1.7458028491408542 0.8702805033561418 -1.93738782278464 1.5371202581414023 -2.1493238147295464 2.199033975784032 -2.37638387892601 2.857577777961465 -2.6132159814846854 3.5142923249195195 -2.855219808021028 4.170328151030541 -3.0991797703066184 4.82626827347281 -3.34350383437294 
5	0.7	78.004	4	10	1	1	10	4.199907784209646	5.8676194668513055	0.9303742013120768 -0.45568327032909606 1.6274663677614294 -0.5193151248957548 2.324536320287941 -0.5830872241117355 3.0215741277279626 -0.6471136100319577 3.718583685950881 -0.7113599504476418 
7	0.7	78.004	4	10	1	1	10	5.599806785410175	8.712849809055504	4.8494223058256685 0.11343488298002119 5.52833148336867 0.2837663556603044 6.207097134759825 0.45468913990450527 6.885592640064768 0.6267082299303335 7.563786491801487 0.7999458845265042 8.241752188163652 0.974111937658352 8.919619955825908 1.1486991759955645 
5	0.7	78.004	4	10	1	1	10	4.195956114085911	8.436759087884646	-8.847805633872465 0.6919313019798605 -8.152915944244203 0.6111481640796286 -7.4584551082058175 0.5302501411681452 -6.764405426508208 0.44909043296794987 -6.070714217885738 0.3676898421012019 
6	0.7	78.004	4	10	1	1	10	4.894309645963142	7.868406887513448	-4.683246780023189 0.24777347750834178 -3.9850271678700526 0.23796521373854426 -3.2868706362890654 0.2178119450984943 -2.5895652546723724 0.17440277091357095 -1.8945999071307151 0.09706900588568379 -1.201426466746194 0.001990723532982268 
13	0.7	81.001	3	10	1	1	10	9.795857353595347	9.912347846555313	-2.551754116183314 -1.236755106046792 -1.8599775837141892 -1.3415505378240793 -1.1707182675151246 -1.4613864148792817 -0.48584332476108844 -1.6040509173973638 0.19379520029431455 -1.7699922629107494 0.8685991106277555 -1.953893279114332 1.5379691746060007 -2.1568763309417216 2.2020184521310835 -2.376895998949705 2.861766561171411 -2.609761539811994 3.518708711242283 -2.850677620796386 4.174257089655778 -3.0955840956696625 4.829365895905512 -3.341865521769283 5.484460790725056 -3.5883691816885723 
6	0.7	81.001	4	10	1	1	10	4.900254065834443	5.8676194668513055	0.23360125466339476 -0.37471051797805827 0.9302804103955632 -0.4436284611456794 1.6269667929854024 -0.512349995573876 2.3236662533781867 -0.5807866727034556 3.0203823226761974 -0.648882811297353 3.7171018643543325 -0.7167607283152084 
7	0.7	81.001	4	10	1	1	10	5.599999825316029	8.712849809055504	4.8497713327477525 0.111933952657487 5.528346837545157 0.28379222560110456 6.206882279162659 0.45580854401214743 6.88533434774042 0.6281533359705512 7.563684868966974 0.8008973866404452 8.241951741601001 0.9739696514453056 8.920178339329976 1.147199740731862 
5	0.7	81.001	4	10	1	1	10	4.097400238053249	8.436759087884646	-9.046007941695354 0.721190116538341 -8.360843916054232 0.6493721216176086 -7.687504544775097 0.5669059574086864 -7.0280990304609405 0.45469994668689373 -6.3836274510071 0.30678485297882024 
7	0.7	81.001	4	10	1	1	10	5.430631833843313	7.868406887513448	-5.166746419524509 0.31891664948268283 -4.511054444268161 0.2891006657148696 -3.850980539893613 0.25859642821294204 -3.1853562358017875 0.21724242369298732 -2.514158248284798 0.15441691819221484 -1.8383692789995436 0.06134178233923213 -1.1569269157454285 -0.048736466670523546 
5	0.7	81.001	4	10	1	1	10	4.191547793607217	8.604442197718615	-4.314204734219692 2.1634229590959273 -3.6357430912161206 1.9948145261838583 -2.9575637911335484 1.8286664871717964 -2.27919064019541 1.6666718761956427 -1.6007115038762814 1.5080839013889353 
6	0.7	81.001	4	10	1	1	10	4.88478402481994	10.038541762964925	-0.29765810701202644 1.039750943093928 0.39696365403162054 1.011999560259242 1.0920279473086256 0.9770417838311641 1.787487552947149 0.9327487923906872 2.483386336255032 0.8803061620477224 3.180029980529731 0.8238857406611613 
6	0.7	84.002	4	10	1	1	10	4.87785842866816	5.8676194668513055	0.2857439236003824 -0.35097413708898995 0.9761993620367677 -0.41782503536493415 1.6633452611919841 -0.5175295101693451 2.3403299260629495 -0.6755351481864154 3.0010241679913223 -0.8959518626352266 3.6484293563634327 -1.1572878629340309 
